id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
# PROJ,,,,,,,,,,,,,,,,,
A_S-F_bolter_charged_shot,projectile,100,0.3,0.2,"[200,170,75]",,130,0.35,0.9,"[255,235,155]",80,0.25,0.3,"[235,255,150]",,1,TRUE
A_S-F_bolter_shot,projectile,85,0.25,0.2,"[200,170,75]",,105,0.3,0.75,"[255,235,155]",80,0.25,0.3,"[235,255,150]",,1,TRUE
A_S-F_breaker_shot,projectile,125,0.3,0.2,"[235,255,155]",,175,0.35,1.1,"[235,255,155]",120,0.3,0.35,"[225,255,165]",,1,TRUE
A_S-F_compac_bolt,projectile,90,0.1,0.25,"[200,100,180]",,100,0.12,0.5,"[200,100,180]",65,0.08,0.35,"[255,100,225]",,1,TRUE
A_S-F_coralian_bolt,projectile,135,0.15,0.3,"[200,100,190]",,180,0.15,0.75,"[200,100,190]",120,0.12,0.4,"[255,100,225]",,1,TRUE
A_S-F_crockett_shell,projectile,160,0.4,0.5,"[255,160,35]",,210,0.7,1,"[255,160,35]",160,0.42,0.75,"[250,125,50]",,1,TRUE
A_S-F_dem_ion_shot,projectile,110,0.25,0.25,"[25,130,135]",,120,0.25,0.5,"[25,130,135]",95,0.2,0.15,"[100,240,250]",,1,TRUE
A_S-F_dis_ac_shot,projectile,50,0.15,0.15,"[155,255,195]",,,,,,50,0.15,0.2,"[105,225,165]",,1,TRUE
A_S-F_dis_mortar_shot,projectile,,,,,,75,0.3,0.5,"[70,205,160]",50,0.1,0.4,"[105,205,175]",,1,TRUE
A_S-F_electroThermal_shot,projectile,130,0.2,0.3,"[100,150,255]",,160,0.3,0.6,"[100,150,255]",110,0.2,0.2,"[100,150,255]",,1,TRUE
A_S-F_ionDriver_shot,projectile,160,0.4,0.3,"[25,110,165]",,200,0.6,0.75,"[25,110,165]",150,0.4,0.5,"[100,200,255]",,1,TRUE
A_S-F_kabid_shot,projectile,120,0.3,0.2,"[200,255,240]",,120,0.25,0.65,"[200,255,240]",115,0.3,0.3,"[150,255,240]",,1,TRUE
A_S-F_kabid_sub1_shot,projectile,110,0.3,0.2,"[200,255,240]",,110,0.25,0.6,"[200,255,240]",,,,,,1,TRUE
A_S-F_kabid_sub2_shot,projectile,100,0.3,0.2,"[200,255,240]",,100,0.25,0.55,"[200,255,240]",,,,,,1,TRUE
A_S-F_kabid_sub3_shot,projectile,90,0.3,0.2,"[200,255,240]",,90,0.25,0.5,"[200,255,240]",,,,,,1,TRUE
A_S-F_kabid_sub4_shot,projectile,80,0.3,0.2,"[200,255,240]",,80,0.25,0.4,"[200,255,240]",,,,,,1,TRUE
A_S-F_kaksos_shot,projectile,90,0.3,0.2,"[235,255,215]",,90,0.3,0.7,"[235,255,215]",76,0.2,0.4,"[255,230,225]",,1,TRUE
A_S-F_klabu_shot,projectile,160,0.3,0.25,"[255,180,60]",,180,0.35,0.9,"[255,180,60]",130,0.3,0.6,"[255,140,50]",,1,TRUE
A_S-F_kombeo_fighter_shot,projectile,65,0.2,0.2,"[240,90,50]",,100,0.2,0.7,"[230,180,140]",90,0.2,0.15,"[220,180,70]",,1,TRUE
A_S-F_kombeo_shot,projectile,70,0.2,0.2,"[240,90,50]",,110,0.2,0.8,"[230,180,140]",90,0.2,0.15,"[220,180,70]",,1,TRUE
A_S-F_kufikiri_HE_sub_shot,projectile,125,0.3,0.25,"[255,160,80]",,140,0.33,0.85,"[255,120,100]",100,0.25,0.5,"[255,160,80]",,1,TRUE
A_S-F_kufikiri_KE_sub_shot,projectile,90,0.28,0.25,"[210,160,240]",,105,0.3,0.7,"[215,180,250]",80,0.19,0.5,"[210,160,240]",,1,TRUE
A_S-F_laaja_shot,projectile,75,0.1,0.2,"[230,255,210]",,120,0.1,0.5,"[230,255,210]",150,0.15,0.25,"[165,225,185]",,0.35,TRUE
A_S-F_macron_shot,projectile,80,0.2,0.3,"[250,120,95]",,70,0.2,0.45,"[255,140,105]",,,,,,0.4,TRUE
