name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# Built-in,,,,,,,,,,,,,,,,,,,
Bulk Missile Storage,A_S-F_bulkracks,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_BulkMissileRacks,"Increases the ammo capacity of missile weapons by %s, missile weapons also deal %s reduced damage and have %s increased fire rate and ammo regeneration.",Increases missile weapon ammo.,,graphics/hullmods/A_S-F_bulk_missile_storage.png
Adaptive Systems,A_S-F_AdaptiveSystems,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_AdaptiveSystems,"<Advanced systems that allow the ship to adapt to the battlefield situation, providing enhanced performance when under greater combat stress.>",Systems adapt to combat situation.,,graphics/hullmods/A_S-F_adaptive_systems.png
Glister Engines,A_S-F_GlisterEngines,,,,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_GlisterEngines,"HIDDEN HULLMOD, tougher engines and better repair rate on them to make the glister less emp vulnerable.","Makes engines harder to disable, improves repair rate.",,graphics/hullmods/insulated_engine_assembly.png
Probability Space Hypervessel,A_S-F_PhantasmagoriaHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaHullmod,<The Phantasmagoria of Dimensional Dream>,<The Phantasmagoria of Dimensional Dream>,,graphics/hullmods/A_S-F_phantasmagoria.png
Barrage: CUTTER,A_S-F_PhantasmagoriaCutter,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaCutter,"Barrage Multi-Cannon set to %s mode, a rapid fire general purpose configuration.

Remove hullmod to cycle configuration.","Barrage Multi-Cannon set to Cutter mode, a rapid fire general purpose configuration.",,graphics/hullmods/A_S-F_phantasmagoriaCutter.png
Barrage: SLICER,A_S-F_PhantasmagoriaSlicer,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaSlicer,"Barrage Multi-Cannon set to %s mode, a scatter fire anti-shield configuration.

Remove hullmod to cycle configuration.","Barrage Multi-Cannon set to Slicer mode, a scatter fire anti-shield configuration.",,graphics/hullmods/A_S-F_phantasmagoriaSlicer.png
Barrage: PIERCER,A_S-F_PhantasmagoriaPiercer,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaPiercer,"Barrage Multi-Cannon set to %s mode, a focused anti-armour configuration.

Remove hullmod to cycle configuration.","Barrage Multi-Cannon set to Piercer mode, a focused anti-armour configuration.",,graphics/hullmods/A_S-F_phantasmagoriaPiercer.png
Illusion: CURTAIN,A_S-F_PhantasmagoriaCurtain,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaCurtain,"Illusion-pattern missile fabricator set to produce %s missiles.

Remove hullmod to cycle configuration.",Illusion-pattern missile fabricator set to produce Curtain missiles.,,graphics/hullmods/A_S-F_phantasmagoriaCurtain.png
Illusion: SHROUD,A_S-F_PhantasmagoriaShroud,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaShroud,"Illusion-pattern missile fabricator set to produce %s suppression micromissiles.

Remove hullmod to cycle configuration.",Illusion-pattern missile fabricator set to produce Shroud suppression micromissiles.,,graphics/hullmods/A_S-F_phantasmagoriaShroud.png
Illusion: PARTITION,A_S-F_PhantasmagoriaPartition,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaPartition,"Illusion-pattern missile fabricator set to produce %s strike missiles.

Remove hullmod to cycle configuration.",Illusion-pattern missile fabricator set to produce Partition strike missiles.,,graphics/hullmods/A_S-F_phantasmagoriaPartition.png
Temporal Core: REGULATED,A_S-F_PhantasmagoriaRegulator_on,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaRegulator_on,"<Come to terms with death, thereafter anything is possible>","<Come to terms with death, thereafter anything is possible>",,graphics/hullmods/A_S-F_phantasmagoriaRegulatorOn.png
Temporal Core: UNREGULATED,A_S-F_PhantasmagoriaRegulator_off,,,,no_build_in,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaRegulator_off,"<Deep insight gives way to Spectacle, and Spectacle to Violence and Gore, until in the end little is left but the Gore>","<Deep insight gives way to Spectacle, and Spectacle to Violence and Gore, until in the end little is left but the Gore>",,graphics/hullmods/A_S-F_phantasmagoriaRegulatorOff.png
Temporal Core On Decoy,A_S-F_PhantasmagoriaCore_on,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_clavataDummy,Pure Dummy swapping hullmod [ON],Pure Dummy swapping hullmod [ON],,graphics/hullmods/A_S-F_phantasmagoria.png
Temporal Core Off Decoy,A_S-F_PhantasmagoriaCore_off,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_clavataDummy,Pure Dummy swapping hullmod [OFF],Pure Dummy swapping hullmod [OFF],,graphics/hullmods/A_S-F_phantasmagoria.png
Warburn Systems,A_S-F_GaderogaHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_GaderogaHullmod,<The Fortress of Annihilation>,<The Fortress of Annihilation>,,graphics/hullmods/A_S-F_warburn.png
Warburn Systems,A_S-F_BerzeliusHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_BerzeliusHullmod,<The Fortress of Annihilation - Berzelius>,<The Fortress of Annihilation - Berzelius>,,graphics/hullmods/A_S-F_warburn.png
Warburn Systems,A_S-F_DerelictWarburn,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_DerelictWarburn,<The Fortress of Annihilation - Derelict>,<The Fortress of Annihilation - Derelict>,,graphics/hullmods/A_S-F_warburn.png
Lebruck Missile Foundry,A_S-F_lebruckFoundry,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_lebruckFoundry,<Missile Power Fantasy>,<Missile Power Fantasy>,,graphics/hullmods/A_S-F_lebruckFoundry.png
Hybrid Weapons Integration,A_S-F_lebruckArsenal,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_lebruckArsenal,"Specialised weapon mounts that ease the installation of weapons.
Reduces the ordnance point cost of ballistic and energy weapons by %s/%s/%s.",Reduces ordnance point cost of ballistic and energy weapons.,,graphics/hullmods/A_S-F_lebruckArsenal.png
Expansive Missile Racks,A_S-F_expansiveracks,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ExpansiveMissileRacks,"This ship features a massively expanded storage of ammunition for its primary missile mount.
To such an extent that power conduits and munition feeds for the ships other weapons had to be downgraded to be able to fit all the missile storage.
Increases the ammo capacity of missile weapons by %s and missile weapons have %s increased fire rate and ammo regeneration.
Ballistic Weapon Rate of Fire is reduced by %s and Energy Weapon Damage and Flux Cost are also reduced by %s.",Increases missile weapon ammo.,,graphics/hullmods/A_S-F_bulk_missile_storage2.png
Enhanced Ballistic Support Package,A_S-F_rinkaHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_rinkaHullmod,<Just give me a clear view.>,"Increased Ballistic performance, variable based on system state.",,graphics/hullmods/A_S-F_rinkaHullmod.png
Photon Acclerator Core,A_S-F_transparenceHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_transparenceHullmod,<Get It By Your Hands>,<Get It By Your Hands>,,graphics/hullmods/A_S-F_transparenceHullmod.png
Plasma-tap Shields,A_S-F_plasmaTapShields,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PlasmaTapShields,"<Things are gonna get pretty busy, crew!>","<Things are gonna get pretty busy, crew!>",,graphics/hullmods/A_S-F_plasmaTapShields.png
