id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
A_S-F_gladius_hajod_wing,A_S-F_gladius_hajod_fighter,"no_drop, no_sell, mid",0,,6,6,V,4000,500,300,3,FIGHTER,Fighter,10,12000,,,,,,,,,,,,,2224
A_S-F_downfall_wing,A_S-F_downfall_assault,"fighter4, fighter, low, leader_no_swarm, attack_at_an_angle, rare_bp, hist1t, merc, ind",2,0.7,7,15,V,4000,500,100,2,FIGHTER,Heavy Fighter,18,15000,,,,,,,,,,,,,2227
A_S-F_estes_wing,A_S-F_estes_int,"fighter3, interceptor, low, rare_bp, merc, ind",2,0.8,7,12,V,5000,500,750,2,FIGHTER,Assault Interceptor,15,10000,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_incisor_wing,A_S-F_incisor_support,"support2, fighter, high, rare_bp, hist1t, merc, ind",1,0.8,5,8,CLAW,1000,600,,4,SUPPORT,Support,8,9000,,,,,,,,,,,,,2225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_hecatocles_wing,A_S-F_hecatocles_bomber,"bomber5, bomber, mid, rare_bp, hist1t, merc, ind",3,0.5,6,20,V,4000,2000,100,1,BOMBER,Heavy Bomber,20,15000,,,,,,,,,,,,,2226
A_S-F_naja_wing,A_S-F_naja_bomber,"bomber5, bomber, high, rare_bp, hist1t, merc, ind",3,0.5,6,15,V,4000,2000,300,2,BOMBER,Bomber,20,12000,,,,,,,,,,,,,2228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_glitter_wing,A_S-F_glitter_ion,"no_sell, fighter, remnant, fighter5, auto_fighter, merc",3,,8,12,V,4000,400,100,3,FIGHTER,Fighter Drone,15,12000,,,,,,,,,,,,,22223
A_S-F_glister_wing,A_S-F_glister_stk,"no_sell, interceptor, remnant, interceptor5, auto_fighter, merc",3,,6,10,V,4000,250,450,1,INTERCEPTOR,Interceptor Drone,12,12000,,,,,,,,,,,,,22224
A_S-F_coruscate_wing,A_S-F_coruscate_supp,"no_sell, fighter, remnant, support3, auto_fighter, merc",3,,7,16,V,0,700,,2,SUPPORT,Support Drone,15,12000,,,,,,,,,,,,,22225
A_S-F_cusp_wing,A_S-F_cusp_bomb,"no_sell, bomber, remnant, bomber5, auto_fighter, merc",3,,5,15,V,4000,2000,500,4,BOMBER,Strike Drone,15,8000,,,,,,,,,,,,,22226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_gyastar_wing,A_S-F_gyastar_ftr,"no_drop, no_sell, low",0,,6,0,V,3000,400,300,2,FIGHTER,Fighter Drone,10,20000,,,,,,,,,,,,,222313
A_S-F_servant_wing,A_S-F_servant_greed,"no_drop, no_sell, low",0,,8,0,V,0,800,,2,SUPPORT,Greed Servant,10,80000,,,,,,,,,,,,,222314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_ammon_wing,A_S-F_ammon_atk,"auto_fighter, no_drop, no_sell, high, rapid_reform, leader_no_swarm, wingmen_no_swarm, match_leader_facing, independent_of_carrier, restricted",0,,0,0,V,100000,200,0,1,INTERCEPTOR,Attack Drone,5,100000,,,,,,,,,,,,,222999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
