id,type,text1,text2,text3,text4,notes
A_S-F_gemogee,SHIP,"A modification of the Apogee, sacrifices its main weaponry to fit a pair of Gemini-type containers. Cargo capacity sees a minor increase, but more important is the ability to support a pair of fighter wings.",,,,
A_S-F_auditor,SHIP,"An attempt to mate the strengths of the Monitor and the Brawler, the combination of a cut-down Paladin PD System and a medium weapon mount allow for impressive flexibility in combat.

While potent, the Auditor sits in something of an strange niche, lacking the sheer staying power of the Monitor, or the raw firepower of the Brawler it instead acts as something of a generalist escort frigate well suited to field long range support weapons.",,,,
A_S-F_peryton,SHIP,"A missile armed light cruiser that follows the principle of quantity having a quality of its own, features a unique missile rack setup that allows for notably more missiles than normal to be stored, and for them to be fed into launchers at a greater pace, but at the downside of reduced missile warhead potency. 

Similarly to the more common Gryphon, the Peryton also has a relatively underpowered flux core for its size, but if it is able to sit at a distance behind other fleet assets and unleash a steady barrage of missiles, this weakness is unlikely to be a major concern.",,,,
A_S-F_gaoler,SHIP,"The Gaoler is a hull designed to act as a relatively lightweight fighter platform, although rather poorly armed and lacking in the dedicated fighter support systems typically seen on heavier carriers it instead features a pack of Shackle class drones.

Shackle class drones are armed with a unique Disruption Mortar which is modelled on the more common Light Mortar, but instead of the standard explosive shell loads a specialised warhead that unleashes a burst of broad-spectrum radiation on detonation, this is capable of overwhelming and disabling even hardened systems with sufficient quantities of repeat fire.",,,,
A_S-F_bathory,SHIP,"One of the first vessels able to reliably detect phased ships, the Bathory has been continously refitted with some of the most advanced sensor hardware available allowing it to remain a practical combat vessel even all these years after its initial production.",,,,
A_S-F_gleam,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. At least that is how the official histories tell it.

The Gleam is an advanced testbed for esoteric technologies, mounting a prototype of the Temporal Shell system that exists in a more refined form on the Scarab. A concerning note is that the rear ""Formia Emitter"" module does not appear on the officialy recorded Tri-Tachyon blueprints for the Gleam.",,,,
A_S-F_glitter,SHIP,"An autonomous AI heavy fighter, while short ranged the Glitter's modified beam weapons allow it to both put modest pressure on shielding and deal serious EMP damage. The AI cores installed in the Glitter are noted to be sadistic and actively avoid targeting communications nodes, allowing calls for assistance to go out as they slowly and methodically tear helpless vessels to pieces.",,,,
A_S-F_lanner,SHIP,"The Lanner comes from a derivative of the Cruiser-school design concept, eschewing all around balanced firepower and instead being designed around a single large fixed frontal heavy mount around which the loadout of the entire ship is focused. A generous number of missile hardpoints allow the ship to make up for any lack in aesthetics with raw finisher firepower.",,,,
A_S-F_lustre,SHIP,"Autonomous AI fleets were developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. This however, is no remnant of those fleets.

The Lustre is a mystery, the first recorded sightings were during the the second AI war, the sparse and limited records are largely fragmentary and with no identifiable links to any known Tri-Tachyon designs the first sightings were initally passed off as sensor glitches or even outright fabrications, but in the years past repeated and more well documented sightings have proven it to be worryingly real. Analysis of the few that have been recovered partially intact have revealed that its systems show a departure from domain standard engineering practices. While its core systems are similar enough to understand, the adaptive components are largely incomprehensible to even the most well trained technicians.",,,,
A_S-F_glister,SHIP,"An autonomous AI fighter, the Glister is outfitted with a phase skimmer which combined with impressive engines allow it to outmaneuver near any other strikecraft. While the LPC is limited to only deploying a single craft, a Glister is easily capable of holding its own when significantly outnumbered.",,,,
A_S-F_lanner_p,SHIP,"A one-off pirate modification of the Lanner class cruiser.

The Lanner comes from a derivative of the Cruiser-school design concept, eschewing all around balaned firepower and instead being designed around a single large fixed frontal heavy mount around which the loadout of the entire ship is focused. This pirate modification has the choice between being able to deploy a very heavy missile load, or a slightly more modest load and to not have its rear arc completely undefended.",,,,
A_S-F_phantasmagoria,SHIP,"""I am only satisfied if my spectators, shivering and shuddering, raise their hands or cover their eyes out of fear of ghosts and devils dashing towards them.""
- Found etched on primary flight control interface.",,,,
A_S-F_mancatcher,SHIP,"A heavily modified Gaoler, features heavier weapon mounts and a integrated LPC for a customised wing of Gladius Fighters.

The Gaoler is a hull designed to act as a relatively lightweight fighter platform, this modified variant improves on the issues with limited armament, but still lacks the dedicated fighter support systems typically seen on heavier carriers and instead features a pack of Manacle class drones.

Manacle class drones are armed with a unique Disruption Autocannon which is modelled on the more common Light Autocannon, but the standard kinetic shell now has a significant portion of its mass devoted to loading a specialised warhead that unleashes a burst of broad-spectrum radiation on impact, this is capable of overwhelming and disabling even hardened systems with sufficient quantities of repeat fire.",,,,
A_S-F_gladius_hajod,SHIP,"This modified Gladius LPC has been hacked to allow for three fighters to be produced at once, and the fighters themselves feature improved armour and has an altered weapon load that is focused on disabling targets.",,,,
A_S-F_exegetes,SHIP,"Intended as the hammer to the anvil of the Monitor, High mobilily and a respectable weapons package allow the Exegetes to fill this role quite well.

The high resistance to weapons fire of the ships specialised shield emitter allows the Exegetes to win most one on one engagements, but the narrow projected arc and above average upkeep can cause issues in anything other than the most ideal situations.",,,,
A_S-F_gaderoga,SHIP,"Externally this ship appears to share similarities with some of the more common vessels seen in the sector, but the internals are anything but standard.

Built around a central autocannon that is remarkably outdated in comparison to the technology in use across the rest of the hull, but still performs adequately with assistance from the integrated munitions feed and subweaponry.

A majority of the data storage on internal systems has been heavily corrupted, but what little documentation can be recovered makes several reference to an ""Ark"" but the location of this Ark, or what it could be remains a mystery.",,,,
A_S-F_gathima,SHIP,"Externally this ship appears to share similarities with some of the more common vessels seen in the sector, but the internals are anything but standard.

Mounts a pair of moderately advanced missile launchers, complimented by the ships highly advanced munitions loading system.

A majority of the data storage on internal systems has been heavily corrupted, but what little documentation can be recovered makes several reference to an ""Ark"" but the location of this Ark, or what it could be remains a mystery.",,,,
