name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nieuport Linear Rifle,A_S-F_nieuport,3,0.3,5000,700,,75,10,10,30,8,,,,KINETIC,75,,0.3,0.3,2,0.3,,,,,,1000,,,40,,,,"kinetic9, LR, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Anti Shield,,,,Special,"EMP Damage increases as the firing ships flux level increases, maximum of %s at %s flux or higher.
Hits on shield increase the target ships soft flux by an amount equal to %s of the shots EMP damage.",50 | 80% | 160%,"This weapon becomes more accurate as the firing ships flux level increases, reaching maximum accuracy at %s flux or higher.",80%,,222004
Salmson Burst Grenade Launcher,A_S-F_salmson,3,0.3,5000,600,,80,40,15,25,8,,,,HIGH_EXPLOSIVE,80,,0,1.25,4,0.25,6,18,3,4,,500,,,60,,,,"he9, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Anti Armor,,,,,Causes an explosion on impact that deals %s damage to nearby targets.,40 Energy,,,,222005
Klabu Battle Cannon,A_S-F_klabu,3,0.3,15000,850,,400,,25,12,15,,,,HIGH_EXPLOSIVE,600,,0,3,1,,2,8,2,4,,800,,,300,,,,"he17, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Anti Armor,,,,,Causes an explosion on impact that deals %s damage to nearby targets.,300 Fragmentation,,,,222008
Kabid Volley Gun,A_S-F_kabid,3,0.3,5000,900,,160,,12,12,15,,,,KINETIC,450,,0.4,2,1,,0,0,0,0,,4000,,,50,,,FIRE_WHEN_INEFFICIENT,"kinetic16, LR, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Anti Shield,,,,,"On impact quantum linkages trigger a volley of additional weaker shots from the main weapon.

Full Volley Damage: %s
Full Volley Damage / second: %S
Full Volley Flux / damage: %s",600 | 250 | 0.75,,,,222013
Kombeo Cluster Flak,A_S-F_kombeo,3,0.3,5000,450,,60,,10,60,5,,,,HIGH_EXPLOSIVE,50,,0,0.8,1,,0,12,2,12,,700,,,40,,,PD,"pd8, he4, SR, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Point Defense (Area),,,,,Shells deploy %s clusters that each deal %s fragmentation damage.,4 | 20,,,,222014
Twin Kombeo Cluster Flak,A_S-F_kombeoTwin,3,0.3,15000,500,,60,,10,40,10,,,,HIGH_EXPLOSIVE,50,,0,0.3,1,,0,12,2,12,,700,,,40,,,PD,"pd14, he7, SR, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Point Defense (Area),,,,,Shells deploy %s clusters that each deal %s fragmentation damage.,4 | 20,,,,222015
Kufikiri Smartcannon,A_S-F_kufikiri,3,0.3,15000,850,50,,,1,12,16,,,,ENERGY,,1000,0,0,0.4,1.6,,,,,680000,,,,,,,FIRE_WHEN_INEFFICIENT,"kinetic16, he16, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Adaptive,,,,,"Fires a targeting beam that determines what sort of guided munition to fire based on what is hit.

%s Three charged Projectiles that deal %s Kinetic and %s EMP damage each (%s)

%s One volatile Projectile that deals %s High Explosive and %s Fragmentation damage (%s + %s)",Shield: | 100 | 60 | 150 Kinetic DPS | Hull/Armour: | 240 | 180 | 120 HE DPS | 90 Frag DPS,,,,222017
Sumake Magnegun,A_S-F_sumake,3,0.3,5000,600,,60,60,6,25,7,,,,ENERGY,30,,0.4,1.6,1,,0,0,0,0,,650,,,20,,,,"kinetic8, he8, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Suppression,,,,Special,Shots spread out before turning to face aim direction.,,,,,222018
Kaksos Autocannon,A_S-F_kaksos,0,,900,600,,120,,8,12,9,,,,KINETIC,84,,0,0.4,1,,4,22,3,8,,800,,,30,,,,"kinetic15, SR, rare_bp, merc, ind",,,,Anti Shield,,,,,,,,,,2224.125
Laaja Spreadcannon,A_S-F_laaja,0,,3000,800,,80,,5,12,20,,,,KINETIC,60,,0,3,1,,18,24,2,3,,800,,,30,,,,"kinetic18, rare_bp, merc, ind",,,,Anti Shield,,,,Spread,"Projectiles have varying velocity and range.
All projectiles will reach at least %s range, and %s will reach maximum range.",70% | 25%,,,,2227.25
