name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Arethusa,CFT_arethusa,Combat Support Ship,CFT Midline,maneuveringjets,28,12000,1300,14500,,660,270,4,60,15,10,15,10,4200,OMNI,,165,0.5,1,,,380,650,550,750,10,45,8,200000,2,20,720,0.25,28,28,,,,,,,,cft_bp,,0.4,2,3,,
Astera,CFT_astera,Combat Tanker,CFT Midline,flarelauncher,10,2500,560,2800,,280,130,,100,50,30,30,25,500,OMNI,,110,0.6,1,,,15,20,45,900,2,300,8,27000,6,10,180,0.25,10,10,,,,,,,TANKER,cft_bp,,0.7,2,4,,
Barkentine,CFT_barkentine,Light Carrier,CFT Midline,reservewing,10,3600,450,2500,,330,105,3,70,60,40,20,20,400,FRONT,,110,0.4,1,,,95,120,125,30,2,15,9,54000,5,10,360,0.25,11,11,,,,,,,CARRIER,cft_bp,,0.5,2,3,,
Barque,CFT_barque,Destroyer,CFT Midline,maneuveringjets,10,3050,320,6700,,400,95,,120,110,90,50,60,200,FRONT,,200,0.3,1,,,45,50,90,55,1,25,10,39000,8,10,240,0.25,10,10,,,,,,,,cft_bp,,0.4,2,2,,
Bawley,CFT_bawley,Light logistics,CFT Midline,CFT_empburst,7,900,150,1800,,225,55,2,90,110,80,70,70,220,OMNI,,80,0.5,0.8,,,20,35,200,30,1,40,9,14000,8,10,240,0.25,7,7,,,,,,,CARRIER,cft_bp,,0.5,2,2,,
Bolster,CFT_bolster,Logistics & Recovery,CFT Midline,CFT_empburst,28,15000,700,14000,,810,265,4,60,40,30,20,20,5000,OMNI,,140,0.4,1,,,500,1100,1700,450,6,50,8,400000,4,15,300,0.25,40,40,,,,,,,CARRIER,cft_bp,,0.4,2,4,,
Bombardier,CFT_bombardier,Missile Cruiser,CFT Midline,forgevats,15,7000,680,12000,,640,210,2,85,60,20,15,20,1200,OMNI,,120,0.4,0.8,,,150,250,150,100,3,33,8,125000,3,12,480,0.25,25,25,,,,,,,,cft_bp,,0.5,2,3,,
Bourbon,CFT_bourbon,Battleship,CFT Midline,fortressshield,30,19000,1800,20000,,880,320,,60,19,19,9,9,3800,OMNI,,180,0.4,0.6,,,450,650,200,500,18,27,8,445000,3,12,800,0.25,50,50,,,,,,,,cft_bp,,0.4,2,4,,
Brigantine,CFT_brigantine,Combat Freighter,CFT Midline,maneuveringjets,9,4000,450,3500,,250,125,,80,60,45,35,25,500,OMNI,,100,0.4,1,,,30,70,350,80,2,40,9,29000,5,10,420,0.25,7,7,,,,,,,,cft_bp,,0.5,2,3,,
Carrack,CFT_carrack,Combat Hauler,CFT Midline,flarelauncher,12,6000,310,4200,,270,140,2,60,10,5,3,2,4000,OMNI,,110,0.5,1,,,50,100,2200,550,6,67,8,90000,2,15,720,0.25,18,18,,,,,,,"CIVILIAN, FREIGHTER",cft_bp,,0.7,2,4,,
Cog PD Platform,CFT_pdplat,Support Cruiser,CFT Midline,canister_flak,10,3000,200,9000,,400,90,2,110,70,65,65,65,2100,OMNI,,275,0.3,1,,,10,20,20,50,2,15,9,28000,5,8,120,0.25,8,8,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",cft_bp,,0.6,2,3,,
Chester,CFT_chester,Carrier,CFT Midline,flarelauncher,18,8000,1090,4200,,290,160,3,95,60,50,25,25,2100,OMNI,,125,0.4,1,,,250,300,120,55,4,15,8,135000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",cft_bp,,0.4,2,3,,
