id,type,text1,text2,text3,notes
CFT_arethusa,SHIP,"The Arethusa class was designed to match the travel speed of carriers and other medium to large warships so as to minimize replenishment time. Another step in this direction was to build in a salvaging system, mining drones and a large pulse mining laser to help in replenishing ordnance and stores in addition to fuel. It is sturdy enough to deploy in combat situations and is equipped with an operations center for when things get tough and more direct support is needed.",Combat Support,,
CFT_astera,SHIP,"Recognizing the Sloop as a catastrophe waiting to happen, the CFT higher-ups pushed for the development of a replacement tanker that fulfills a similar role without exploding as often. Building the ship properly has expanded materials costs to nearly three times that of the Sloop, though fuel capacity is improved as well. Despite the best efforts of the marketing bureaus, adoption of the Astrea has been slower than expected.",Combat Tanker,,
CFT_barkentine,SHIP,"A mainstay of quick-response fleets in CFT space, the Barkentine is usually deployed as a point defense boat. The twin fighter bays and over clocked LPC forge give creative fleet captains a larger-than-expected degree of operational flexibility. Crews often develop an attachment to their Barkentine's PD drone, giving it a name and viewing it as an informal fleet mascot. Do not insult its combat prowess within their earshot.",Light Carrier,,
CFT_barque,SHIP,"One of the oldest Freetrader designs still in use, rumors persist that Carter himself encoded a secret message into its design documents. Construction requires one each of the two most common derelicts in the Persean Sector: the Apogee and the Hammerhead. The front of the Apogee is joined to the rear of the Hammerhead, and the ship is complete following some minor quality control. Much speculation surrounds what is done with the remaining half of each ship. Quite maneuverable for its size.",Destroyer,,
CFT_bawley,SHIP,"A lesser-known aspect of the CFT wrecking pipeline is its software salvaging arm. The code to run their ships is just as difficult to assemble as the ships themselves - anything that can be ripped from the databanks of Pengersick’s wrecks is copied and repurposed. In the sole known case of a derelict Revenant entering the gravity well, an array of delta-level AIs was discovered generating electrical discharges seemingly without purpose. A ship was commissioned as a test bed to determine what this system did, and though it fell well below expectations the Bawley has found a role as a low-cost disabler and PD boat.",Logistics Frigate,,
CFT_bolster,SHIP,"Designed from the keel up as a dedicated salvage and mining hull, the Bolster's use in military fleets has been increasing thanks to its advanced sensors and post-battle recovery capabilities. Capable in every role except combat, more adventurous explorers have taken to flying this ship into the sector periphery unescorted. A true gem of the CFT design bureau.",Capital Logistics,,
CFT_bombardier,SHIP,"The dedicated missile boat of the CFT. Rather than the prolonged-engagement focus of similar ships, the Bombardier is designed to ensure the highest hit chance for the missiles it launches with built-in ECM and ECCM systems and a pair of Apollo wings hardcoded into the LPC forge. Can be repurposed into a semi-functional alpha-strike ship with the right loadout.",Carrier,,
CFT_bourbon,SHIP,"One of the less technologically sophisticated hulls in the CFT arsenal, the Bourbon is a successful attempt to repurpose derelict civilian offcuts for military purposes. A large proportion of the ship’s cost comes from assembling a frame strong enough to withstand a series of monstrous engines capable of propelling the battleship to over twice the top speed of an Onslaught. Mounts a repair gantry, though it is used less to repair friendly ships than it is to reattach bits of the Bourbon that fall off during battle",Battleship,,
CFT_brigantine,SHIP,"After countless pirate raids, CFT has found itself inundated with Mule parts. Apprentice salvor-engineers are encouraged to practice on these, creating whatever they can manage from the endless supply of hull sections. The vast majority of are student projects suitable only as demonstrations of basic competence to their superiors. Some show promise, but only the Brigantine has survived the crucible of Pengersick for long enough to be given a designation and incorporated into the mass production rota.",Combat Freighter,,
CFT_carrack,SHIP,"The poor man’s alternative to the Dhow, the Carrack is nonetheless a capable smuggler’s ship. Constructed via the somewhat comical method of snapping a Tarsus in half and stuffing a station-sized freight loader into the middle, the loader’s micrometeorite shield is then repurposed to baffle contraband scanners. This ship is most often deployed as part of larger CFT fleets, but has enough staying power to put a dent into the occasional overconfident pirate when fielded alone.",Heavy Hauler,,
CFT_pdplat,SHIP,"Despite looking like a pauper's station, the Cog routinely surprises the enemies of CFT by not being the slowest thing in space. A hive of built-in PD weaponry, it is a stalwart shield against the fighter- and missile-heavy battlespace of the current-day Persean Sector. Lacking the daring of an assault ship or the majesty of a capital, a posting on a Cog affords officers little prestige.",Weapons Platform,,
CFT_chester,SHIP,"The Chester was designed soon after CFT arrived in the sector, to advertise their engineering prowess to investors within the Hegemony and Persean League. At first, the Carters claimed their new ship was an undiscovered Domain-era Valkyrie variant. When they published evidence proving it had been a wreck floating in the Daevas not two months prior, the orders flooded in. Combat performance is impressive, with the ship performing flashy hit-and-run fighter strikes while still being fast enough to retreat when necessary.",Carrier,,
CFT_clipper,SHIP,"Effectively a large flying cube in its undeployed state, the Clipper is notably even less atmosphere-capable than the Exeter. During ship breaking operations the central section unfurls into a fully-featured suite of salvage drones, cranes, and support facilities for workers. A damper field and a reasonable array of weapon mounts give it good survivability in combat as well.",Heavy Destroyer,,
CFT_collier,SHIP,"A repurposing and refinement of the Clipper for military support use. Combining surveying equipment, shielded cargo holds, and a repair gantry into a single ship, the partly-automated crew of the Collier is permanently active in maintaining, outfitting, and supporting any non-combat operations undertaken by CFT. Like the Bolster, the crew is specially equipped for a combat engineering role, allowing for faster repair of severe damage after battle. A fully deployed Collier has been mistaken for a pirate space station by more than one Hegemony patrol.",Heavy Logistics Cruiser,,
CFT_coventry,SHIP,"A mature and versatile CFT hull design proven by a century of deployments. Excels against swarms of smaller ships, as there is very little space around the cruiser not covered by multiple weapons. Depending on the loadout, there is a role to be found for the Coventry from the backline to the front.",Heavy Cruiser,,
CFT_cutty,SHIP,"Designed for a very specific role in CFT fleets, the Cutty is intended to distract larger enemy ships as part of a wolfpack, creating an opening for other destroyers and frigates to move in for the kill. Weapons systems were sacrificed in favor of engines and armor, creating a fast destroyer with the armor of a cruiser. Engineers attempted to build a burn drive into the ship, but the already-overtaxed subsystems severely limit burn distance.",Heavy Destroyer,,
CFT_danube,SHIP,"The Danube is a common first command for CFT captains that eschew military officer school for the relative liberty of freelancing. As such, they are involved in more accidents than any other vessel in CFT space. On the worlds of Pengersick, a Danube displaying the unmistakable dents of unskilled piloting will be a popular target for mockery and petty vandalism. Performance-wise, the ship is a well-rounded if anemic destroyer with good mining, towing, and salvaging capabilities. Poor in combat.",Salvage miner,,
