name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#guns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spread Shot Chaingun,CFT_spreadchaingun,0,,1600,450,,30,,4,30,12,,,,HIGH_EXPLOSIVE,20,,0,0.2,2,,15,45,1,10,,400,,,30,,,,"he6, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Basilisk,CFT_basilisk,0,,2250,800,,20,,10,7,12,,,,HIGH_EXPLOSIVE,20,,0,0.75,3,0.1,0,5,0.1,1,,800,,,15,,,,"he11, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Howitzer,CFT_howitzer,1,0.5,7500,800,,350,,200,5,18,,,,HIGH_EXPLOSIVE,275,,0,1,2,0.33,0,60,20,25,,500,,,250,,,,"he18, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Wrecker,CFT_wrecker,0,,3000,700,,450,,40,10,13,,,,HIGH_EXPLOSIVE,350,,0,2.5,1,,0,0,0,10,,400,,,300,,,,"he11, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Falconet,CFT_falconet,1,0.5,300,550,,50,,3,10,5,,,,HIGH_EXPLOSIVE,45,,0,0.45,1,0,0,1,0.2,2,,1000,,,30,,,,"he11, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Heavy Railgun,CFT_autocannon,2,,7500,1100,,550,400,100,7,18,,,,HIGH_EXPLOSIVE,400,,1,2,1,0,0,1,0.1,1,,1500,,,125,,,,"he15, cftweapon_bp",,Carter's Freetraders,,Anti Armor,,,,,,,,,,
Bombard,CFT_bombard,0,,6000,600,,80,,10,60,20,,,,FRAGMENTATION,25,,0,0.33,4,,0,10,2,10,,700,,,30,,,PD,"pd13, cftweapon_bp",,Carter's Freetraders,,Point Defense,,,,,,,,,,
Paixhan,CFT_paixhan,0,,2000,400,,200,,10,40,7,,,,FRAGMENTATION,40,,0,1,1,,0,10,2,10,,750,,,30,,,PD,"pd7, kinetic4, cftweapon_bp",,Carter's Freetraders,,Point Defense,,,,,,,,,,
Culverin,CFT_culverin,0,,1000,350,,50,,6,60,5,,,,FRAGMENTATION,4,,0,0.1,5,0.1,10,15,2,10,,1300,,,1,,,PD,"pd6, kinetic3, cftweapon_bp",,Carter's Freetraders,,Point Defense,,,,,,,,,,
Electro-Magnetic Rail Gun,CFT_ltautocannon,0,,350,1000,,40,4,12,25,4,,,,FRAGMENTATION,11,,0,0.75,9,,0,6,0.3,1,,1100,,,20,,,,"kinetic4, cftweapon_bp",,Carter's Freetraders,,Suppression,,,,,,,,,,
Electro-Magnetic Rail Cannon,CFT_medautocannon,0,,700,1000,,70,8,16,25,7,,,,FRAGMENTATION,19,,0,0.65,9,,0,7,0.6,2,,1100,,,30,,,,"kinetic8, cftweapon_bp",,Carter's Freetraders,,Suppression,,,,,,,,,,3.8
