name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Chihuahua,edshipyard_chihuahua,Doppel Corvette,ED Shipyards,edshipyard_doppelganger,3,750,150,1200,1000,80,32,,250,250,250,90,180,90,PHASE,edshipyard_doppelswap,,,,0.1,0,1,1,3,15,1,15,11,10000,5,20,360,0.25,2,2,,"rare_bp, ed_exoticship_bp",,0.75,2,2,217
Collie,edshipyard_collie,Frigate,ED Shipyards,edshipyard_spatial_swap,9,1200,180,2400,3500,200,55,1,180,180,150,90,90,180,FRONT,,360,0.5,0.75,,,5,20,10,15,1,15,10,32000,8,40,280,0.25,8,8,"CARRIER, COMBAT","rare_bp, ed_supportship_bp",0.75,0.75,2,2,202
Chin,edshipyard_chin,Phase Freighter,ED Shipyards,edshipyard_microburn,5,800,120,1600,1500,120,40,,200,150,75,45,90,100,PHASE,phasecloak,90,,,0.05,0.05,25,40,100,10,1,10,12,75000,8,30,240,0.25,4,4,"CIVILIAN, FREIGHTER","rare_bp, ed_explorationship_bp",0.45,0.5,2,2,221
Bischon,edshipyard_bischon,Phase Frigate,ED Shipyards,edshipyard_ambusher_swap,9,1800,240,2400,1500,360,60,,160,160,160,45,90,240,PHASE,phasecloak,90,,,0.045,0.045,35,50,45,20,1,20,9,55000,8,20,360,0.25,9,9,,"rare_bp, ed_frontlineship_bp",0.45,0.5,2,2,221
Pomeranian,edshipyard_pomeranian,Light Destroyer,ED Shipyards,edshipyard_mine_teleport,10,3000,250,5000,4167,250,95,,75,75,75,30,60,300,NONE,,0,0,0,,,30,100,50,60,2,30,8,50000,5,12,360,0.25,10,10,ALWAYS_PANIC,"rare_bp, ed_supportship_bp",,0.5,2,3,300
Basset,edshipyard_basset,Hunter Destroyer,ED Shipyards,edshipyard_magnetic_burst,13,5000,550,5000,3500,250,75,1,175,250,125,75,75,600,OMNI,,60,0.35,1,,,55,110,70,30,2,15,10,60000,8,40,280,0.25,12,12,"CARRIER, COMBAT","rare_bp, ed_frontlineship_bp",0.75,0.75,2,2,202
Corgi,edshipyard_corgi,Light Carrier,ED Shipyards,reservewing,10,3500,300,3000,6667,200,70,2,65,65,60,40,85,320,FRONT,,150,0.3,1.0,,,60,120,40,60,2,30,8,65000,5,20,300,0.25,11,11,CARRIER,"rare_bp, ed_supportship_bp",,0.7,2,3,309
Shiba,edshipyard_shiba,Doppel Destroyer,ED Shipyards,edshipyard_doppelganger2,11,2750,325,6000,5833,160,80,,140,420,420,70,210,275,PHASE,edshipyard_doppelswap,,,,0.05,0.05,1,5,40,60,2,30,11,50000,5,50,300,0.25,10,10,,"rare_bp, ed_exoticship_bp",0.35,0.7,2,3,319
Redbone,edshipyard_redbone,Phase Destroyer,ED Shipyards,edshipyard_mine_teleport,12,3500,500,6000,5833,150,70,,150,300,300,60,180,280,PHASE,phasecloak,,,,0.045,0.045,1,5,40,60,2,30,11,75000,5,25,360,0.25,13,13,,"rare_bp, ed_exoticship_bp",0.35,0.7,2,3,319
Beagle,edshipyard_beagle,Heavy Destroyer,ED Shipyards,edshipyard_grand_salvo,12,6000,600,3000,3333,300,82,,60,40,20,30,20,700,OMNI,,10,0.4,1.5,,,60,100,25,90,3,30,8,41500,5,12,420,0.25,14,14,SHIP_WITH_MODULES,"rare_bp, ed_frontlineship_bp",,0.4,2,3,303
