id,type,text1,text2,text3,notes

edshipyard_pomeranian,SHIP,"This little ship has plenty of firepower thanks to 3 Synergy turrets and a mine teleporter, but is quite fragile, without built-in shields and light armor. The Pomeranian is more effective at range when deployed in large numbers.

The ship comes with a mine teleporter system that can teleport a single mine at extreme range, but it has a long cooldown.",,,

edshipyard_corgi,SHIP,"The Corgi is an excellent support ship. It can equip long range missiles and launch drones to the frontline.

It's bays are very compact, so they cannot support large wings of manned fighters, using small drones instead.

The Corgi's main weakness are its frail armor and shields and its bellow average speed.",,,

edshipyard_dachshund,SHIP,"Express delivery service excellence. The Dachshund is a specialized freighter made to travel between colonies to deliver cargo quickly and efficiently. It is equipped with a Burn Drive and is quite fast when compared with other freighters of its size giving it a good chance of evading pursuers. 

The ship has external cargo containers and its cargo capacity cannot be expanded any further by conventional hull modifications.",,,

edshipyard_leonberger,SHIP,"An eccentric design that combines the size of a battle cruiser, the thick armor of a ramming ship and the agility of a phase ship. This is the fastest capital ship in the ED Shipyards line. The Leonberger is such a unique ship that it requires all crew to wear exosuits with special personal kinetic dampers to avoid accidental deaths due to the high acceleration power of the ship.

The ship has no built in safety measures allowing it to operate at maximum performance all the time, and makes it quite infamous among crew members as the fastest metal coffin in the sector.

The ship system is the Magnetic Burst, it has two operational modes, the first one repels hostile ships and zaps missiles for defensive use, the second is for offensive use, it pulls the ship and a hostile target together forcing a collision, the pull is so powerful it takes both the Leonberger and its target out of p-space right before the collision happen, while using such system seems suicidal at best it, is actually very effective due to the damage damper effect created by the magnetic field surrounding the Leonberger, greatly lowering all damage taken for a few seconds.",,,

edshipyard_groenendael,SHIP,"The Groenendael is a powerhouse. It was made to be a fleet's flagship, bringing both fighters and big guns, it has a good shield and decent armor.

The ship system is a new invention called the Spatial Swap, which allows the Groenendael to swap places with an allied ship of Cruiser class or larger. The system has a secondary effect caused by the spatial distortion, it scatters incoming impacts on the ship shields greatly increasing their absorption for a few seconds.

This ability to quickly move from one side of the battlefield to the other or rescue allies in danger makes this ship an excellent asset in any fleet.",,,

edshipyard_bernard,SHIP,"Slaving a pair of prometheuses' fuel lines to a centralized ox made a startling result, the drive field stabilizer's effect was boosted further, while the stabilization could be collapsed onto the hull to work as an ancient integrity field, effectively doubling each of the prometheuses' capacity for the same hull integrity.

Such a system requires near constant maintenance to maintain, and thus strains all but the most well supplied fleets' logistics to the point that the design is considered more of a trophy than as an actual fleet ship.

Nevertheless, the capacity and stabilization make some captains decide it is entirely worthwhile, as they are well off enough already",,,

