name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#FRIGATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stiletto,expsp_stiletto,Frigate,Machina Void Shipyards,plasmajets,7,1750,250,2450,1875,225,50,1,150,125,100,65,125,220,OMNI,,150,0.4,0.825,,,12,30,50,20,1,20,10,16000,10,20,300,0.25,7,7,,,,,,,," merc,mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,2,,200
Bona,expsp_kurierin,Combat Freighter,Machina Void Shipyards,flarelauncher_active,6,2475,375,1700,1750,240,55,1,125,105,70,48,95,320,OMNI,,150,0.35,0.8,,,25,50,85,45,1,45,9,16000,8,10,300,0.25,6,6,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,2,,221
Kampfmesser,expsp_kriegsmesser,Frigate,Machina Void Shipyards,maneuveringjets,5,2000,350,2200,1750,200,55,1,140,120,100,70,90,200,OMNI,,180,0.35,0.9,,,15,30,40,40,1,40,10,12000,8,10,300,0.25,6,6,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,2,,204
#Forager,expsp_forager,Drone Tender,Machina Void Shipyards,maneuveringjets,4,1250,250,1600,1250,120,30,1,100,120,80,90,180,200,OMNI,,150,0.4,0.95,,,15,30,95,40,1,40,9,16000,8,20,300,0.25,5,5,,,,,,,CARRIER,"mvs,expsp_mvs_bp,expsp_mvs_package,independent",,0.5,2,2,,216
Kriss,expsp_kris,Corvette,Machina Void Shipyards,displacer,5,1000,225,1850,2500,200,35,,190,240,200,150,360,80,OMNI,,180,0.35,0.8,,,4,6,15,20,1,20,10,10000,8,8,300,0.25,4,4,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package,independent",,0.5,2,2,,205
Shashka,expsp_shashka,Heavy Frigate,Machina Void Shipyards,expsp_cossackjets,8,2000,400,3450,2813,300,65,1,145,200,175,90,270,200,OMNI,,180,0.25,0.825,,,15,25,20,20,1,20,10,38000,8,16,300,0.25,12,12,,,,,,,,"rare_bp, hist1t, mvs",0.75,0.5,2,2,,206
Malakh,expsp_malakh,Aerospace Superiority Frigate,Machina Void Shipyards,maneuveringjets,6,1700,300,2050,1750,200,55,1,140,120,100,70,90,200,OMNI,,180,0.35,0.925,,,25,40,30,30,1,30,9,16000,8,10,300,0.25,7,7,,,,,,,"CARRIER, COMBAT","mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,2,,204
Scytale,expsp_scytale,Heavy Hybrid Phase Frigate,Machina Void Shipyards,expsp_phasecloakmvs_burst,6,2250,425,2650,1750,250,45,,160,140,100,70,90,200,OMNI,,180,0.35,1.1,,,15,30,40,40,1,40,10,12000,8,10,300,0.25,9,9,,,,,,,PHASE,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,2,,204
Switchblade,expsp_kiteskipper,Assault Shuttle,Machina Void Shipyards,expsp_pursuitburn,4,1850,375,2250,1000,200,30,1,175,170,100,60,85,200,OMNI,,180,0.35,0.85,,,5,125,60,60,1,60,9,8000,6,15,300,0.25,5,5,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.75,2,2,,222
Korsettes,expsp_korsettes,RKM Frigate,Machina Void Shipyards,expsp_energizedram_sys,6,3250,750,2250,1000,200,30,0,200,170,100,60,85,800,PHASE,expsp_damper,,,,0.06,0.06,0,0,0,0,1,50,9,18000,6,15,300,0.25,5,5,,,,,,,HIDE_IN_CODEX,,,0.75,2,2,,222
Puukko,expsp_puukko,Frigate,Machina Void Shipyards,displacer,5,1750,275,2450,1875,225,55,1,160,140,100,70,140,250,OMNI,,150,0.4,0.85,,,15,20,20,20,1,20,10,16000,10,20,300,0.25,7,7,,,,,,,," merc,mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,2,,200
Ascalon,expsp_ascalon,Advanced Chrono-Frigate,Machina Void Shipyards,expsp_fightertemporalshell,13,2250,325,3450,2813,300,65,1,160,140,115,75,120,300,OMNI,,180,0.3,0.8,,,35,45,30,20,1,20,10,100000,7,20,540,0.25,20,20,,,,,,,,"rare_bp, hist1t,mvs",0.5,0.5,2,2,,220
Testudo,expsp_testudo,Aegis Frigate,Machina Void Shipyards,expsp_defensefocus,8,1650,425,3200,2813,275,40,1,150,200,175,90,270,200,FRONT,,360,0.25,0.8,,,15,25,20,20,1,20,10,25000,8,16,300,0.25,9,9,,,,,,,,"rare_bp, hist1t, mvs",0.75,0.5,2,2,,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DESTROYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odilia ,expsp_hetzer,Scout Destroyer,Machina Void Shipyards,maneuveringjets,9,3250,425,5000,5833,350,90,1,100,100,80,35,80,250,OMNI,,150,0.35,0.95,,,18,30,40,60,2,30,10,30000,5,15,425,0.25,12,12,,,,,,,,"independent,merc,mvs,expsp_mvs_bp,expsp_mvs_package",,0.7,2,3,,4
Cipher,expsp_cipher,Phase Destroyer,Machina Void Shipyards,expsp_burstcore,10,3500,550,5700,18000,720,95,,105,75,60,40,35,500,PHASE,expsp_phasecloakmvs,,,,0.07,0.07,18,40,90,100,2,50,9,100000,5,15,360,0.25,18,18,,,,,,,PHASE,"rare_bp, hist2t, mvs",,0.5,2,3,,406
Intervention,expsp_intervention,Railgun Destroyer,Machina Void Shipyards,maneuveringjets,14,4000,500,9700,7000,570,80,1,80,50,30,30,25,550,OMNI,,240,0.35,0.95,,,18,30,60,60,2,30,9,130000,4,12,540,0.25,20,20,,,,,,,,"rare_bp, hist2t, mvs",,0.5,2,3,,400
Virtue,expsp_virtue,Light Combat Carrier,Machina Void Shipyards,expsp_datalink,9,5000,600,4700,1833,270,80,2,60,40,25,25,10,400,OMNI,,150,0.35,0.95,,,85,140,140,30,2,15,9,45000,5,10,425,0.25,14,14,,,,,,,"CARRIER, COMBAT","independent,merc,mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,3,,302
Dismas ,expsp_verteidiger,Heavy Destroyer,Machina Void Shipyards,expsp_bombardmentmode,11,5750,825,5700,5833,445,95,1,92,60,50,40,60,450,OMNI,,180,0.35,0.90,,,40,80,80,60,2,30,10,42500,5,12,425,0.25,13,13,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package,independent",,0.5,2,3,,305
Piran,expsp_sammlerin,Heavy Mining Rig,Machina Void Shipyards,flarelauncher_active,9,5500,750,4500,4000,225,75,2,75,40,20,20,15,500,OMNI,,120,0.35,1,,,40,60,200,70,2,35,8,37500,5,10,425,0.25,11,11,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package,independent",,0.5,2,3,,
Eustace ,expsp_scharfrichter,Interdictor Destroyer,Machina Void Shipyards,expsp_disruptor,13,3000,575,5500,5833,350,75,1,115,120,90,45,90,250,OMNI,,180,0.35,0.95,,,18,18,20,40,2,20,10,30000,5,15,425,0.25,18,18,,,,,,,,"rare_bp, hist2t, mvs",,0.7,2,3,,4
Eloy,expsp_sunder_mvs,Destroyer,Machina Void Shipyards,highenergyfocus,11,4750,450,8250,8333,575,95,1,95,80,60,36,36,350,FRONT,,300,0.35,1,,,50,70,40,40,2,20,9,52500,5,15,300,0.25,13,13,,,,,,,,"rare_bp, hist2t, mvs",,0.5,2,3,,301
Lauretana,expsp_lauretana,Assault Destroyer,Machina Void Shipyards,expsp_energizedcharge,11,5250,750,5500,5833,400,110,1,90,60,50,40,60,450,OMNI,,150,0.35,0.95,,,40,200,80,100,2,50,9,42500,5,12,425,0.25,14,14,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,3,,305
Tzaphkiel,expsp_tzaphkiel,Advanced Test Platform,Machina Void Shipyards,expsp_lock,14,5750,777,9500,5833,550,100,,110,120,100,50,90,600,OMNI,,180,0.3,0.90,,,40,80,50,50,2,25,10,177777,5,20,450,0.20,22,22,,,,,,,,"rare_bp, hist2t, mvs",0.5,0.5,2,3,,305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,,,,
#Eagle (MVS),expsp_eaglemvs,Cruiser,Machina Void Shipyards,maneuveringjets,15,8250,1050,11000,10500,675,155,1,55,33,24,18,22,1200,FRONT,,270,0.35,0.8,,,125,250,150,100,3,33,8,120000,3,12,540,0.25,27,27,,,,,,, , ,,0.5,2,3,,401
#Venture (MVS),expsp_machinaventure,Cruiser,Machina Void Shipyards,ammofeed,11,11000,1400,7250,6000,520,120,1,45,20,15,14,8,1500,OMNI,,150,0.35,1,,,110,325,450,150,2.5,48,8,110000,5,10,540,0.25,18,18,,,,,,, , ,,0.4,2,3,,8
Gemma,expsp_provisioner,Heavy Combat Freighter,Machina Void Shipyards,maneuveringjets,13,7500,800,7200,6000,350,105,2,60,30,20,20,20,1000,OMNI,,180,0.35,0.95,,,60,160,400,400,2,200,8,60000,4,12,480,0.25,15,15,,,,,,,"CIVILIAN,TANKER, FREIGHTER, COMBAT","mvs,expsp_mvs_bp,expsp_mvs_package",,0.5,2,3,,10
Lazarus,expsp_anker,Heavy Cruiser,Machina Void Shipyards,expsp_hybridfocus,17,10000,1350,11000,9000,700,180,1,40,25,10,15,15,2000,OMNI,,180,0.4,0.95,,,150,250,125,150,5,30,8,140000,4,12,540,0.25,30,30,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,3,,404
Principality,expsp_principality,Aerospace Superiority Cruiser,Machina Void Shipyards,expsp_authority,16,9500,1200,7500,7000,625,125,2,50,22,12,12,12,2000,OMNI,,180,0.35,0.95,,,175,250,100,80,4,20,8,145000,4,12,420,0.25,25,25,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,3,,410
Clement,expsp_searchlight,Converted Droneship Cruiser,Machina Void Shipyards,expsp_beamovercharge,17,8250,1100,10000,12000,750,120,1,65,40,30,25,25,2200,OMNI,,270,0.35,0.8,,,100,150,120,90,3,30,9,140000,5,15,540,0.25,32,32,,,,,,,,"rare_bp, mvs",,0.5,2,3,,413
Falcon (MVS) (EW),expsp_falcon_mvs_ew,Light Electronic Warfare Cruiser,Machina Void Shipyards,expsp_ewsupport,15,6000,750,7200,7000,425,120,1,80,50,30,20,25,700,FRONT,,270,0.4,0.8,,,120,180,120,100,3,33,9,80000,4,12,480,0.25,22,22,,,,,,,,"rare_bp, mvs",,0.5,2,3,,400
Dominic,expsp_kiel,Light Cruiser,Machina Void Shipyards,microburn,15,9500,1200,11000,14000,750,125,1,70,50,40,30,35,1800,FRONT,,360,0.6,0.85,,,125,400,300,150,2,75,9,140000,3,15,420,0.25,20,20,,,,,,,,"rare_bp, mvs",,0.6,2,3,,403
Aquinas,expsp_scholarmvs,Advanced Battlecarrier,Machina Void Shipyards,expsp_harmony,14,8250,1100,9500,8000,650,150,3,75,45,30,25,35,1200,OMNI,,180,0.35,0.9,,,140,160,100,150,3,50,9,180000,4,20,540,0.25,27,27,,,,,,,"CARRIER, COMBAT","rare_bp, mvs",,0.4,2,3,,82
#Barbara,expsp_hybridca,Variable Focus Cruiser,Machina Void Shipyards,maneuveringjets,17,7500,1100,9500,8000,450,150,0,55,45,30,25,35,1200,OMNI,,180,0.35,0.9,,,140,160,100,150,3,50,9,180000,4,20,540,0.25,24,24,,,,,,,,,,0.4,2,3,,82
Object 815,expsp_815,Universal Cruiser,Machina Void Shipyards,expsp_drone_xf850dmult,11,9500,1200,8250,6000,550,150,1,60,45,30,25,35,1200,OMNI,,180,0.35,0.95,,,150,250,180,150,3,50,8,90000,4,20,540,0.25,18,18,,,,,,,,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.4,2,3,,82
Chrysostom,expsp_chrysostom,Light Ordnance Cruiser,Machina Void Shipyards,expsp_missileboost,12,8000,900,8000,6000,500,120,0,65,50,30,30,35,1200,OMNI,,180,0.30,0.95,,,120,200,100,90,3,30,9,120000,4,20,540,0.25,20,20,,,,,,,,"rare_bp, mvs",,0.4,2,3,,82
St. Helena,expsp_helena,Salvage Cruiser,Machina Void Shipyards,expsp_energizedcharge,18,10500,1250,9500,7000,625,150,3,60,30,20,20,20,1800,OMNI,,180,0.30,0.95,,,80,200,300,200,4,50,8,145000,4,12,510,0.25,24,24,,,,,,,"CIVILIAN,COMBAT","rare_bp, mvs,independent",,0.5,2,3,,10
St. Raphael,expsp_raphael,Fast Carrier,Machina Void Shipyards,expsp_blessing,15,8500,900,7500,7000,450,120,3,70,45,30,25,35,1000,OMNI,,180,0.30,0.95,,,200,300,300,150,2,75,9,140000,3,15,450,0.25,22,22,,,,,,,CARRIER,"mvs,expsp_mvs_bp,expsp_mvs_package",,0.6,2,3,,403
St. Florian,expsp_florian,Armored Tanker,Machina Void Shipyards,expsp_fuelteleport,14,9500,1275,8000,7000,450,110,2,60,30,20,20,20,1000,OMNI,,180,0.30,0.95,,,50,150,200,750,3,250,8,60000,3,15,500,0.25,18,18,,,,,,,"CIVILIAN,TANKER,COMBAT","mvs,expsp_mvs_bp,expsp_mvs_package",,0.6,2,3,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonhunter,expsp_dragonhunter,Siege Battlecruiser,Machina Void Shipyards,maneuveringjets,26,14500,1400,20000,30000,1200,295,,45,24,18,10,7,2520,OMNI,,180,0.3,1,,,375,500,300,300,10,30,8,300000,3,15,540,0.25,55,55,,,,,,,,"rare_bp, mvs",,0.5,2,4,,505
Cainhurst,expsp_cainhurst,Fast Battleship,Machina Void Shipyards,expsp_coreoverclock,29,15750,1550,17000,17000,850,320,2,45,25,10,12,7,3500,OMNI,,180,0.35,0.95,,,500,1000,300,300,15,20,8,450000,3,12,720,0.25,60,60,,,,,,,,"rare_bp,mvs",,0.4,2,4,,500
Abysswalker,expsp_abysswalker,Battlecruiser,Machina Void Shipyards,expsp_abyssdash,25,14500,1500,15000,25000,875,290,2,65,50,40,12,16,2500,OMNI,,180,0.375,0.875,,,350,600,250,400,8,50,8,330000,4,16,720,0.25,48,48,,,,,,,,"rare_bp,mvs",,0.4,2,4,,505
Dominion,expsp_dominion,Fleet Carrier,Machina Void Shipyards,expsp_divinelight,29,14000,1400,14250,15000,725,275,6,40,20,20,15,10,3000,OMNI,,180,0.425,0.9,,,550,1000,400,400,10,40,8,400000,4,16,720,0.25,60,60,,,,,,,CARRIER,"rare_bp,mvs",,0.6,2,4,,501
Testament,expsp_testament,Pocket Battlecarrier,Machina Void Shipyards,expsp_harmony,22,10000,1100,12000,10000,650,215,2,50,25,15,10,15,3000,OMNI,,150,0.4,0.95,,,400,750,200,400,10,40,8,250000,3,12,700,0.25,40,40,,,,,,,"CARRIER, COMBAT","rare_bp,mvs",,0.4,2,4,,502
St. Helena (M),expsp_helena_mil,Pocket Battlecruiser,Machina Void Shipyards,expsp_cossackjets,21,12000,1400,12000,7000,700,270,,60,30,20,16,20,1200,OMNI,,180,0.30,0.9,,,350,400,400,200,8,50,9,275000,4,12,700,0.25,35,35,,,,,,,,"rare_bp, mvs",,0.5,2,3,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
