id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
#expsp_fascine_wing,expsp_fascine_Fighter,"derelict, auto_fighter",0,,2,6,V,4000,500,0,2,FIGHTER,Fighter Drone,10,2000,,,,,,,,,,,,,1
expsp_attackfunnel_PD_wing,expsp_attackfunnel_PD,"no_drop, no_sell, low,auto_fighter,restricted",1,,2,6,BOX,0,800,100,2,SUPPORT,Support Drone,15,2000,,,,,,,,,,,,,
expsp_attackfunnel_heavy_wing,expsp_attackfunnel_heavy_Standard,"no_drop, no_sell, low,auto_fighter,restricted",1,,2,6,BOX,0,800,100,2,SUPPORT,Heavy Support Drone,15,2000,,,,,,,,,,,,,
expsp_stab_wing,expsp_pokebomber_Rocketbomber,"bomber4, bomber, high,mvs,auto_fighter,mvs,expsp_mvs_bp,expsp_mvs_package",1,,6,14,BOX,4000,750,0,2,BOMBER,Kinetic Bomber Drone,15,6000,,,,,,,,,,,,,
expsp_pdplatform_wing,expsp_pdplatform_Standard,"no_drop, no_sell, low,auto_fighter,restricted",1,,5,4,BOX,0,500,,4,SUPPORT,Drone,10,2500,,,,,,,,,,,,,17
expsp_talonmvs_wing,expsp_talonmns_Droneinterceptor,"high,independent,merc,auto_fighter,mvs,expsp_mvs_bp,expsp_mvs_package,interceptor4,",0,,4,6,V,4000,200,600,4,INTERCEPTOR,Drone,8,4000,,,,,,,,,,,,,
expsp_attackfunnel_PD_single,expsp_attackfunnel_PD,"no_drop, no_sell, low,auto_fighter,restricted",1,,1,3,V,0,800,800,1,SUPPORT,,10,1000,,,,,,,,,,,,,
expsp_borermvs_wing,expsp_borermvs_Support,"no_drop, no_sell, low,auto_fighter,restricted",0,,3,5,CLAW,2000,500,,5,INTERCEPTOR,Light Mining Drone,7,500,,,,,,,,,,,,,18
expsp_testfighter_Experimental_wing,expsp_testfighter_Experimental,"no_drop, no_sell, low,auto_fighter,restricted",0,,2,6,V,4000,500,0,2,FIGHTER,Fighter Drone,7,2000,,,,,,,,,,,,,1
expsp_glance_wing,expsp_glance_Interceptor,"interceptor3, interceptor, independent, auto_fighter,mvs,expsp_mvs_bp,expsp_mvs_package",0,,4,4,V,4000,200,700,5,INTERCEPTOR,Interceptor Drone,5,2000,,,,,,,,,,,,,7
expsp_eviscerate_wing,expsp_eviscerate_Heavy,"interceptor6, interceptor, independent, auto_fighter,mvs,rare_bp",1,,6,15,BOX,4000,200,700,4,INTERCEPTOR,Anti Strike Craft,10,5000,,,,,,,,,,,,,7
expsp_blind_wing,expsp_blind_Elite," interceptor, mvs, interceptor5, auto_fighter,rare_bp",3,,5,13,CLAW,4000,400,750,5,INTERCEPTOR,Interceptor Drone,10,5000,,,,,,,,,,,,,22
expsp_pierce_wing,expsp_pierce_Drone,"fighter6, fighter, auto_fighter,mvs,expsp_mvs_bp,expsp_mvs_package",0,,6,16,V,4000,500,,3,FIGHTER,Heavy Fighter Drone,10,9000,,,,,,,,,,,,,1
expsp_slash_wing,expsp_slash_Interceptor,"interceptor4, interceptor,auto_fighter,mvs,rare_bp",2,,5,8,V,4000,400,,4,INTERCEPTOR,Interceptor Drone,8,4000,,,,,,,,,,,,,
expsp_incise_wing,expsp_incise_Heavy,"fighter8,fighter,mvs,expsp_mvs_bp,expsp_mvs_package,independent,merc",1,,6,18,BOX,4000,400,100,2,FIGHTER,Heavy Strike Fighter,10,3000,,,,,,,,,,,,,
expsp_pummel_wing,expsp_pummel_Heavy,"bomber10,bomber,mvs,auto_fighter,expsp_mvs_bp,expsp_mvs_package,independent",1,,8,25,V,6000,1500,1000,1,BOMBER,Heavy Bomber,20,5000,,,,,,,,,,,,,
expsp_xf850d_wing,expsp_xf850d_Escort,"no_drop, no_sell, low,auto_fighter,restricted",0,,3,6,CLAW,1000,400,0,4,INTERCEPTOR,Escort Drone,15,1500,,,,,,,,,,,,,
expsp_raze_wing,expsp_raze_Heavy,"fighter8,fighter,mvs,rare_bp,auto_fighter",2,,6,15,BOX,4000,400,100,2,FIGHTER,Heavy Drone Fighter,10,3000,,,,,,,,,,,,,
expsp_whack_wing,expsp_whack_assault,"fighter7,fighter,mvs,rare_bp,auto_fighter",1,,5,10,BOX,4000,500,250,1,FIGHTER,Heavy Drone Assault Fighter,10,2500,,,,,,,,,,,,,
expsp_hound_drone_mvs_wing,expsp_hound_drone_mvs_Strike,"fighter8,fighter,mvs,rare_bp",2,,4,25,BOX,8000,600,0,1,FIGHTER,Strike Drone Corvette,15,4000,,,,,,,,,,,,,
expsp_asdf1_wing,expsp_asdf1_Elite,"fighter12,fighter,mvs,rare_bp",3,0.5,7,25,BOX,6000,600,250,1,FIGHTER,Elite Aerospace Dominance Fighter,18,10000,,,,,,,,,,,,,77
expsp_backstab_wing,expsp_backstab_Phase,"bomber8,bomber,mvs,auto_fighter,expsp_mvs_bp,expsp_mvs_package",3,,6,21,CLAW,4000,400,500,3,BOMBER,Phase Strike Craft,16,6000,,,,,,,,,,,,,
expsp_jas39x_wing,expsp_jas39x_Standard,"fighter5, fighter, auto_fighter,mvs,expsp_mvs_bp,expsp_mvs_package",2,,4,12,CLAW,4000,400,200,3,FIGHTER,Light Drone Fighter,7.5,2000,,,,,,,,,,,,,
expsp_crusaderv_wing,expsp_crusaderv_Standard,"fighter4, fighter,mvs,expsp_mvs_bp,expsp_mvs_package",1,,3,9,V,4000,200,0,3,FIGHTER,Superiority Fighter,10,1500,,,,,,,,,,,,,
expsp_thunderer_wing,expsp_thunderer_Elite,"fighter8,fighter,mvs,rare_bp,auto_fighter",3,,7,16,CLAW,4000,500,250,1,FIGHTER,Superheavy Drone Assault Fighter,15,5000,,,,,,,,,,,,,
expsp_supportdrone_wing,expsp_supportdrone_PD,"no_drop, no_sell, low,auto_fighter,restricted",1,,2,6,BOX,0,800,100,4,SUPPORT,Support Drone,15,2000,,,,,,,,,,,,,
expsp_lowe_wing,expsp_lowe_Disruptor,"no_drop, no_sell, low,auto_fighter,restricted",1,,2,6,BOX,1000,450,100,2,SUPPORT,Disruptor Drone,10,2000,,,,,,,,,,,,,
expsp_cargodrone_wing,expsp_cargodrone_Standard,"no_drop, no_sell, low,auto_fighter,restricted",0,,3,5,CLAW,2000,500,,2,SUPPORT,Cargo Drone,5,500,,,,,,,,,,,,,18
expsp_su30_wing,expsp_su30_Elite,"interceptor8, interceptor,mvs,rare_bp",2,,4,20,V,4000,500,600,2,INTERCEPTOR,Elite Interceptor,10,2500,,,,,,,,,,,,,
expsp_sheath_wing,expsp_sheath_Phase,"no_drop, no_sell, low,auto_fighter,restricted",1,,2,6,BOX,0,800,100,2,SUPPORT,Support Drone,15,2000,,,,,,,,,,,,,
expsp_shank_wing,expsp_shank_Bomber,"bomber4, bomber,mvs,auto_fighter,expsp_mvs_bp,expsp_mvs_package",1,,2,10,V,4000,400,0,3,BOMBER,Rocket Bomber Drone,10,6000,,,,,,,,,,,,,
