name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Abyss Dash,expsp_abyssdash,,,,,,0.1,,2,0.05,0.3,1.2,0.3,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/burn_drive.png
Divine Light Unbroken,expsp_divinelight,,,,,,0.3,,,,0.5,7.7,0.5,6.7,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Core Overclock,expsp_coreoverclock,,,,,,,,,,1,5,1,10,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punish the Arrogant,expsp_missileboost,,,,,,,,1,0.1,0.1,"5
",1,,,,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png
Energized Charge,expsp_energizedcharge,,,,,,,,2,0.1,0.5,0.8,0.5,,,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Pursuit Burn,expsp_pursuitburn,,,,,,,,2,0.05,0.5,0.8,0.5,,,,,,,,,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Inertia Override,expsp_inertialessdrive,,,,,,,,,,1,5,1,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
#Emergency Jets,expsp_emergencyjets,,,,,,,,,,1,5,1,13,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Temporal Overdrive Core,expsp_fightertemporalshell,1,,,,,0.25,,,,4,10,2,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Attack Funnel Launch (Single),expsp_drone_attackfunnel_single,,,,,,0.01,,,,0.3,,0.3,,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
#Attack Funnel Launch,expsp_drone_attackfunnel2,,,,,,0.01,,,,0.3,,0.3,,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
#MK88 Launch,expsp_drone_supportdrones,,,,,,0.01,,,,0.3,,0.3,,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Flare Launcher,expsp_crimson_fighter,,,,,,,,,,,,,7.5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro EMP Emitter,expsp_microemp,,,,,,0.2,,,,0.3,3,0.3,8.5,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
EW Disruption,expsp_ewdisruptor,100,,,,,,,,,5,,0,5,TRUE,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
XF-850D Launch ,expsp_drone_xf850dmult,,,,,,,,4,0.025,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Single Attack Funnel,expsp_attackfunnel1,,,,,,,,2,0.05,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Dual Attack Funnel,expsp_attackfunnel2,,,,,,,,4,0.05,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
XF-850D Launch (Fighter),expsp_xf850d_launch1,,,,,,,,2,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
EW Support,expsp_ewsupport,200,,,,,,,,,5,,,5,TRUE,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Bombardment Mode,expsp_bombardmentmode,,,,,,,,,,1.5,,1.5,0,TRUE,,,,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Area Defense Focus,expsp_defensefocus,75,,,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmonization Core,expsp_harmony,,,,,,,,,,0.1,5,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Tactical Fighter Datalink,expsp_datalink,125,,,,,,,,,1.5,,1.5,,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Traveller's Blessing,expsp_blessing,,,,,,,,,,2.5,5,2.5,5,,,,TRUE,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown of Authority,expsp_authority,1,,,,,-0.2,,1,0.05,0.1,5,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Microburn,expsp_microburn_omega_noflame,1,,,,,,,3,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,restricted,graphics/icons/hullsys/burn_drive.png
Burst Core,expsp_burstcore,1,,,,,,,1,0.05,0.25,3,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Hybrid Focus,expsp_hybridfocus,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Phase Cloak (MVS),expsp_phasecloakmvs,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
Burst Phase Cloak (MVS),expsp_phasecloakmvs_burst,,,0.05,200,,,,,,0.5,7,0.5,5,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
Unstable Fuel Strike,expsp_fuelteleport,,,,,,0.125,,4,0.3,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallowed Radiance,expsp_beamovercharge,,,,,,,,2,0.025,0.25,6,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Limiter Release,expsp_cossackjets,,,,,,,,,,1,5,1,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Aegis Core,expsp_aegiscore,1,,,,,,,2,0.05,0.25,5,0.25,0,,,,,,,,,TRUE,,,,graphics/icons/hullsys/damper_field.png
Integrated Damper Field,expsp_damper,1,,,,,,,3,0.33,0.1,1.6,0.1,0,,,TRUE,TRUE,,,,,,TRUE,,,graphics/icons/hullsys/damper_field.png
Energized Ram,expsp_energizedram_sys,,,0.15,,,,,,,0.25,5,0.5,10,,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Quantum Disruptor MKII,expsp_disruptor,,,,,,0.25,,2,0.1,0.5,,1,,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Lock Systems,expsp_lock,,,,,,0.07,,2,0.1,0.5,,3,1,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
