id,type,text1,text2,text3,notes
expsp_salient,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Seemingly created from a mix of Sentry and Defender components, the Salient is a nonstandard design not found in Domain databases. Agile, well armored, and armed to the teeth, this machine poses a far greater threat than standard models. Can overclock its weapon systems for a brief burst of increased firepower.",,,
expsp_salient_redcomet,SHIP,"Rumors speak of how an unknown pilot salvaged a Salient drone frigate, tore out its internals to make way for a cockpit, then proceeded to fill it with a physics-defying amount of high-tech components of mysterious origin. Outperforms the original by a factor of 3 in most aspects.",,,
expsp_fascine,SHIP,"Tough, moderately armed fighter used by the drone warships of the Domain. It can temporarily overclock its ballistic weapon systems to deal surprising amounts of damage.",,,
expsp_defilade,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Sister ship to the Salient, the Defilade bolsters lighter Domain combat drones with fighter support. To this end, it carries a small bay with a wing of Fascine drones, while still maintaining a reasonable amount of firepower and its sister's ammo feeder system.",,,
expsp_hetzer,SHIP,"Agile destroyer used by MVS. Often found in patrols, providing support with its excellent sensors and EW equipment.  Its built in manuvering jets allow the ship to easily escape dangerous situations or chase down fleeing hostiles. Carries a pair of built-in SRM pods to keep enemy shields up. Carries a wing of Attack Funnels for defense against missiles and fighters.",,,
,,,,,
expsp_stiletto,SHIP,MVS frigate equipped with built in Poke and Flick high-explosive and kinetic missiles. Carries a single Attack Funnel for point defense and fire support. Versatile loadout allows for longer-ranged harassment or close-in brawling. ,,,
expsp_conquestmvscv,SHIP,"MVS retrofit of the famous Conquest battlecruiser. Further modifications replace two medium weapon mounts with drone hangar bays. However, these retrofits make the ship significantly harder to deploy.",,,
expsp_conquestmvs,SHIP,"MVS retrofit of the famous Conquest battlecruiser. Upgrades across the board make it a more effective ship in combat. However, these retrofits make the ship significantly harder to deploy.",,,
expsp_eaglemvs,SHIP,"MVS retrofit of the classic Eagle cruiser. An upgraded flux core allows for better general performance, more versatile mounts allow for even more loadout flexibility, and an Attack Funnel wing helps mitigate the standard Eagle's weakness to fighters.  These improvements, however, have made the ship significantly more costly to deploy in battle.",,,
expsp_kurierin,SHIP,"Reliable and durable, capable of warding off light pirate threats. Carries more armor, built in missiles, and a pair of support drones, but less loadout versatility and cargo space compared to its competitor, the Wayfarer.",,,
expsp_cipher,SHIP,"First MVS phase vessel to see mass production. Its proprietary angular phase field generator is much more robust than standard phase coils, allowing for increased operating time, but sacrifices flux efficiency.  Heavy armor and a generous amount of hull integrity alongside an array of point defense mounts gives it decent survivability even when caught unphased, and its Burst Core system allows it to unleash a torrent of firepower before going back into P-space.",,,
expsp_dragonhunter,SHIP,"Further retrofit of the Conquest (MVS), equipped with a spinally-mounted superheavy railgun. Initially created as a test platform for MVS heavy weapons. The current current iteration of the design carries the Lightning Spear railgun, capable of disabling enemy vessels from a distance while still dealing respectable damage.  Four of its weapon mounts have been replaced with flux capacitors, vents, and secondary shield generators, increasing its flux capabilities and greatly improving its shields. The remaining heavy mounts have been re-oriented to face forwards, allowing the ship to focus its arsenal on a single target. The resulting ship is suited for long-range bombardment of targets, while still maintaining the ability to quickly engage and disengage. The class gained its name after a test unit was able to slay a pirate warlord known as the ""Dragon King"" with a well-placed shot to his flagship's bridge.",,,
expsp_intervention,SHIP,"Specialized MVS support destroyer. The vessel is built around the Eisenfaust-class superheavy railgun, giving it incredible firepower at long ranges. Armed with a respectable complement of weapons alongside its primary armament. A wing of Attack Funnels provide PD support, and a pair of built-in Poke SRMS distracts enemy point defense systems. However, these features come with the logistical costs of a cruiser. Ocasionally, MVS operatives piloting the Intervention fire its main gun while charging an enemy, reminicent of lance charges used by the knights of ancient Earth.",,,
expsp_anker,SHIP,"An antique design from MVS's early days, retrofitted numerous times over the cycles to create a formidable line cruiser. Originally created to be idiotproof as possible to compensate for any defects caused by haphazard construction, the design proved to be even more effective when pristine. Its original name has been lost to time, perhaps deliberately forgotten or erased to aid with the rebuilding of the faction's reputation. Regardless of its past, the current iteration of this design is a mainstay of task forces and invasion fleets, capable of delivering a withering hail of fire to the battlefield while shrugging off all but the most devastating attacks with its unyielding armor. Its captains are known to be extremely stubborn, refusing to retreat even when their vessel has entire hull sections blasted off. ",,,
expsp_kriegsmesser,SHIP,"Standard MVS frigate. Survivable, agile, but somewhat lightly armed, though it makes up for this through loadout versatility. Carries the signature MVS combination of an Attack Funnel drone and a pair of Mini Poke SRMs as standard. Decent flux, shields, and armor, along with manuvering jets for escaping make this vessel relatively forgiving for rookie pilots. Forms the backbone of MVS patrols. ",,,
expsp_cainhurst,SHIP,"The pride of Mischmetal's fleets, the Cainhurst was the first domestically-designed capital vessel created by MVS, shortly after the Collapse. Originally resembling the venerable Onslaught, the Cainhurst now is far more visually distinct, only sharing the dual built-in energy pulse weapons of it ancestor. Aggressive and maneuverable, the Cainhurst can both trade blows with other battleships and battlecruisers and hunt down cruisers. Its unique Core Overclock has become a key part of its identity, making the ship more deadly and maneuverable but comes at the cost of increasing stress on delicate systems. Over the cycles, the sight of crimson engine plumes has become the stuff of nightmares to Pirate captains.",,,
,,"Originally designed using Onslaught parts, the Cainhurst-class has seen its share of upgrading over the years. Its name changed during MVS's reputation, the Cainhurst has more or less thrown off its old reputation of a pale simulacra of the ship somewhat resembles. Other than the radically different frame, the most prominent of its changes are the vastly different weapon mounts, allowing for superior weapon convergence at the cost of potential firepower and the inclusion of an improved flux core, making it more competetive in the modern battlefield. The crude Burn Drive has been swapped out for a more elegant Plasma Jets system, allowing the ship to achieve impressive feats of agility for its size.",,,
expsp_provisioner,SHIP,"Standard MVS logistics vessel. Heavily armed and armored for a freighter, but lacks a powerful flux core. Its robust point defense systems and support drones allow it to usually escape a battle unscathed. Although its accomodations are spartan and the duty not quite as glorious as being part of a combat ship's crew, MVS operatives assigned to these vessels take quiet pride in knowing that they are the main reason the dedicated combat ships can effectively operate and win battles.",,,
expsp_forager,SHIP,"Light salvage and exploration frigate manufactured by Machina Void Services. Considered an upgrade to the more common Shepherd, having more armor and hull integrity. However, the most important upgrade is the wing of Type 31 Mining Drones it carries, which pack far more firepower than standard Borer drones. ",,,
expsp_virtue,SHIP,"At first glance, the Virtue-class light combat carrier appears to be a heavily modified Condor. Indeed, the Virtue is cousin to the common Condor-class carrier, both originating from the Tarsus hull. However, unlike the Condor, the Virtue is intended to launch its fighters close to the front lines. Heavily armored and equipped with a significant defensive arsenal, this carrier is far from a sitting duck when found without an escort.",,,
expsp_glance,SHIP,"Machina Void Shipyards' cheapest fighter offering, the Glance-class interceptor drone is essentially a Coil CIWS bolted onto a small frame with engines attached. Cheap, expendable, and surprisingly tough for its size and cost. Excellent distraction to allow more important craft to attack uninterrupted. Can deal surprising amounts of damage to exposed hull.",,,
expsp_eviscerate,SHIP,"The Eviscerate-class drone is a dedicated strike craft hunter, equipped with a devastating close-range arsenal. Despite its Delta-class onboard AI falling well within Hegemony AI restrictions, MVS carrier captains commanding them swear the machines take sadistic glee in ruthlessly tearing apart lightly armored bombers with an avalanche of Coil CIWS and Particle Scatterblaster fire.",,,
expsp_principality,SHIP,Cruiser-sized battlecarrier based on an Lazarus hull. Sacrifices many of its sister's modular weapon slots for a hangar and an integrated rapid-fire Scepter Siege Cannon. Its heavy armor and still reasonable armament allow it to fight alongside dedicated frontline vessels. Perhaps the class's most interesting feature is its Crown of Authority  system that siphons flux to temporarily boost its shield efficiency. ,,,
expsp_kris,SHIP,Lightest FTL-equipped vessel available to the MVS navy. A pair of extended range Coil CIWS units supplement an otherwise anemic armament. Extreme speed and relatively decent survivability allows the vessel to perform well as a dedicated harassment craft. Commonly found in MVS patrols.,,,
expsp_blind,SHIP,"Powerful interceptor drone  reverse-engineered from secret Tri-tachyon designs. Heavily armed, mobile, and reasonably protected. Devastating against fighters and frigates, and maintains some effectiveness against larger targets.",,,
expsp_searchlight,SHIP,"Cruiser reverse-engineered from drone warships used during the AI War. Equipped with the efficient Beacon Suppression Laser where a second large mount would be, giving it a reliable weapon for use in various situations. Good armor and decent shields provide fair survivability. Its unique system allows it to deal massive damage depending on loadout.",,,
expsp_pierce,SHIP,"Standard MVS heavy drone fighter. Heavily armed and armored, and carries flares, much like its more common counterpart, the Broadsword. Unlike the Broadsword, however, the Pierce carries a version of the Jab Rocket Launcher with light tracking capabilities, along with a slower-firing Armorhunter Light Autocannon, giving it great effectiveness against heavy craft.",,,
expsp_shashka,SHIP,"The Shashka represents the peak of MVS engineering, possessing great firepower, mobility, and survivability.  Its ability to temporarily disable its performance limiters allows the vessel to chase down enemy frigates and tear them apart with increased firepower. With its unmatched offensive capability, the Shashka can make short work of almost any other frigate in the Sector, and hold its own against light destroyers like the Shrike, though it struggles against full-sized destroyers. Beloved by MVS aces and fleet commanders alike, serving well as both a duelist and a wolfpack skirmisher.",,,
expsp_borermvs,SHIP,"Light mining drone used by MVS civilian ships. Well armored and heavily armed for its size, it can serve as an effective deterrent to enemy fighters, especially the Talon interceptor widespread among the Sector's lawless factions.",,,
expsp_verteidiger,SHIP,"Standard MVS heavy destroyer. Heavily armored and well-armed. Its Bombardment Mode system allows it to serve well as a fleet anchor or a line ship, making it a staple of MVS fleets. Its robust PD system supplemented by a pair of Attack Funnels allows it to deter fighters and heat-seeking missiles, including the common Salamander. An unique weapon, the Quicksilver Blaster, allows it to finish off crippled enemies. Thanks to these traits, the Dismas has a reputation for excellent combat endurance.",,,
expsp_malakh,SHIP,"Seen as a marvel of engineering by some, the Malakh is one of few frigate-sized ships to mount a full fighter bay without any crippling drawbacks. Reasonably armed, armored, and fairly mobile, the Malakh is designed to complement the Kampfmesser-class frigate, and is often found in patrol fleets, providing valuable support with its interceptors.",,,
expsp_slash,SHIP,"Sister design to the Glance, the Lacerate drone interceptor is built around a Las-Repeater instead of the Glance's Coil CIWS, with a secondary Vulcan cannon. Sacrifices hull integrity for resistance to EMP damage and firepower. Synergizes well with the Glance, with the Lacerates cutting through armor after the Glances take down the enemy's shields.",,,
expsp_incise,SHIP,"One of the few manned MVS fighter craft designs still in service, the Incise is based off an old Terran design with major upgrades. Armed with a pair of anti-fighter missile pods and a trio of coil weapons, the Incise performs well against both shields and armor. Mainly used for reserve forces or exported to the defense fleets of Independent polities, but still popular among particularly stubborn old aces.",,,
