name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
"ASRAAM-172 ""Poke"" (Single Use)",expsp_poke_fighter,1,,600,800,,100,,15,50,5,4,,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,,,,,,350,100,10,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE","no_drop,no_sell,no_drop_salvage,restricted",,Machina Void Shipyards,,Pressure,Fast,Excellent,,,,,,,,
"ASRAAM-172 ""Poke"" Pod",expsp_poke,1,,600,1500,,80,,15,50,5,20,0.2,4,HIGH_EXPLOSIVE,0,,0,8,4,0.2,,,,,,350,100,10,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","merc,independent,mvs,missile2,utility8,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Pressure,Fast,Excellent,,,,,,,,
#Swarmer SRM Launcher,swarmer,1,,250,1000,,100,,15,50,3,60,,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,0,0,0,0,,350,100,5,500,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile0, missile_bp, merc",,,,Anti Small Craft,Fast,Excellent,,,,,,,,
"Light ASRAAM-172 ""Poke"" Pod",expsp_pokemini,1,,300,1500,25,80,,15,50,3,12,0.1,2,HIGH_EXPLOSIVE,0,,0,5,2,0.2,,,,,,350,100,10,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","merc,independent,mvs,missile2,utility8,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Pressure,Fast,Excellent,,,,,,,,
"Heavy ASRAAM-172 ""Poke"" Pod",expsp_poke_med,2,,1200,2000,100,80,,15,50,10,40,0.4,4,HIGH_EXPLOSIVE,0,,0,4,4,0.2,,,,,,350,100,10,200,,,"DO_NOT_AIM, DO_NOT_CONSERVE","merc,independent,mvs,missile5,utility16,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Pressure,Fast,Excellent,,,,,,,,
MK. 30 Heavy Unguided Torpedo Pod,expsp_hammerrackmns,2,,1500,1200,125,1250,400,30,10,25,20,0.1,4,HIGH_EXPLOSIVE,0,,0,5,4,0.15,2,7,2,0.5,,500,40,4,400,,,STRIKE,"independent,high, merc,mvs,strike18, rocket15,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Torpedo,Fast,None,,,,,,,,16.4
Light ASRAAM-172K Pod,expsp_flickmini,1,,300,1500,25,50,,30,35,3,20,0.16,2,KINETIC,0,,0,5,2,0.2,,,,,,300,100,10,200,,,"DO_NOT_AIM, DO_NOT_CONSERVE","merc,independent,mvs,missile2,utility8,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Pressure,Fast,Terrible,,,,,,,,
Heavy Railcannon,expsp_railcannon,2,,4500,1100,,400,75,40,10,22,,,,KINETIC,450,,0.5,1.05,,,0,5,0,10,,1200,,,100,,,,"mvs,kinetic20, rare_bp",,Machina Void Shipyards,,Anti Shield,,,,,,,,,,7.25
Coil CIWS,expsp_coilciws,0,,200,450,,30,,2,80,5,,,,KINETIC,5,,0,0.18,,,0,3,1,15,,1000,,,10,,,PD,"mvs,independent,high,merc,pd8, kinetic5,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Point Defense,,,,,Deals an additional 5 fragmentation damage on hit.,5|fragmentation,,,,0.5
Gepard CIWS Battery,expsp_coilciws_med,1,,1000,500,,30,,2,60,12,,,,KINETIC,12,,0,0.11,,,0,3,1,15,,1250,,,10,,,PD,"mvs,independent,high,merc,pd12, kinetic10,expsp_mvs_bp,expsp_mvs_package",,Machina Void Shipyards,,Point Defense,,,,,Deals an additional 5 fragmentation damage on hit.,5|fragmentation,,,,0.5
