id,trigger,conditions,script,text,options,notes
#IX Battlegroup,,,,,,
greetingIXFriendly,OpenCommLink,"$faction.id == ix_battlegroup
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging ID codes - good to see you, captain.""
OR
""Your $shipOrFleet has been scanned and identified, everything is in order.""
OR
""Scanned and identified. Good hunting."" $PersonRank $personName gives a salute and signs off with a flash of the 9th Battlegroup insignia.",,
greetingIXHostileWeaker,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""I knew the risks when I signed up. Bring it, then."" The 9th Battlegroup $personRank says with a grim smile.
OR
""Just part of the job."" The 9th Battlegroup $personRank sighs and then cuts the feed.
OR
The 9th Battlegroup $personRank gives you a glare and cuts the line without a word.
OR
The enemy captain looks grim. ""Fine. I'll see you in hell."" There's a pause, and then the feed cuts.
OR
$PersonRank $personName slams on the console. ""If it's a fight you want, you'll get it.""",cutCommLink:Cut the comm link,
greetingIXHostileWeakerDefiant,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The $personRank sneers contemptuously and then promptly cuts the comm-link.
OR
You're treated to the sight of $PersonRank $personName rudely gesturing, and then to static.
OR
$PersonRank $personName hurls a few epithets and storms off. The feed self-terminates shortly after.
OR
""Think you're real tough, huh? We'll see about that.""
OR
""To the last.""
OR
""For the Ninth.""
OR
The Ninth Battlegroup $personRank taps on a Tri-Pad. $HeOrShe then looks at you. ""Reinforcements on their way. Let's tidy this up, then.""
OR
$personName leans back. ""Screw it. Let's do this.""",cutCommLink:Cut the comm link,
greetingIXHostileStronger,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"The enemy $personRank laughs. ""Ready to die, worm?""
OR
$PersonRank $personName looks confused. ""Whatever you're about to say, I don't care."" They cut the link.
OR
""Oh, I'm gonna love this."" $PersonRank $personName rubs $hisOrHer hands together.
OR
Already in the middle of giving attack orders on $hisOrHer flagship, $PersonRank $personName reaches over and shuts off the commlink without even looking at you.",cutCommLink:Cut the comm link,
greetingIXNeutral,OpenCommLink,"$faction.id == ix_battlegroup
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. If nothing is amiss, you should continue on your way.""
OR
The 9th Battlegroup $personRank looks impatient. ""Is there an emergency to report? No? Then carry on.""",,
,,,,,,
relLevelCooperativeIX,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are a highly trusted asset of the 9th Domain Battlegroup, and have unrestricted access to all the advanced warships and weapons that have made its forces rightly feared throughout the Sector. The Panopticon has determined you are vital to the long term success of the Fleet, and has moved to subtly support your endeavors from behind the scenes.",,
relLevelFriendlyIX,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Fleet Command considers you a valuable asset for the future ambitions of the 9th Domain Battlegroup. Patrol captains know to overlook minor transgressions due to your likely status as a covert agent of the Fleet, and even the Honor Guard are cordial in their dealings with you.",,
relLevelWelcomingIX,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You have demonstrated your worth to the 9th Domain Battlegroup. The Fleet is ready to hire you in all manner of lucrative opportunities, and you are permitted limited access to military grade equipment that has been built to a quality rarely seen in the rest of the Sector.",,
relLevelFavorableIX,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Your presence is tolerated by the 9th Domain Battlegroup. An agent has been dispatched to keep an eye on you and evaluate your potential usefulness. Port authorities rarely give you any trouble, so long as you conduct your business swiftly and do not cause any trouble in return.",,
relLevelNeutralIX,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,You are treated no differently than the rest of the pirate rabble who frequent Zorya. There's a chance to make good credits if you keep your head down and go about your business.,,
relLevelSuspiciousIX,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"Past missteps in your dealings with the 9th Domain Battlegroup has cast a pall of suspicion over you. Patrols tend to be extra vigilant in checking your cargo, and port authorities will often make you wait longer than necessary before clearing you for dock.",,
relLevelInhospitableIX,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"The 9th Domain Battlegroup has flagged you for enhanced scrutiny. Port authorities have been ordered to deny you docking rights, and combat patrols will often look for any excuse to harass you.",,
relLevelHostileIX,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are classified among all the other undeserving rabble that the 9th Domain Battlegroup seeks to cleanse from the Sector, and shoot on sight orders have been given to combat patrols against your fleet.

Being commissioned by any other faction aside from the pirates will prevent you from improving your reputation beyond Hostile.",,
relLevelVengefulIX,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == ix_battlegroup",FireAll RelLevelMoreDescription,"You are a known threat to the 9th Domain Battlegroup, and have your own file at Fleet Command HQ. The Panopticon is even now plotting the most efficient way to eliminate you. It's rumored any captain who defeats you will earn a promotion to the Honor Guard.",,
,,,,,,
flavorTextMarketIX,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$market.mc:ix_monitored == true","AddText ""The vast port concourse is filled with well maintained ships bearing the distinct black, white, and green livery of the 9th Domain Battlegroup. Loader drones accompanied by neatly dressed dock workers move containers of cargo to their destinations with orderly purpose. Given the state of constant and omnipresent AI directed surveillance imposed by Fleet Command, armed guards here are rarely visible, but never far away."" marketFlavorTextColor",,,
flavorTextMarketIXNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$market.mc:ix_monitored == false","AddText ""The vast port concourse is filled with well maintained ships bearing the distinct black, white, and green livery of the 9th Domain Battlegroup. Loader drones accompanied by neatly dressed dock workers move containers of cargo to their destinations with orderly purpose. But beneath the gleaming surface, cracks have begun to form. The shutdown of the Vertex Station Panopticon has led to the emergence of a thriving black market, if one knows where to look."" marketFlavorTextColor",,,
flavorTextMarketIXSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$player.transponderOn == false
$market.mc:ix_monitored == true","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. But your daredevil flying does you little good. The oppressive layers of electronic monitoring embedded into the planetary infosphere prevents any black market activity from having a chance to thrive. If you wish to conduct any trade at this colony, you will have to do it through official channels"" marketFlavorTextColor",,,
flavorTextMarketIXSneakNoMonitor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ix_battlegroup
!$hostileToPlayer
$player.transponderOn == false
$market.mc:ix_monitored == false","AddText ""Your shuttle flies fast and low to avoid sensors constantly on the lookout for unauthorized landing craft, and eventually finds a quiet spot to set down. The shutdown of the Vertex Station Panopticon has allowed a small but thriving black market to spring up at the colony. Human greed has found fertile soil, and now you stand to profit."" marketFlavorTextColor",,,
,,,,,,
bar_descIXBattlegroup,BarPrintDesc,$faction.id == ix_battlegroup,ShowImageVisual space_bar,"You enter the prefab bar filled with off duty military personnel enjoying their downtime. A group of augmented marines excitedly discuss the prospect of their next deployment, while several junior officers in the upper lounge watch reports of the Fleet's latest engagements with rapt attention. There's even a pirate captain and crew nursing drinks at their own table, looking decidedly out of place in their well worn spacer garb.",,
,,,,,,
# Handing in the PK - IX Battlegroup,,,,,,
