id,type,text1,text2,text3,notes
ix_battlegroup,FACTION,"In cycle 70, a large fleet of high-tech warships limped into the Persean Sector, having been placed in emergency cryosleep for decades after the gate network collapse. The arrival of a 9th Domain Battlegroup task force was initially welcomed by the Hegemony, who hoped to settle the newcomers and make use of their advanced technology. However, negotiations suddenly turned violent for reasons that remain classified, resulting in a massive battle over the skies of Jangala. The task force was defeated by the narrowest of margins, and withdrew their remaining ships to a system on the edge of the Core Worlds, where they have maintained a state of perpetual war against every other major polity of the Sector ever since.

Often referred to simply as ""the Fleet,"" the IX Battlegroup sees itself as the true inheritor of the Domain of Man. Fleet Command governs the Zorya system under a strict military dictatorship, using both naval and economic force projection to constantly destabilize the rest of the Sector. Before its worlds are reclaimed for the Domain, free captains and mercenaries are tolerated as useful pawns. Everyone else is prey.",,,
,,,,,
aquilon_ix,SHIP,"Drawing upon lessons learned from the Glycon-class missile cruiser, Eridani-Utopia further developed the Aquilon, a versatile battlecruiser intended for the most demanding of security missions. The integrated launcher of its cruiser forebearer was improved to allow for switching between a variety of munitions without needing to return to dock. The cutting edge design even drew the attention of Domain Navy special forces. However, adoption among the various battlegroups was limited prior to the Collapse, due to concerns of the design being under-gunned when compared to existing capital ships.",,,
axiom_ix,SHIP,"Fast and heavily shielded 9th Domain Battlegroup interceptor, equipped with an emergency flux shunt that keeps the craft operational even when its shields are overloaded. Prior to its arrival in the Persean Sector, the mission profile of the Fleet had placed a heavy emphasis on minimizing attrition, and so for much of its history it did not operate with crewed fighters. That has recently begun to change, with the Axiom appearing in large numbers in the defense of its orbital facilities.",,,
banteng_base,SHIP,"A freighter that combines ample cargo space with extended range fuel tanks, alleviating the need for dedicated tanker ships when hauling long distance freight. Rarely seen while Gate travel was still ubiquitous, the Banteng has found renewed popularity post-Collapse as a commercial hauler, exploration vessel, and even militarized fleet tender. Its excellent range and relatively robust weapon mounts make it well suited to operating on the lawless frontier.",,,
buffalo_ix,SHIP,"Despite being ruggedized, the Buffalo (IX) is still a light freighter, and must rely upon escorts to survive coming under fire.",,,
casimir_ix_a,SHIP,"The Casimir's most noticeable trait is its pair of medium missile hardpoints, which allow for a frighting payload of heavy ordnance in a compact package. Any captain at the helm would be well advised to account for its relative high speed but poor maneuverability, and ready a course of escape before committing to a skirmish. Such precautions are especially necessary given the ship's lack of advanced IX modifications to its engines or shields.",,,
dictum_ix,SHIP,"A cutting edge heavy fighter of the 9th Domain Battlegroup, bearing the same emergency flux shunt as its interceptor counterpart. The Dictum is almost guaranteed to outmatch any other comparable strike craft in a one-on-one engagement. However, its extremely demanding maintenance requirements limit its deployment in large numbers.",,,
equalizer_ix,SHIP,"A recently unveiled carrier variant of a cutting edge warship rarely seen in the Persean Sector, the Equalizer (IX) is equipped with a causality violating Immanence Engine, capable of briefly propelling the ship into an accelerated yet entropy resistant time frame. To an outside observer, the massive vessel will appear to suddenly maneuver and attack at a frenzied pace, while becoming highly resistant to damage.",,,
flamebreaker_ix,SHIP,"Based on a high-tech cruiser hull that has long been known to the Fleet, but never put into service due to its relatively slow speed, the heavily revised Flamebreaker (IX) has finally found its place as the 9th Domain Battlegroup's latest combat carrier. The advanced sensors of the preceding design have been fine tuned for both point defense and flight command, while a robust fighter autoforge and launch bay have taken the place of heavy missile armaments.",,,
