id,trigger,conditions,script,text,options,notes
#RULESET_NAME FM,,,,,,
,,,,,,
# greetings,,,,,,
greetingFMFriendly,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Welcome to Gensoukyou Manufacture!... thats all to say right?""
OR
""A future where humanity and mysticism coexist in harmony is upon us, and you and I have the privilege of being its first beneficiaries.. ""
OR
"".. Its difficult to have a youkai lover, right?"" for some reason $personName started talking about their love story, its shocking and a little bit embrassing.
OR
""Hello there, this is $personName. What can i help you with?""",,
greetingFMHostileWeaker,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""I'm Ready to escape~daze！，But I don't think you'll be able to outrun the ensuing pursuit...""$personName isn't panicking as much as you thought, this person has already made an escape plan.
OR
""So, you're behind this incident?""$personRank sighed and disconnected the comm in frustration.
OR
""I-L-L-R-U-N-A-W-A-Y!""",cutCommLink:Cut the comm link,
greetingFMHostileWeakerDefiant,OpenCommLink,"$faction.id ==  fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Even if the end is disastrous, we will fight with all our might until the last moment!""It seems the $personRank has no intention of surrendering.
OR
""Miracles only come to those who believe!""$personName resolute voice came through the comm.",cutCommLink:Cut the comm link,
greetingFMHostileStronger,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Do you want your family to be notified in advance of your death?""
OR
""Game Over!""$personRank looks at you smugly.
OR
""Don't worry, you will be reborn in a better world."" The other person seems to be trying to comfort you and seems very sincere..",cutCommLink:Cut the comm link,
greetingFMNeutral,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Heaven Above, may I ask what you want?""
OR
""Although our name sounds like a megacorp, we're not all that bourgeoisie...""$personName saw through your longstanding doubt and answered it.
OR
""Opened the comm link...I don't think you are an ordinary person after all.... ""
OR
""Even in the Persean sector, don't always be bound by common sense.""",,
#END greetings,,,,,,
,,,,,,
# factions,,,,,,
