name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#Frigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiten,FM_Rotation,Frigate,Gensoukyou Project,FM_misfortuneabsorb,7,1500,175,2800,,250,50,1,190,200,150,80,160,200,OMNI,,180,0.3,0.8,,,10,20,35,20,1,20,10,20000,10,20,210,0.25,7,7,,"FM_com, FM",,0.5,2,2,1201
Hotaru,FM_Firefly,Frigate,Gensoukyou Project,FM_FireflyFlare,4,1000,125,2000,,160,45,,150,120,100,60,120,175,OMNI,,210,0.3,0.9,,,10,30,50,30,1,20,10,12000,10,20,210,0.25,4,4,,"FM_com, FM",,0.5,2,2,1202
Karakasa,FM_Parasol,Covert Frigate,Gensoukyou Project,FM_Tatara_drone,5,1500,150,2500,,175,42,0,150,130,100,60,120,200,OMNI,,150,0.4,0.8,,,8,40,140,60,1,20,10,16000,10,20,210,0.25,5,5,,"rare_bp , FM",,0.5,2,2,1212
Yasuzume,FM_Nightbird,ECM Frigate,Gensoukyou Project,FM_Nocturne,6,2000,100,2500,,180,50,,200,200,175,60,160,200,OMNI,,180,0.4,0.8,,,10,20,30,20,1,20,10,18000,10,20,240,0.25,6,6,,"FM_com , FM",,0.5,2,2,1215
Usagi,FM_Rabbit,Frigate,Gensoukyou Project,FM_dumplingstrike,6,1500,150,2250,,180,55,,155,130,100,60,120,200,OMNI,,150,0.4,0.8,,,15,30,50,20,1,20,10,15000,10,20,210,0.25,6,6,,"FM_com, FM",,0.5,2,2,1208
Yatagarasu,FM_Bazhiwu,Strike Frigate,Gensoukyou Project,FM_reactorexcursion,8,1600,200,3800,,340,50,,180,300,250,100,300,200,FRONT,,240,0.3,0.8,,,10,15,50,40,1,25,11,32000,5,10,210,0.25,8,8,,"rare_bp, FM",,0.5,2,2,
Yuugure,FM_Rumia,Phase Frigate,Gensoukyou Project,FM_RumiaSystem,9,1200,350,3000,,350,46,,155,200,150,150,300,200,PHASE,FM_PhaseRumia,,,,0.03,0.04,10,20,50,60,1,50,10,36000,10,20,240,0.25,10,10,PHASE,"rare_bp, FM",0.75,0.5,2,2,1218
Bibliophile,FM_Bibliophilia,Scout Frigate,Gensoukyou Project,FM_FluxBurn,7,1500,200,4000,,160,30,,140,160,160,90,180,200,FRONT,,360,0.5,0.6,,,15,30,30,20,1,20,10,25000,8,10,240,0.25,7,7,,"rare_bp, FM",,0.5,2,2,214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
