id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FM_Spark_heavy,beam,64,0.95,,"[0,200,255]",,200,0.45,,"[0,200,255]",,,,,,1,TRUE
FM_Spark_pd,beam,40,0.85,,"[0,200,255]",,155,0.45,,"[0,200,255]",,,,,,1,TRUE
FM_IllusionLaser_S,beam,32,0.75,,"[99,255,209]",,165,0.45,,"[4,204,12]",,,,,,1,TRUE
FM_IllusionLaser_M,beam,32,0.75,,"[99,255,209]",,165,0.45,,"[4,204,12]",,,,,,1,TRUE
FM_Masterspark,beam,90,1.2,,"[0,200,255]",,275,0.6,,"[0,200,255]",135,0.6,,"[200,200,255]",,1,TRUE
FM_DollsLance,beam,35,0.45,,"[205,130,130]",,110,0.25,,"[155,10,10]",55,0.25,,"[155,10,10]",,1,TRUE
FM_DollsWire,beam,35,0.45,,"[47,147,255]",,110,0.25,,"[147,247,255]",55,0.25,,"[147,247,255]",,1,TRUE
FM_AdministratorPD,beam,48,0.75,,"[255,252,183]",,165,0.45,,"[255,252,183]",70,0.45,,"[255,252,253]",,1,TRUE
FM_PdMissile_project,projectile,90,0.2,,"[221,255,255]",,100,0.3,0.2,"[221,255,255]",60,0.3,0.1,"[221,255,255]",,1,TRUE
FM_Opposition_warhead,projectile,175,0.5,,"[117,182,255]",,175,0.9,0.7,"[104,174,255]",175,0.8,0.4,"[104,174,255]",,1,TRUE
FM_ball,projectile,100,0.2,0.15,"[189,255,255]",,125,0.3,0.5,"[189,255,255]",100,0.15,0.15,"[189,255,255]",,1,TRUE
FM_ball_dec,projectile,100,0.2,0.15,"[189,255,255]",,125,0.3,0.5,"[189,255,255]",100,0.15,0.15,"[189,255,255]",,1,TRUE
FM_silver_shot,projectile,150,0.25,0.2,"[100,160,225]",,175,0.4,0.5,"[100,180,235]",150,0.3,0.15,"[110,170,195]",,1,TRUE
FM_star_shot,projectile,100,1,0.3,"[0,190,230]",,125,0.6,0.75,"[0,170,255]",100,0.3,0.1,"[0,170,255]",,1,TRUE
FM_star_1,projectile,100,0.2,0.25,"[0,190,230]",,115,0.2,0.5,"[0,170,255]",75,0.1,0.35,"[0,170,255]",,1,TRUE
FM_star_2,projectile,100,0.2,0.25,"[0,190,230]",,115,0.2,0.5,"[0,170,255]",75,0.1,0.35,"[0,170,255]",,1,TRUE
FM_Blade_ac_shell,projectile,130,0.4,0.3,"[0,190,230]",,170,0.6,0.75,"[0,200,255]",130,0.35,0.15,"[200,200,255]",,1,TRUE
FM_Blade_weapon_shell,projectile,90,0.2,0.2,"[0,190,230]",,125,0.3,0.3,"[0,200,255]",70,0.2,0.4,"[200,200,255]",,1,TRUE
FM_Seal_shot,projectile,100,0.3,0.2,"[234,10,0]",,120,0.55,0.4,"[234,100,90]",100,0.2,0.15,"[200,10,0]",,1,TRUE
FM_Persuasion_shell,projectile,90,0.25,,"[255,144,154]",,30,0.4,0.2,"[255,144,154]",70,0.2,0.15,"[255,144,154]",,1,TRUE
