id,type,text1,text2,text3,text4,notes
,,,,,,
FM_Rotation,SHIP,"The Kaiten Class is metaphorically the start of Gensoukyou Manufacture fleet design. Various testing conducted on the Kaiten framework has served as the foundation for the development of Gensoukyou Manufacture's own unique naval theory. Its energy system and weapon slots feature higher output than those in typical frigates. Adapting spiritual energy in its support system, the Kaiten class is able to take damage for other ships. This feature allows it to excel in large scale fleet engagements.

The Kaiten demonstrates early phases of technological integration between either side of the Boundary, and exemplifies assault ship design philosophies of the Expansion Era. Specifically, the Kaiten class features high maneuverability, energy weapons, and basic spiritual-energy-based modular tactical systems.  Despite its simple design, the ship remains versatile and largely mitigated the limitations of Expansion Era designs in large-scale combat.

While drone systems are not included in earlier models, influential individuals from within the Boundary pushed for the inclusion of auxiliary drone systems known as “Kedama”. This system has since became standard in all modern variants  Recently,  Kaiten class ships are commonly seen in parades with the Kedama drones onboard being used to create visual spectacle with their excellent atmospheric maneuverability and “Danmaku” patterns. 

The crew and captain of Kedama class are known for their dedication and self-sacrifice in cultural zeitgeist, often inspired by legends and stories from inside the Boundary.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Firefly,SHIP,"A Multi-purpose frigate designed around its medium universal slot, it is equipped with flux conduits and small auxiliary weaponries on par with expansion era frigates. Often seen in small skirmishs due to its simple design easy maintenance, but at times also seen with missiles to support and harras foes in large engagements. Its relatively decent mobility and capability to deploy Active Decoys ensures high survivability.

The Hotaru class was initially a poorly thought of project that underwent several iterations. The project was commenced on the day of Gensoukyou Manufacture revealed themselves in the sector, and designed for low intensity security missions. The project was only saved from the cutting board at the protest of civilian Organization on the inner-side of the boundary. Althought the project's fund and technical support was fairly strained compared to typical projects that are sponsored by Gensoukyou Manufacture, thanks to a talented young engineer from the outside and his assistant (and later wife, rumoured to be non-human) from the inner side, the Project was finally completed after many trials and errors. There have been numerous related literary works that have been made on this topic since then.

The exact technical details of it also confirm the authenticity of the aforementioned story, Combining the standard combat capability of an expansion era military frigate with logistic efficiency that's comparable to high-grade civillian frigates, and outfitting the ship with a less fancy but versitile active flare system allows the ship to perform quite well for its intended purposes. Its also capable enough to deliver enough firepower to punish those who underestimate this small bug of a ship. With its excellent general purpose mount and nimble mobility it's quite impressive when used in large numbers.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Rabbit,SHIP,"Commonly used as the core of a small detachment, this ship is equipped with standardized weapon and energy systems. It is light, fast, and powerful with capability to scatter light minefields making it particularly effective on small to medium scale skirmishs.

Designed after the re-appearance of Gensoukyou Manufacture, the design has been rushed through development as a emergency production vessal by taking reference from several popular frigates from the outside the faction. While retaining most qualitys of a conventional frigate such as small missiles, the Usagi class is in a sense the true inspiration for the current Gensoukyou Manufacture fleet doctrines. Relying on its versatility provided by its shipsystem and armaments to strike, the frigate is able to take its sustained firepower to a whole new level while maintaing the excellent mobility and decent shielding of expansion era vessals. 

Since the beginning of constant raids from luddic pathers, the Usagi class has always been active on the frontlines to the point that during early production runs it was produced nearly as ubiquitously as civilian shuttles. However with the directive of a more diverse fleet, the role of Usagi is now being replaced by more specialized ships. There are still a large number of Usagi class ships that have gone into civilian usage, or are reserved as second-line roles like training ships. The frigate mirrors a typical saying within the sector, ""old soldiers never die"".

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Parasol,SHIP,"An expensive and advanced armed freighter, the Karakasa prioritize mobility when fighting alone in an engagement and is fitted with relatively less common hybrid weapon mounts. Its relatively high capability for a civilian ship has let it reach to that of standard military frigates. Due to a combined factor of its high cost and difficulty in acquisition, it has almost no market in the smuggling scenes.

Nevertheless there is still a place for this excessively-capable design for the surveyor who cannot afford a larger exploration ship - the Karakasa-class are their best caretaker. Thanks to its highly automated subsystem the ship can be easily be operated by small crew. With decent fuel and cargo spaces and aerodynamic design for atmospheric re-entry, it's an ship excellent for planetary exploration and surveillances. With solid armament configuration and support drones, the Karakasa is capable enough to repel small pirates forces that are looking for troubles in outskirt of sector. Truely an all-purpose ship.

Due to its popularity in exploration organizations that focus on exploring the unknown, and thus often making up tall tales, the Karakasa is often illustrated as a cute young girl in popular fiction. Despite seeming to incorporate good number of the legends from the inner side of the boundary such as tsukumogami, the outside world's passion for derivative work for this character countinues unhindered. For some reason there was an urban legend circulating on comm networks that suggests the girl is actually real.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Egret,SHIP,"A Fast Carrier with impressive mobility, placing significant emphasis on bomber strikes while also possessing a certain degree of long range support capability. Without proper support the ship's weakness in ability to maintain constant suppression will become obvious. 

Representing the carrier strike doctrine in the Gensoukyou Manufacture fleet, it tries to improve the conventional expansion era strategy of torpedo strike by placing it on an entirely new highly agile platform. Notably, its advanced shipsystem ""Solitary Egret"" can be combined with advanced bombers such as ""Amanojyaku"" to deliver payloads with great efficiency.

However, despite being widely used as the main striking force, the shipsystem also contributes to pilots survivability. The reputation and word of mouth about the Egret within the lower ranks are far from the expected positive images, especially in fleets where a higher proportion of inner Boundary crew members are present. There are widespread legends particularly suggesting that the ""Solitary Egret"" can influence luck and other superstitions. The internal affairs department has supressed talk about the subject and givin responses on these matters multiple times to ""dispel the superstition"" but the result seems to have little effect, despite statistical data that indicate low casualty rates for this ship.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Puppeteer,SHIP,"A Agile, fast, and elegant small carrier with two hangar bays equipped with maintenances facility as well an efficient shields. its capable enough to hold its line at any range while also able to surpress the enemy defensive capability.

Unlike common carrier like the Heron or the Condor, the Margatroid class has quite the elegant and streamlined appearance with a embellished and aerodynamic design. If one were to describe its appearance in human terms, perhaps only the word 'maiden' could properply describe everything about her. On the otherhand, as a combat carrier, the Margatroid class is extremely efficient in its lethality, especially combined with its shipsystem thats use technology derived from the inner-side of the Boundary it can interfere and disrupt targets PD weaponry. When combined with the ship's unique and specialized built-in module, the ship's fighters are able to shread close range targets on command.

Although there exists signs of negative mental effect on the pilots and even captain of this ship caused by the deep involvement of the inner side of the Boundary in this ship's design, such as the design of the built-in moudule, many crew still gladly serve on this class of ship. Perhaps because of this, in popular fiction the Margatroid's onboard sub-system AI is often potrayed as a young girl who has obsessive devotion to someone to the point of causing mental disturbance to those people.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Aya,SHIP,"A examplary specimen of light Gensoukyou Manufacture ship, combining excellent mobility with small amount of flexible weaponries and a squadron of drones. Further supported with its special Fuujin shipsystem to traverse through phase space in short period. Making it a formidable ship to engage all of type of enemy.

Developed on a combination of miniature phase technology and improvement on expansionist era assualt theory achieved by deviation from the established norm. The Literary class sacrifices considerably on armor and hull integrity to achieve unusually high speed and mobility for a destroyer. Following standard Gensoukyou Manufacture fleet doctrine, the Literary class relies on its drones to complement its sustained firepower. Unlike many expansion era ships that are often mocked as  ""glass cannons"" , the ship's flux cunduit and shield system are capable enough to allow the ship to survive against a stronger enemy. With a shipsystem that essentially guarantees escape route at any time, even less experienced captain can utilize the ship's potential to some degree.

The Literary class was also important to the formation of modern Gensoukyou Manufacture Fleet doctrine. Despite being designed before Gensoukyou Manufcature's exposure to the Sector, combat report of the Literary class demonstrated the potential of the sustained suppressive firepower theory and ability to perform PD task without relying on a large number of small weapon slots. Due to this important history and the simple and clean image of this ship, this ship's silhouette often used as an unnofficial symbol for Gensoukyou Manufacture ships.

In popular fiction, while it does not appear as often as the mysterious and advanced ships that often serve as the main character's personal ship, she still see common apperance. ""After all, who doesnt love a cool little Crow?""

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
FM_Miko,SHIP,"One of the most precious mass-produced destroyers that can be found in the persean sector, the Miko, integrated with the spiritual framework, possesses weapon adaptability surpassing most Gensoukyou-built ships and maintains the faction's well-known high mobility. This atypical design allows it flourish in high-risk engagement. 

First developed as a project to improve the phase skimmer system to be based on spirtual energy within the Boundary, its development was largely handled by the inner side of the Boundary after it nearly drove several engineer from outside insane. Despite initial distrust from the outer side, when the final design was completed, almost everyone was shocked by this ship's astonishing performance, and voices of doubt and opposition dissipated.

Unlike the expansion-era ships that adopt cutting edge tech without regard to the quality of crew life, the Miko, though possessing an bizarre internal structure like most ships engineered by the inner side of the Boundary , still alows most crew members to maintain a relatively normal mental state during operation. However, perhaps due to some mysterious effect of the spiritual framework, crews of the Miko class often report witnessing a series of incredible events. The most famous of these is the rumored incident near Blazing Hell in the year 193, where a large asteroid expected to impact the surface and the prototype of the Miko class which was undergoing early testing at the time experienced a resonance phenomenon, causing the asteroid to deviate from the orbit and avoided the impact.

Like all Gensoukyo Manufacture ships, this ship class seems to be affected by unexplained memetic corruption.",,,,
,,,,,,
