name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#ENERGY_SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icicle Fall,FM_IcicleFall,1,,300,600,,60,50,0,50,6,,,,ENERGY,66,,0.4,0,1,0.1,3,12,1,2,,600,,,,,,,"energy9, FM_com , FM_weapon",,Gensoukyou Project,,General,,,,,"Split into %s Projectiles when its about to reach max range, Each projectile deals %s damages and can travel for an additional %s units.",6 | 30 Energy | 250,,,,1011
Spark PD,FM_Spark_pd,0,,600,700,180,,,0,100,5,8,1,4,ENERGY,,110,0,0,0.3,0.1,,,,,100000,,,,,,,"PD,ANTI_FTR","pd8, beam9, FM_com, FM_weapon",,Gensoukyou Project,,Point Defense,,,,,,,,,,1003
Mini Illusion Laser,FM_IllusionLaser_S,0,,200,800,120,,,0,30,5,,,,HIGH_EXPLOSIVE,,90,0.1,0.1,,,,,,,10000,,,,,,,,"he8, beam9, LR, FM_com, FM_weapon",,Gensoukyou Project,,General,,,,,,,,,,1006
Capture Web,FM_CaptureWeb,1,,500,500,,500,,0,30,9,60,,,ENERGY,600,,0.2,13.5,4,0.1,0,9,2.25,1,,1000,,,,,,"STRIKE, USE_VS_FRIGATES","energy9, SR, FM_com , FM_weapon",,Gensoukyou Project,,Strike,,,,,%s chance on Impact with hull to reduce the target %s from %s by %s for %s (Non-Stackable).,25% | Maximum damage reduction | Armor | 25% | 3s,,,,1011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ENERGY_MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealing Needle,FM_Persuasion,1,,2500,700,,40,0,1,15,12,,,,ENERGY,40,,1,4,45,0.033,0,5,0.5,5,,1200,,,10,,,,"energy14, rare_bp, FM_weapon",,Gensoukyou Project,,Anti Shield,,,,,Every third shot on target fires an additional projectile after a short delay. The bonus shot deals %s.,30 Energy,,,,1001
Void Blade,FM_Blade_ac,1,,2250,600,,600,0,40,10,12,,,,ENERGY,720,,1,4,3,0.15,0,6,1.2,3,,630,,,300,,,,"energy14, rare_bp, FM_weapon",,Gensoukyou Project,,Strike,,,,,"After travelling some distance, it will spread into danmaku with %s low damage projectiles, but total damage stay %s.", 15 | the same,,,,1004
Void Blade (Fighter),FM_Blade_ac_fighter,1,,2250,400,,600,0,40,10,12,,,,ENERGY,60,,1,7,1,0.15,0,6,1.2,3,,630,,,300,,,"SYSTEM, SHOW_IN_CODEX","no_sell, no_drop",,Gensoukyou Project,,Support,,,,,,,,,,1004
Hailstorm,FM_Hailstorm,1,,3000,700,,150,300,0,20,13,,,,ENERGY,175,,0.4,0.9,4,0.1,8,10,1,1.5,,700,,,,,,,"energy13, rare_bp, FM_weapon",,Gensoukyou Project,,General,,,,,After the projectile travelled %s of ranges it will spread into %s projectiles with %s damage and minor emp damages.,60% | 10 | 15 Energy,,,,1015
Spirit Seal,FM_Seal,0,,2000,1000,,150,,10,20,11,12,0.75,3,ENERGY,225,,0.25,0.75,3,0.1,0,10,2,5,,400,,,30,,,,"energy10, LR, FM_com, FM_weapon",,Gensoukyou Project,,Long Range Support,,,,,danmaku have limited tracking.,,,,,1005
Heavy Spark,FM_Spark_heavy,1,,2000,800,500,,,0,20,10,4,0.13,,ENERGY,,550,0,0.5,1.5,0.5,,,,,100000,,,,,,,,"beam14, FM_com , FM_weapon",,Gensoukyou Project,,General,,,,,,,,,,1009
Illusion Laser,FM_IllusionLaser_M,1,,2000,900,360,,,0,30,10,,,,HIGH_EXPLOSIVE,,320,0.2,0.2,,,,,,,10000,,,,,,,,"he14, beam13, LR, FM_com, FM_weapon",,Gensoukyou Project,,Anti Armor,,,,,,,,,,1012
Flying Leaf CIWS,FM_Leaf,0,,2250,450,,45,200,0,60,9,20,4,10,ENERGY,45,,0.05,0.05,5,0.1,0,4,0.5,1,,1350,,,,,,"ANTI_FTR, PD","energy10, pd13, SR, FM_com, FM_weapon",,Gensoukyou Project,,General (Point Defense),,,,,"Upon hitting enemy missile or fighter, will generate %s emp arc dealing the same damage as this weapon to another enemy missile or fighter in %s range. If there are no viable target, this effect does not trigger. ",150 | 1,,,,22.75
