name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Aphid,HIVER_aphid,Light Carrier,Bio Tech,microburn,9,5500,550,2300,1833,190,65,2,50,35,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,120,30,2,15,9,36000,4,10,360,0.25,12,12,,,,,,,"UNBOARDABLE, CARRIER, HIDE_IN_CODEX","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Mantis,HIVER_beetle,Battleship,Bio Tech,mine_strike,50,22000,2300,19000,30000,1450,300,,50,35,20,10,7,4500,OMNI,,120,0.4,1.4,,,550,900,400,400,18,30,7,500000,2,18,600,0.25,58,58,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ","hiverlarge_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Carabidae,HIVER_carabidae,Battlecruiser,Bio Tech,Bioenergyfocus,45,22000,2000,18050,14000,850,330,,36,18,12,10,10,3800,OMNI,,140,0.4,1,,,450,650,200,300,15,27,7,465000,2,12,800,0.25,46,46,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiverlarge_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Moth,HIVER_moth,Destroyer,Bio Tech,microburn,10,4950,600,3500,1750,280,95,,125,110,90,60,90,200,FRONT,,210,0.3,1,,,45,50,90,55,1,25,10,31000,7,10,240,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Burrower,HIVER_burrower,Drone Tender,Bio Tech,microburn,12,2300,350,2500,1200,390,105,4,90,110,70,95,170,220,OMNI,,90,0.5,1.2,,,20,35,175,30,1,40,9,15000,7,10,240,0.25,27,27,,,,,,,"UNBOARDABLE, CARRIER, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Caelifera,HIVER_caelifera,Light Cruiser,Bio Tech,microburn,14,4600,500,2500,1200,390,155,,100,110,70,95,170,240,OMNI,,90,0.5,1.2,,,20,35,175,30,1,40,9,18000,7,10,240,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Deathfly,HIVER_deathfly,Light Carrier,Bio Tech,Bioenergyfocus,14,4800,550,2200,1833,390,100,3,75,35,20,25,20,400,OMNI,,120,0.4,1.2,,,95,120,90,30,2,15,9,58000,4,10,360,0.25,12,12,,,,,,,"UNBOARDABLE, CARRIER","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Weevil,HIVER_weevil,Combat Freighter,Bio Tech,microburn,10,5250,600,2800,2083,215,90,1,60,40,25,25,15,450,OMNI,,120,0.6,1.2,,,50,80,350,80,3,37,8,41000,4,15,420,0.25,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Mantabee,HIVER_mantabee,Carrier,Bio Tech,Bioenergyfocus,20,9000,1450,3900,4200,290,120,4,95,60,40,30,30,2100,OMNI,,120,0.4,1,,,250,300,120,55,4,15,8,155000,3,12,420,0.25,18,18,,,,,,,"UNBOARDABLE, CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Queen,HIVER_queen,Battlecarrier,Bio Tech,targetingfeed,47,19000,1950,17000,14000,800,360,6,41,15,10,9,6,4200,FRONT,,180,0.4,1,,,750,1500,400,400,15,27,7,505000,4,13,720,0.25,46,46,,,,,,,"UNBOARDABLE, CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX","hiverlarge_bp, IndEvo_no_ship_roulette, no_drop, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Swimmer,HIVER_swimmer,Tanker,Bio Tech,microburn,9,2250,400,1500,2750,250,55,,110,65,30,30,25,500,OMNI,,120,0.5,1.2,,,15,50,150,1400,2,300,8,29000,5,10,180,0.25,6,6,,,,,,,"UNBOARDABLE, CIVILIAN, TANKER,HIDE_IN_CODEX","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Prince,HIVER_prince,Cruiser,Bio Tech,Bioenergyfocus,25,11500,1350,6800,6200,420,135,,80,25,20,35,17,1500,OMNI,,120,0.4,1,,,135,300,300,110,3,40,7,135000,4,10,540,0.25,23,23,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Chinavia,HIVER_chinavia,Combat Freighter,Bio Tech,microburn,12,6000,320,2550,2200,180,95,,60,30,10,10,10,1500,FRONT,,150,0.5,1,,,45,180,1000,100,4,30,7,50000,2,20,480,0.25,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Snipper,HIVER_snipper,Destroyer,Bio Tech,emp,12,6000,920,4000,3400,280,95,,70,50,20,25,20,450,OMNI,,180,0.4,1,,,65,90,80,80,3,30,9,42000,4,12,420,0.25,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Swallowtail,HIVER_swallowtail,Heavy Cruiser,Bio Tech,temporalshell,29,9500,1800,9450,9000,700,195,,50,35,10,30,30,2800,FRONT,,105,0.6,0.6,,,210,300,120,220,5,30,8,218000,3,12,540,0.25,31,31,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiverlarge_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Princess,HIVER_princess,Heavy Cruiser,Bio Tech,microburn,29,10500,2200,9450,9000,700,220,,45,35,10,45,30,3800,OMNI,,125,0.4,1,,,210,300,220,220,5,30,7,218000,3,12,540,0.25,31,31,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiverlarge_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Viridan,HIVER_viridan,Heavy Destroyer,Bio Tech,Bioenergyfocus,15,8000,950,3800,,320,80,,120,110,85,60,20,440,FRONT,,90,0.4,0.5,,,50,100,210,100,3,30,8,30000,4,10,360,0.2,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hivermedium_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
Lacewing,HIVER_lacewing,Frigate,Bio Tech,temporalshell,9,1700,310,2000,1800,180,45,,135,125,90,60,120,200,FRONT,,210,0.4,1,,,25,50,30,25,1,25,10,11000,7,10,240,0.25,5,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","hiversmall_bp, IndEvo_no_ship_roulette, no_bp_drop, restricted, no_drop_salvage, no_dealer, no_sell",,0.9,4,6,,
