id,type,text1,text2,text3,notes
HIVER_emperor,SHIP,Very little is known about this  Hiver Battleship. It's massive size and heavy armament is greatly feared by the Corvus fleets that encounter it.,Battleship,,
HIVER_moth,SHIP,Very little is known about this Hiver destroyer. It is believed to be from a different race of Hivers due to its lack or plating and insect like appearance.,Destroyer,,
HIVER_burrower,SHIP,The Burrower appears to be from the more armored version of Hivers and is armed with several drones. This ship has been modified with a Salvage Gantry in order to assist with recovery and mining operations.,Drone Tender,,
HIVER_deathfly,SHIP,The Deathfly is known to carry three Hiver fighters and is well armored.,Light Carrier,,
HIVER_weevil,SHIP,The Weevil seems to be used as an armed freighter by the Hivers and is not to be under estimated. This ship has been modified with a Salvage Gantry in order to assist with recovery and mining operations.,Combat Freighter,,
HIVER_mantabee,SHIP,"At first glace, the Mantabee seems to be an armored insect but encounters suggest it is a carrier equipped with four flight bays",Carrier,,
HIVER_queen,SHIP,"Believed to be used by the Hiver ruling class, the Queen is heavily armed and is equipped with six fighter bays making it a threat to not only the eyes but to any Corvus ship.",Battlecarrier,,
HIVER_swimmer,SHIP,This armored tanker is as fast as it is creepy looking.,Tanker,,
HIVER_prince,SHIP,The Prince is a cruiser sized ship from the more insect designed race of Hivers. Very deadly at close range.,Cruiser,,
HIVER_chinavia,SHIP,The Chinavia is a well armed and armored ship used by the Hivers as a freighter. This ship has been modified with a Salvage Gantry in order to assist with recovery and mining operations.,Heavy Combat Freighter,,
HIVER_snipper,SHIP,With it's disturbing claws the Snipper makes for a deadly close combat ship. Very fast and is used in hit and run tactics.,Destroyer,,
HIVER_swallowtail,SHIP,The long segmented body of the Swallowtail is studded with numerous weapon mounts and is believed to be the front line armor in Hiver tactics,Heavy Cruiser,,
HIVER_viridan,SHIP,The Viridan seems to be a cross design between the more insect and the more armored Hiver race designers. Classified between a destroyer and a cruiser it is a fast hit and run skirmisher.,Destroyer,,
HIVER_lacewing,SHIP,The Lacewing is the only known frigate sized Hiver ship. Used primarily as a hit and run stinger to distract enemy ships and pull them out of formation when trying to chase it down.,Frigate,,
HIVER_beetle,SHIP,The Mantis is an imposing Hiver design. Very deadly and well armored. Watch out for it's mine launcher which can outright destroy small ships.,Battlecruiser,,
HIVER_aphid,SHIP,The Aphid is used as a light carrier that supplies Hiver fleets tactical mobile missile distractions in their hit and run tactics.,Light Carrier,,
HIVER_catcher,SHIP,"The wide body of the  Catcher is studded with several weapon mounts. Designed to get up close and surround smaller ships, overwhelming their shields. ",Cruiser,,
HIVER_crabby,SHIP,The crabby is the only known displacer phase ship used by the Hivers. A departure from their normal designs it is used to distract opponents and force them to waste their ammunition.,Phase Destroyer,,
HIVER_eyes,SHIP,The Eyes is the Hiver's only phase cruiser and it is as deadly as it is distracting. Able to fade in unload it's weapons and phase out to let and damage regenerate and repeat the process makes it a sly beast of a ship.,Phase Cruiser,,
