name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Istkrrtc-type Hive,HIVER_launcher,1,,32975,5000,,550,,25,10,7,33,0.1,,HIGH_EXPLOSIVE,0,,0,15,3,0.4,0,0,0,0,,325,100,80,200,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, hivermweapon_bp, no_dealer, no_sell",,Bio Tech,,Long Range Damage,Medium,Good,,,,,,,,
Xrrymm-type Hive,HIVER_mirv,1,,12975,1200,,150,,15,30,4,28,0.1,,KINETIC,0,,0,1,4,,0,0,0,0,,550,90,8,300,,,GUIDED_POOR,"missile8, strike2, hivermweapon_bp, no_dealer, no_sell",,Bio Tech,,Anti Shield,Medium,Good,,,,,,,TRUE,
Ezkepren-type Hive,HIVER_htorp,2,0.5,20250,800,,800,,40,10,5,5,0.1,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,450,150,6,500,,,GUIDED_POOR,"strike7, missile0, hivermweapon_bp, no_dealer, no_sell",,Bio Tech,,Torpedo,Fast,Good,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svreraxx Bio-Plasmic Catapult,HIVER_lrblaster,2,,42475,1000,,800,,0,15,22,,,,ENERGY,230,,0,1,,,,,,,,1000,,,,,,,"energy14, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Krrakt Thermionic Hyper-Exiter,HIVER_twinpd,2,,12475,400,,45,,0,100,5,,,,ENERGY,28,,0,0.25,2,,,,,,,1000,,,100,,,PD,"pd7, energy8, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,Point Defense,,,,,,,,,,
Svrerresh Bio-Plasmic Launcher,HIVER_blaster,1,,32475,600,,100,,0,20,10,,,,ENERGY,60,,0.333333,0,,,,,,,,1000,,,,,,,"energy13, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Sverrtrrsx Bio-Plasmic Caster,HIVER_twinblaster,1,,30625,700,,300,,0,20,20,,,,ENERGY,93,,0.5,0.5,2,,0,10,1,5,,1000,,,,,,,"energy18, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Vxitterr Thermionic Sling,HIVER_plascannon,3,,42125,700,,600,125,0,30,20,,,,ENERGY,176,,0.53,0.9,1,0.33,,,,,,900,,,500,,,,"energy20, hiverplweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Xhezek Thermionic Sling,HIVER_twinplas,3,,42875,750,,700,250,0,20,30,,,,ENERGY,209,,0.53,1.01,2,0.33,,,,,,800,,,500,,,,"energy20, hiverplweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Trrsx Bio-plasmic Hyper-Exciter,HIVER_spitter,1,,29712,800,,85,,0,55,10,,,,ENERGY,55,,0.33,0,,,,,,,,1000,,,,,,,"energy8, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Krrakt Thermionic Exiter,HIVER_irpulse,1,,10562,700,,65,,0,50,5,,,,ENERGY,77,,0.333333,0.1,,,,,,,,1000,,,,,,,"energy8, hiverpweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Ommatidia,Hiver_eyeball,3,,77243,200,,5,60,60,60,0,,,,ENERGY,1,,0,0.5,1,,,,,,8000,,,,,,,"PD,ANTI_FTR,IGNORES_FLARES","pd15, beam10, no_dealer, no_sell",,Bio Tech,,Point Defense,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rizokis Laser,HIVER_fraglg,1,,32250,950,1150,,,0,15,19,,,,FRAGMENTATION,,500,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, hiverbweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Medium Rizokis Laser,HIVER_fragmed,1,,27500,950,750,,,0,15,9,,,,FRAGMENTATION,,250,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, hiverbweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
Light Rizokis Laser,HIVER_fragsm,1,,10750,950,350,,,0,20,5,,,,FRAGMENTATION,,115,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, hiverbweapon_bp, no_dealer, no_sell",,Bio Tech,,General,,,,,,,,,,
