name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,,
Automatized Maintenance System DEPRECATED,acs_efficiency,,,,,,,,TRUE,,3,6,9,15,data.hullmods.acs_efficiency,Utilization of various maintenance drone and automated logistic system. Reduces maintenance costs by %s ,Reduces maintenance costs by %s,graphics/hullmods/efficiency.png
,,,,,,,,,,,,,,,,,,
Partial Automation Overhaul DEPRECATED,acs_partialautomation,,,,,,,,TRUE,,3,6,9,15,data.hullmods.acs_partialautomation,Partial automation overhaul of ship system using remote controlled droneship software. Reduces minimum crew costs by %s while still allow human passenger to live on the ship and be captained by human captain.,Reduces maintenance costs by %s,graphics/hullmods/efficiency.png
,,,,,,,,,,,,,,,,,,
Railfeed Fighter,acs_railfedfighter,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.acs_railfedfighter,"This fighter pilot has to put up with being jammed in a long dark tunnel inside a ship, leading to an autoloading gantry, inside a fighter that they will likely have to escape from when it inevitably fails in heavy fire. Reduces max CR to %s.",,graphics/hullmods/acs_railfed_icon.png
,,,,,,,,,,,,,,,,,,
Exploration Refit,acs_low_logistic,,,,,,,,TRUE,,0,0,0,0,data.hullmods.acs_low_logistic,A series of tweaks and upgrades designed maximize ship logistical efficiency. Decreases the monthly maintenance supply cost by %s.,Decreases maintenance cost.,graphics/hullmods/acs_railfed_icon.png
,,,,,,,,,,,,,,,,,,
Damper Vent,acs_dampervent,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.acs_dampervent,A modified venting system that trigger a damper field during venting at cost of disabling weapon system for 5 second after venting,Decreases maintenance cost.,graphics/hullmods/acs_dampervent_icon.png
,,,,,,,,,,,,,,,,,,
Droneship Automation Overhaul,acs_remotedroneship,3,,,"req_spaceport, merc","Logistics, Requires Dock",80000,TRUE,,,3,6,9,15,data.scripts.hullmods.acs_remotedroneship,Partial automation overhaul of ship system using remote controlled droneship software. Reduces minimum crew costs by %s while still allow human passenger to live on the ship and be captained by human captain. Require other ship equpped with %s hullmod to function both in combat and outside of it. Failure to do so will Reduce ship combat readiness by %s outside combat and Increased CR Degradation by %s during combat also disable weapon system and ship engine. (Becareful dont let your ship with Drone Command Center to die during battle).,Reduces maintenance costs by %s,graphics/hullmods/acs_droneship_icon.png
,,,,,,,,,,,,,,,,,,
Droneship Operation Center,acs_remotedroneshipcommand,3,,,"req_spaceport, merc","Logistics, Requires Dock",120000,TRUE,,,9,12,20,30,data.scripts.hullmods.acs_remotedroneshipcommand,An added Command Module necessary for enslaved remote droneship to operate. Also increase ECCM rating by  %s .,Reduces maintenance costs by %s,graphics/hullmods/acs_droneshipcommand_icon.png
,,,,,,,,,,,,,,,,,,
Nomad Logistical Overhaul,acs_drifterlogistic,0,,,,,,,TRUE,,0,0,0,15,data.scripts.hullmods.acs_drifterlogistic,"When no other ship beside this ship, increase Maximum Fuel Tank by %s .",Reduces maintenance costs by %s,graphics/hullmods/acs_drifterlogi_icon.png
,,,,,,,,,,,,,,,,,,
Vagabond Logistic Doctrine,acs_vagabondlogistic,0,,,,,,,TRUE,,0,0,0,15,data.scripts.hullmods.acs_vagabondlogistic,"When no other ship beside this ship or 2 other, increase Maximum Fuel Tank by flat %s , Burn Drive by %s , and monthly supplies maintanance by %s .",Reduces maintenance costs by %s,graphics/hullmods/acs_drifterlogi_icon.png
,,,,,,,,,,,,,,,,,,
Thirteen Battlegroup,acs_Thirthteen,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.acs_Thirthteen,"This ship is a survivor of the original 13th Domain Battlegroup which infamous for their inquisitorial zealot in pacifying remnant of old Domain Enemy. It is a prime specimen of the Domain Navy's ""attrition battle"" doctrine, particularly exhibited by a series of radical structural modifications (performed with pre-Collapse industrial methods) which allow the mounting of heavier armor plating by a flat increase of %s standard units, with only a %s maneuverability and flat -5 decrease of movement speed, Ship with this hullmod also come with built-in Damper Vent to protects its hull. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s over standard examples of this hull.",,graphics/hullmods/acs_xiii_standard_icon.png
,,,,,,,,,,,,,,,,,,
Converted Hangar - Frigate,acs_frigatehangar,3,,,"req_spaceport, merc","Logistics, Requires Dock",80000,TRUE,,,0,0,0,0,data.scripts.hullmods.acs_frigatehangar,"Convert some of Carrier vast hangar into makeshift Frigates Hangar, give necessary tools and utility to maintain and store designated frigates. Require Capital with Hangar and Salvage Rigs.",Gives slots to store designated Frigates.,graphics/hullmods/acs_frigatehangar_icon.png
,,,,,,,,,,,,,,,,,,
Stored Frigate,acs_frigate_on_hangar,3,,,"req_spaceport, merc","Logistics, Requires Dock",120000,TRUE,,,0,0,0,0,data.scripts.hullmods.acs_frigate_on_hangar,"Mark this vessel to be stored on Hangar, reducing both its montly supply and fuel cost down to 0, as long as there is slots in converted carrier hangar","Mark this vessel to be stored on Hangar, reduce its supply and fuel down 0.",graphics/hullmods/acs_frigateonhangar_icon.png
,,,,,,,,,,,,,,,,,,
Converted Hangar - Frigate (Cruiser),acs_frigatehangar_cruiser,3,,,"req_spaceport, merc","Logistics, Requires Dock",80000,TRUE,,,0,0,0,0,data.scripts.hullmods.acs_frigatehangar_cruiser,"Convert some of Carrier vast hangar into makeshift Frigates Hangar, give necessary tools and utility to maintain and store designated frigates. Require Cruiser with 2 or more Hangar and a Salvage Rigs.",Gives slots to store designated Frigates.,graphics/hullmods/acs_frigatehangar_icon.png
,,,,,,,,,,,,,,,,,,
Makeshift Fighter Bay,acs_makeshiftfighterbay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.acs_makeshiftfighterbay,"This ship's cargo hold has been converted to house a single makeshift of fighter bays. The improvised manufactory that produces fighter chassis is unreliable, and most components have minor defects. Fighter speed reduced by %s, and damage taken increased by %s.",An Single improvised fighter bays.,graphics/hullmods/converted_hangar.png
,,,,,,,,,,,,,,,,,,
