name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Trooper,acs_troopernew,,Midline,,,650,80,40,,30,0,,285,360,180,150,300,10,FRONT,,100,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Gunner,acs_gunner,,Midline,,,850,90,30,,30,0,,260,360,180,150,300,10,FRONT,,100,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Watchman,acs_watchmannew,,Low Tech,,,600,30,15,,20,0,,270,360,180,150,300,10,FRONT,,100,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Peasant,acs_peasantnew,,Low Tech,flarelauncher_fighter,,550,20,50,,10,0,,300,360,180,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Militia,acs_militianew,,Explorarium,flarelauncher_fighter,,650,60,40,,30,0,,270,360,180,150,300,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Drifter,acs_drifter_new2,Exploration Cruiser,Low Tech,damper,12,9000,1000,8000,,300,120,3,45,20,20,20,15,2500,OMNI,,120,0.6,1.4,,,200,350,500,200,3,60,9,79999,5,14,520,0.25,14,14,,,,,,,,"independent, scavengers, mercantile, merc, lowtech_bp, pirates, hegemony",,0.2,1,2,,
Drifter DEPRECATED,acs_drifter,Exploration Cruiser,Low Tech,plasmajets,12,9000,1000,8000,,300,100,3,25,20,20,20,15,2500,OMNI,,180,0.3,1.4,,,200,350,500,200,3,60,9,79999,5,14,520,0.25,14,14,,,,,,,,,,0.2,1,2,,
Limitanei,acs_exploraria2,Exploration Battle Freighter,Low Tech,microburn,8,4700,600,3000,2500,150,80,1,50,30,20,20,15,500,OMNI,,120,0.4,1,,,50,150,300,120,2,40,9,38000,5,7,420,0.25,7,7,36,125,,,,,,"independent, scavengers, mercantile, merc, lowtech_bp, pirates, hegemony",,0.5,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mook,acs_mook,,Low Tech,,,400,100,150,,100,0,,125,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Mook (D),acs_mook_r,,Low Tech,,,500,100,150,,100,0,,125,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerberos,acs_kerbeross,Exploration Combat Freighter,Low Tech,microburn,5,2800,550,1850,1875,150,60,1,130,100,75,60,120,300,FRONT,,75,0.3,1.4,,,25,60,50,50,1,40,10,20000,8,5,240,0.25,4,4,25,100,,,,,,"independent, scavengers, mercantile, merc, lowtech_bp, pirates",,0.3,2,2,,
