id,type,text1,text2,text3,notes
acs_troopernew,SHIP,"General Use, Multi-Role, Aerial Combat Suit. A mass produced modified marine combat suit with Standard Issued EVA modification and armament. This suit fill both role of Ground Operation Aerial Support and Space Engagement. Armed with enchanced vulcan HMG and a single use SABOT missile make the suits deadly against shielded enemy on their first engagement. Capable to engage with up to weaker combat freighter and at the same time able to fill the role to harrass enemy frigates and their cruiser.",,,
acs_gunner,SHIP,This suits is heavy duty modification of their more versatile brother. Equipped with heavier armor and shield as well minified version of Assault Chaingun. This suits spell doom to any unarmored ships.,,,
acs_watchmannew,SHIP,"Cheap, Durable, And Reliable. This suits is favorite of every ships captain in the sector from pirates, mercenary, to trade and exploration vessel. This Suits fills both role of Interceptor and Fighter, Often regarded as cheaper alternative to Trooper suits. This suits is basicly a heavilly modified Peasant Suit with more and better armor and militarized system along with makeshift shield emitter making this suits an ideal choices for many role including Ground Operation Aerial Support Mission. This suits is equiped low powered shield emitter capable to protect the pilots from first enemy point of defense counter-attack combined with Enchanced MG commonly found in low grade vanilla marine suits and with a handful of Swammer Missile make them capable to engage and do some damage to bigger frigates and cruiser before retreating. An ideal choices for every common ships captain in the sector!",,,
acs_peasantnew,SHIP,"Originally use to do heavy duty and protect miners from hazardous mining envirotment. This Suits now serve as cheap fighters for poor unlucky pirates or a desperate rebel miners. Not a fun thing to pilot. Equipped with barely sufficient EVA unit modification and a single poorly armed LMG is regarded is good enough. This Suits is widely regarded as iron coffin by their pilot and those who unlucky enough to pilot it generally won't come back alives, heavy loss of crew is guarranted. This Suits is so poor that the only redeeming feature of it slighty stronger armor and hulls than talons and cheap to replace. People often compare this to talon but without missile, weaker armament, and slower movement speed.",Interestingly this suits has found it own charm with suicidal pirates and those impetentous fanatic pather.,,
acs_drifter,SHIP,"An powerful heavy destroyer armed with large composite mount and couple of fighter bay, good armor and hulls, also come with cheap surveying equipment and built-in salvage gantry.
 
 a perfect exploration vessel if not for its awfully terrible lack of speed and pd, make this ship allergic to wolfpack and faster more manuverable ship.
 
 this slow engine also means that it cant easily retreat when being pursued, especially when its burn drive system is in cooldown.",,,
acs_drifter_new2,SHIP,"An powerful heavy destroyer armed with large composite mount and couple of fighter bay, good armor and hulls, also come with cheap surveying equipment and built-in salvage gantry.
 
 a perfect exploration vessel if not for its awfully terrible lack of speed and pd, make this ship allergic to wolfpack and faster more manuverable ship.
 
 this slow engine also means that it cant easily retreat when being pursued, especially when its burn drive system is in cooldown.",,,
acs_exploraria2,SHIP,"A do-it-all modular exploration battle freighter designed for deep and long expedition alone.
 
 originally intended to be an upgrade of mule, it now outfitted with a proper flight deck, an composite weapon system, and generous ammount cargo and fuel compartment suitable for long distance isolated techmining expedition. 

 All those upgrade however came at the cost of reduced armor and hull and weaker more rugged and slower engine, making it more of sitting duck in face of more manuverable and faster ship.

 The effect of this slow engine weakness are somewhat mitigated with integration of burn drive system.
 
 An added salvage gantry, awesome weapon system, and general rugged and low maintanance system making it an favorite of among many indepedent actor, particulary among scavenger, nomadic wanderer, and indepedent defense force who wish for a defense ship that can fullfill variety of role for cheap.",,,
acs_mook,SHIP,"A cheap hacked drone lpc recycled using part of domain explorarium derelic. often seen as better alternative than borer wings,this drone feature an light assault gun to suppress the enemy, its weaker armor and hulls however, make it more of distraction than a threat.",,,
acs_mook_r,SHIP,"A cheap hacked drone lpc recycled using part of domain explorarium derelic. often seen as better alternative than borer wings,this drone feature an light assault gun to suppress the enemy, its weaker armor and hulls however, make it more of distraction than a threat.

This one is built-in version of the drone, removed fighter ai make it impossible to leave it mothership in exchage of this, this version is outfitted with additional pd laser and 2 more addition to its units.",,,
,,,,,
acs_kerbeross,SHIP,"An upgraded, militarized version of cerberus, mainly intended for escort in deep expedition into uncharted region, fitted a proper drone bays and composite mount make this a versatile frigates able to perform variety of different role.

All this upgrade however come in the cost of removal of most cargo container as well as much robust and slower burn engine.

Popular with scavenger and indepedent militia convoy, also ocasionally a wealthier pirates band.",,,
,,,,,
acs_auxilia,SHIP,"An upgraded shepherd, using hacked shepherd blueprint. Herdsman is much more larger and better defended vessel with sturdy hulls and specialized artillery targeting system to deter would be raider.

This upgraded version of shepherd also come with it own hacked drone autofactory to produce defense version of Mook hacked LPC, despite it long and bigger hulls, it still classified as frigates due various reason and still not advisable to be used as main combat ship.

All this upgrade also include an salvage gantry and ample of cargo and fuel storage to be self-sustainable in long journey in the expedition.

Favorite of small indepedent scavenger, nomad, and free people in the sector.",,,
,,,,,
acs_mil_buffalo,SHIP,"Inspired by pirates Buffalo Mk.II, Independent shipbuilder devise an Buffalo Mk.IV an essentially an upgraded militarized Buffalo Cargo Freighter. 

Complete with militarized subsystem, composite weapon mount, and much more better added hulls and armors (scrapped from collossus) give it enough edge to buy time for escorted vessel to escape an unwinnable battle, It even boast an fighter autofactory, albeit outdated and further downgraded version of the usually found in sector, and to add insult to injury, its standard shield generator replaced by cheaper secondhand bootlegged version of it commonly found in pirates market.

 It additional armor and hulls also make it more slower that their pirates counterpart. That being said it do boast an respectable ammount of storage and fuel capacity and canister flak ship subsystem to avoid getting one shoted by missile or fighter barrage.

 Popular choice for indepedent actor across sector, due its cheapness, rugged realibility, and widespread sparepart for ease of maintanance. particullary with poor indepedent planetary militia and mercenary who can't affor proper warship, also popular with explorer and deep space scavenger around sector for it ease of maintanance and versability versus its cost-effectiveness.

 It do a good jobs for what essentially converted civilian ship though still fall behind proper combat warship. That said most enemy it encounter also a junk, so its good most of time.",,,
acs_vigiles,SHIP,"Vigiles Class Freighter a popular alternative to the ubiquitous Buffalo Freighter, This vessel feature a dedicated modular modification package that allow it to quickly converted to many different variant be it transport ship, mining ship, or even a somewhat capable warship.

Its rugged and strong hulls offer more protection compare to more ubiquitous Buffalo, a shared component and hull with Tarsus and Collossus freighter also give it fairly cheap logistical profile making it more cheap both to manufacture and maintanance, It also offer an dedicated place for weapon mount owing it origin as frontiersman freighter where a gun is a must to deter any would-be bandit, Sadly its more that average weight, and its dedicated modular system take tolls of its cargo space, and more strong, rugged but slower engine to push itself with all those weight. 

Originally only used in frontier mostly lawless space to transport goods and cargo in hostile space, this ship now found new thriving life in post-collapse persean sector, where it rudgedness, durability, and modularity greatly appreciated by all kind of denizen of the sector.

Although less effective in terms of being an actual cargo freighter, Vigiles still popular due it extensive dedicated modification packaged and its cheap logistical profile, allowing it to perform many role at more or less decent perfomance, be it a mining ship, transport ship, or even warship, While its good militarized package a godsend for poor planetary militia or indepedent common folk of sector, its also mean that is widely popular with pirate and other unlawful actor of the sector due how easily to turn it into dedicated warship.",,,
acs_medium_hag,WEAPON,"An essentially an downscaled version of ubiquitous Haephestus Assault Gun, Using smaller and shorter barrel mean for much smaller, and weaker but light ammunition allow this gun to pepper enemy from affar",,,
acs_medium_minihag,WEAPON,"A single barreled version Kothar Assault Gun, Sethlans offer much more versatile role and stronger munition round in exchange for shorter engagement range. Equipped with PD targeting AI, this gun can serve as a general purpose gun, capable to perform PD functionality as well as assault capability at reasonable effectiveness.",,,
acs_small_flakhag,WEAPON,"A rather smaller deriative of its bigger brother Sethlans and Kothar, Ulka exchange its aggressive assault capability in exchange for PD capability, replacing its gun barrel with downscaled mini flak cannon, this gun are excellent anti-missile capability, intended to give ship with few PD mount an better capability at destroying incoming missile barrage. This however came at cost of much shorter range compare standard flak cannon, and weaker round that only effective to common missile and torpedo, it began struggle againts much faster, and stronger missile projectile, and ineffective against fighters.",,,
,,,,,
acs_toyhammer_small,WEAPON,"A chopped off, more smaller and weaker deriative of Hammer torpedo, carrying smaller fragmentation payload commonly use for blowing smaller asteroid junk, this torpedo is has been repurposed to become a weapon of war, its smaller, more compact frame allow it to be fitted to autoloader albeit its downgraded, much slower one. And its weak fragmentation payload however means that its is ineffective to all but unarmored hulls, its also further limited by its cheap modular autoloader, that make it perform burst barrage not even possible. Commonly used in number to mitigate its autoloader ineffectiveness. a good suppresion torpedo.",,,
acs_toyhammer_small2,WEAPON,"A chopped off, more smaller and weaker deriative of Hammer torpedo, carrying smaller fragmentation payload commonly use for blowing smaller asteroid junk, this torpedo is has been repurposed to become a weapon of war, its smaller, more compact frame allow it to be fitted to autoloader albeit its downgraded, much slower one. And its weak fragmentation payload however means that its is ineffective to all but unarmored hulls, its also further limited by its cheap modular autoloader, that make it perform burst barrage not even possible. Commonly used in number to mitigate its autoloader ineffectiveness. a good suppresion torpedo.",,,
acs_toyhammer_medium,WEAPON,"A chopped off, more smaller and weaker deriative of Hammer torpedo, carrying smaller fragmentation payload commonly use for blowing smaller asteroid junk, this torpedo is has been repurposed to become a weapon of war, its smaller, more compact frame allow it to be fitted to autoloader albeit its downgraded, much slower one. And its weak fragmentation payload however means that its is ineffective to all but unarmored hulls, its also further limited by its cheap modular autoloader, that make it perform burst barrage not even possible. Commonly used in number to mitigate its autoloader ineffectiveness. a good suppresion torpedo.",,,
,,,,,
,,,,,
