id,trigger,conditions,script,text,options,notes
greetingIIFriendly,OpenCommLink,"$faction.id == interstellarimperium
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Communication established. Greetings, comrade, and glory to the Imperium! What news do you have?""
OR
The Imperial $personRank smiles and animatedly salutes you. ""Ah, greetings from the Interstellar Armada.""
OR
""Long live the Emperor! Well met! I trust things have been going well?""",,
greetingIIHostileWeaker,OpenCommLink,"$faction.id == interstellarimperium
$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"The comms-line crackles for a while before an angry Imperial $personRank appears onscreen. ""Surrender now! Even if you manage to win this paltry battle, the Interstellar Imperium shall not suffer you much longer.""
OR
""You would pursue us while we retreat, cretin? The Imperium shall not forgive your treachery!""
OR
""P-please, just let my men live! Think of their families! I beg of you!""",cutCommLink:Cut the comm link,
greetingIIHostileWeakerDefiant,OpenCommLink,"$faction.id == interstellarimperium
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The Imperial $personRank shoots you a defiant glare. ""Even if this fleet must fall, the Imperium shall never surrender! Glory to the Imperium!"" The comms-line abruptly cuts to static.
OR
The Imperial seal, stark red-on-black, appears on comms. ""Long live the Emperor! Glory to the Imperium!""
OR
""The Imperium smiles upon me! My comrades shall drink to my valor! Even in death, I will be victorious! Minerva, guide us to glory!""",cutCommLink:Cut the comm link,
greetingIIHostileStronger,OpenCommLink,"$faction.id == interstellarimperium
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"The Imperial $personRank waves $hisOrHer hand at you dismissively. ""You will be crushed beneath the heel of our great Imperium. Your pathetic supplications shall not save you, worm.""
OR
""Soon you shall experience the full power of the Interstellar Armada."" The $personRank grins maliciously. ""Your feeble forces are no match for our glorious might! Long live the Emperor!""
OR
The Imperial $personRank glares at you for a moment before the comms-line cuts to an image of the Imperial seal.
OR
""Your false gods and failed ideologies have led you to this fate. Your demise has been ordained by Minerva herself! Glory to the Imperium!"" The $personRank laughs magnanimously before the comms-line cuts out.",cutCommLink:Cut the comm link,
greetingIINeutral,OpenCommLink,"$faction.id == interstellarimperium
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Communication established. You have contacted the Interstellar Armada. Stay out of trouble, and glory to the Imperium.""
OR
A well-dressed $personRank addresses you from behind an ornate command podium. ""Is there an incident to report? I hope this isn't a waste of the glorious Imperium's time.""
OR
""I, $personRank of this glorious Imperial fleet, greet you in the name of our great society. What do you ask of the Imperium?""",,
,,,,,,
relLevelCooperativeII,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == interstellarimperium",FireAll RelLevelMoreDescription,"The Pantheon itself has singled you out for praise, holding you up as an exemplar of the Interstellar Imperium. The universe bends to your convenience - or at least it seems that way when you're on Imperial worlds. Local patrols and military forces are almost reverent of your favored position.",,
relLevelFriendlyII,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == interstellarimperium",FireAll RelLevelMoreDescription,"Senior officers of the Interstellar Armada are familiar with your name. Local patrols and military forces go out of their way to make sure things go smoothly for you. Your life is inexplicably easier whenever you are on an Imperial world - trams are always on time, queues are short, and the best accomodations are always available, to name a few.",,
relLevelWelcomingII,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == interstellarimperium",FireAll RelLevelMoreDescription,"Despite your lack of natural birth on an Imperial planet, you are seen as a citizen of the Interstellar Imperium. Your reputation affords preferential treatment, so you get to enjoy the perks normally reserved for active and retired military personnel.",,
relLevelFavorableII,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == interstellarimperium",FireAll RelLevelMoreDescription,"The Interstellar Imperium sees you as a slightly trusted foreigner. Though you are still seen as an ""other"", you are treated cordially by local military forces and generally trusted to keep out of trouble. You can generally expect to be treated much as any spacer would.",,
relLevelNeutralII,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == interstellarimperium",FireAll RelLevelMoreDescription,"You are a non-entity in the watchful eyes of the Interstellar Imperium. You can conduct business on Imperial worlds without consequence, although you will be inconvenienced by the preferential treatment afforded to natural citizens of the Imperium - queues will take longer, first-class tram seats will usually be sold out, and so forth.",,
