name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Imperial Armor Package,ii_armor_package,2,1,Imperium,"defensive, special, req_spaceport, merc","Defenses, Special, Requires Dock",8000,,,,5,10,15,25,data.scripts.hullmods.II_ArmorPackage,A suite of defensive modifications emphasizing resilience and reliability.,Increases armor and weapon durability at the cost of maneuverability. Improves ship system.,,graphics/imperium/hullmods/ii_armor_package.png
Imperial Targeting Package,ii_targeting_package,2,1,Imperium,"offensive, special, req_spaceport, merc","Weapons, Special, Requires Dock",10000,,,,5,10,15,25,data.scripts.hullmods.II_TargetingPackage,A suite of gunnery modifications emphasizing operational range and firepower.,Increases weapon range and accuracy at the cost of projectile speed/turning. Improves ship system.,,graphics/imperium/hullmods/ii_targeting_package.png
Imperial Elite Package,ii_elite_package,3,0.5,Imperium,"engines, offensive, special, req_spaceport, merc","Weapons, Engines, Special, Requires Dock",15000,,,,10,20,30,50,data.scripts.hullmods.II_ElitePackage,"A suite of aggressive modifications emphasizing ""live fast, die hard"" combat philosophy.",Improves speed and offensive characteristics at the cost of range and longevity. Improves ship system.,"Increases the ship's deployment points and supply cost to recover from deployment by %s/%s/%s/%s, depending on hull size.",graphics/imperium/hullmods/ii_elite_package.png
Imperial Core Upgrades,ii_core_upgrades,3,0.5,Imperium,"special, req_spaceport, merc","Special, Requires Dock",12000,,,,0,0,0,0,data.scripts.hullmods.II_CoreUpgrades,A special enhancement suite emphasizing core Imperium combat doctrine.,Generally improves ship stats.,,graphics/imperium/hullmods/ii_no_package.png
,,,,,,,,,,,,,,,,,,,
Specialized Hull,ii_no_package,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_NoPackage,,Incompatible with Imperial Packages.,,graphics/imperium/hullmods/ii_no_package.png
Reinforced Emplacements,ii_reinforced_emplacements,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_ReinforcedEmplacements,"Increases weapon durability by %s and boosts projectile weapon range by %s, but slows turret traversal by %s.",Increases weapon range and durability. Decreases turret turn rate.,,graphics/imperium/hullmods/ii_reinforced_emplacements.png
Planetary Bombardment,ii_titan_bombardment,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_TitanBombardment,"Designed to pummel a planet's structures and industries into submission from high orbit. Capable of sundering worlds and eradicating populations with horrendous ease. Increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet. Reduces the fuel cost of a bombardment operation by %s units.

Deployment points are %s lower than standard, due to the bulk of the ship's capability being taken up by the Titan, which is launched shortly after deployment.",Improves effectiveness of raids. Greatly reduces fuel cost of bombardment. Permits eradication of markets.,,graphics/imperium/hullmods/ii_titanstrike.png
Imperial Training,ii_commissioned_crew,,,Imperium,no_build_in,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_CommissionedCrew,"This ship's officers and crew are trained for the rigors of combat. Takes %s fewer crew casualties from hull damage sustained in combat. Increases the effective strength of planetary raids by %s (%s of the ship's base crew), up to the total number of marines in the fleet.","Reduces crew casualties, improves effectiveness of raids.",,graphics/imperium/hullmods/ii_commissioned_crew.png
Attraction Matrix,ii_attraction_matrix,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_AttractionMatrix,Distracts the guidance systems of incoming missiles.,Distracts the guidance systems of incoming missiles.,,graphics/imperium/hullmods/ii_no_package.png
Moderately Extended Shields,ii_moderatelyextendedshields,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_ModeratelyExtendedShields,Increases the shield's coverage by %s degrees.,Increases maximum shield arc.,,graphics/hullmods/extended_shields.png
Tachyon Comm Booster,ii_tachyoncommbooster,,,Imperium,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_TachyonCommBooster,Increases the engagement range of deployed fighters by %s.,Increases the engagement range of deployed fighters.,,graphics/hullmods/ecm_package.png
,,,,,,,,,,,,,,,,,,,
HULLMOD CONFLICT,ii_blockedhullmod,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.II_BlockedBlankHullmod,%s: the hullmod you tried to install conflicts with this hull or another previously installed hullmod.,,,graphics/icons/intel/investigation.png
