name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Tribunal,ii_tribunal,,Imperium,,,5000,600,6000,,600,0,,200,300,200,50,100,300,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,,0.4,2,2,,7
Clypeus,ii_clypeus,,Imperium,ii_flares,,2000,200,4500,,300,0,,200,300,200,100,300,200,FRONT,,100,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.4,2,2,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flamen,ii_flamen,,Imperium,ii_flamen_flares,,300,30,400,,50,0,,275,350,300,150,450,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,7650
Draconarius,ii_draconarius,,Imperium,,,700,100,1000,,75,0,,300,500,400,200,350,25,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,7651
Vicarius,ii_vicarius,,Imperium,ii_burst_flares,,900,200,1250,,125,0,,200,200,150,60,90,50,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,7652
Scutum,ii_scutum,,Imperium,,,500,100,800,,75,0,,175,300,300,60,120,60,OMNI,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,7653
Inferna,ii_inferna,,Imperium,,,500,50,300,,50,0,,150,600,250,150,400,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,7654
Carnifex,ii_carnifex,,Imperium,ii_impulsebooster,,500,50,400,,50,0,,175,175,115,40,140,60,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,7655
Sectator,ii_sectator,,Imperium,ii_turbofeeder,,800,150,500,,75,0,,150,200,200,120,300,75,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,7651
