id,type,frame,magnitude,map,path
ii_adamas,ship,,,material,graphics/imperium/material/ships/adamas/ii_adamas_material.png
ii_adamas_armor,ship,,,material,graphics/imperium/material/ships/adamas/ii_adamas_armor_material.png
ii_adamas_targeting,ship,,,material,graphics/imperium/material/ships/adamas/ii_adamas_targeting_material.png
ii_adamas_elite,ship,,,material,graphics/imperium/material/ships/adamas/ii_adamas_elite_material.png
ii_barrus,ship,,,material,graphics/imperium/material/ships/barrus/ii_barrus_material.png
ii_barrus_armor,ship,,,material,graphics/imperium/material/ships/barrus/ii_barrus_armor_material.png
ii_barrus_targeting,ship,,,material,graphics/imperium/material/ships/barrus/ii_barrus_targeting_material.png
ii_barrus_elite,ship,,,material,graphics/imperium/material/ships/barrus/ii_barrus_elite_material.png
ii_basileus,ship,,,material,graphics/imperium/material/ships/basileus/ii_basileus_material.png
ii_basileus_armor,ship,,,material,graphics/imperium/material/ships/basileus/ii_basileus_armor_material.png
ii_basileus_targeting,ship,,,material,graphics/imperium/material/ships/basileus/ii_basileus_targeting_material.png
ii_basileus_elite,ship,,,material,graphics/imperium/material/ships/basileus/ii_basileus_elite_material.png
ii_caesar,ship,,,material,graphics/imperium/material/ships/caesar/ii_caesar_material.png
ii_caesar_armor,ship,,,material,graphics/imperium/material/ships/caesar/ii_caesar_armor_material.png
ii_caesar_targeting,ship,,,material,graphics/imperium/material/ships/caesar/ii_caesar_targeting_material.png
ii_caesar_elite,ship,,,material,graphics/imperium/material/ships/caesar/ii_caesar_elite_material.png
ii_carnifex,ship,,,material,graphics/imperium/material/ships/fighter/ii_carnifex_material.png
ii_carrum,ship,,,material,graphics/imperium/material/ships/carrum/ii_carrum_material.png
ii_carrum_armor,ship,,,material,graphics/imperium/material/ships/carrum/ii_carrum_armor_material.png
ii_carrum_targeting,ship,,,material,graphics/imperium/material/ships/carrum/ii_carrum_targeting_material.png
ii_carrum_elite,ship,,,material,graphics/imperium/material/ships/carrum/ii_carrum_elite_material.png
ii_clypeus,ship,,,material,graphics/imperium/material/ships/station/ii_clypeus_material.png
ii_decurion,ship,,,material,graphics/imperium/material/ships/decurion/ii_decurion_material.png
ii_decurion_armor,ship,,,material,graphics/imperium/material/ships/decurion/ii_decurion_armor_material.png
ii_decurion_targeting,ship,,,material,graphics/imperium/material/ships/decurion/ii_decurion_targeting_material.png
ii_decurion_elite,ship,,,material,graphics/imperium/material/ships/decurion/ii_decurion_elite_material.png
ii_dictator,ship,,,material,graphics/imperium/material/ships/dictator/ii_dictator_material.png
ii_dictator_armor,ship,,,material,graphics/imperium/material/ships/dictator/ii_dictator_armor_material.png
ii_dictator_targeting,ship,,,material,graphics/imperium/material/ships/dictator/ii_dictator_targeting_material.png
ii_dictator_elite,ship,,,material,graphics/imperium/material/ships/dictator/ii_dictator_elite_material.png
ii_dominus,ship,,,material,graphics/imperium/material/ships/dominus/ii_dominus_material.png
ii_dominus_armor,ship,,,material,graphics/imperium/material/ships/dominus/ii_dominus_armor_material.png
ii_dominus_targeting,ship,,,material,graphics/imperium/material/ships/dominus/ii_dominus_targeting_material.png
ii_dominus_elite,ship,,,material,graphics/imperium/material/ships/dominus/ii_dominus_elite_material.png
ii_draconarius,ship,,,material,graphics/imperium/material/ships/fighter/ii_draconarius_material.png
ii_flamen,ship,,,material,graphics/imperium/material/ships/fighter/ii_flamen_material.png
ii_inferna,ship,,,material,graphics/imperium/material/ships/fighter/ii_inferna_material.png
ii_interrex,ship,,,material,graphics/imperium/material/ships/interrex/ii_interrex_material.png
ii_interrex_armor,ship,,,material,graphics/imperium/material/ships/interrex/ii_interrex_armor_material.png
ii_interrex_targeting,ship,,,material,graphics/imperium/material/ships/interrex/ii_interrex_targeting_material.png
ii_interrex_elite,ship,,,material,graphics/imperium/material/ships/interrex/ii_interrex_elite_material.png
ii_triarius,ship,,,material,graphics/imperium/material/ships/triarius/ii_triarius_material.png
ii_triarius_armor,ship,,,material,graphics/imperium/material/ships/triarius/ii_triarius_armor_material.png
ii_triarius_targeting,ship,,,material,graphics/imperium/material/ships/triarius/ii_triarius_targeting_material.png
ii_triarius_elite,ship,,,material,graphics/imperium/material/ships/triarius/ii_triarius_elite_material.png
ii_ixon,ship,,,material,graphics/imperium/material/ships/ixon/ii_ixon_material.png
ii_ixon_armor,ship,,,material,graphics/imperium/material/ships/ixon/ii_ixon_armor_material.png
ii_ixon_targeting,ship,,,material,graphics/imperium/material/ships/ixon/ii_ixon_targeting_material.png
ii_ixon_elite,ship,,,material,graphics/imperium/material/ships/ixon/ii_ixon_elite_material.png
ii_legionary,ship,,,material,graphics/imperium/material/ships/legionary/ii_legionary_material.png
ii_legionary_armor,ship,,,material,graphics/imperium/material/ships/legionary/ii_legionary_armor_material.png
ii_legionary_targeting,ship,,,material,graphics/imperium/material/ships/legionary/ii_legionary_targeting_material.png
ii_legionary_elite,ship,,,material,graphics/imperium/material/ships/legionary/ii_legionary_elite_material.png
ii_libritor,ship,,,material,graphics/imperium/material/ships/libritor/ii_libritor_material.png
ii_libritor_armor,ship,,,material,graphics/imperium/material/ships/libritor/ii_libritor_armor_material.png
ii_libritor_targeting,ship,,,material,graphics/imperium/material/ships/libritor/ii_libritor_targeting_material.png
ii_libritor_elite,ship,,,material,graphics/imperium/material/ships/libritor/ii_libritor_elite_material.png
ii_lynx,ship,,,material,graphics/imperium/material/ships/lynx/ii_lynx_material.png
ii_lynx_armor,ship,,,material,graphics/imperium/material/ships/lynx/ii_lynx_armor_material.png
ii_lynx_targeting,ship,,,material,graphics/imperium/material/ships/lynx/ii_lynx_targeting_material.png
ii_lynx_elite,ship,,,material,graphics/imperium/material/ships/lynx/ii_lynx_elite_material.png
ii_matriarch,ship,,,material,graphics/imperium/material/ships/matriarch/ii_matriarch_material.png
ii_matriarch_armor,ship,,,material,graphics/imperium/material/ships/matriarch/ii_matriarch_armor_material.png
ii_matriarch_targeting,ship,,,material,graphics/imperium/material/ships/matriarch/ii_matriarch_targeting_material.png
ii_matriarch_elite,ship,,,material,graphics/imperium/material/ships/matriarch/ii_matriarch_elite_material.png
ii_maximus,ship,,,material,graphics/imperium/material/ships/maximus/ii_maximus_material.png
ii_maximus_armor,ship,,,material,graphics/imperium/material/ships/maximus/ii_maximus_armor_material.png
ii_maximus_targeting,ship,,,material,graphics/imperium/material/ships/maximus/ii_maximus_targeting_material.png
ii_maximus_elite,ship,,,material,graphics/imperium/material/ships/maximus/ii_maximus_elite_material.png
ii_module_armor_left,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_left_material.png
ii_module_armor_leftbig_heavy,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_leftbig_material.png
ii_module_armor_leftsmall,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_leftsmall_material.png
ii_module_armor_right,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_right_material.png
ii_module_armor_rightbig_heavy,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_rightbig_material.png
ii_module_armor_rightsmall,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_rightsmall_material.png
ii_module_armor_straight,ship,,,material,graphics/imperium/material/ships/station/ii_module_armor_straight_material.png
ii_module_bastion,ship,,,material,graphics/imperium/material/ships/station/ii_module_bastion_material.png
ii_module_citadel,ship,,,material,graphics/imperium/material/ships/station/ii_module_citadel_material.png
ii_module_combat,ship,,,material,graphics/imperium/material/ships/station/ii_module_combat_material.png
ii_module_drone,ship,,,material,graphics/imperium/blank.png
