id,type,text1,text2,text3,text4,notes
ii_sledgegun,WEAPON,"Trading overall firepower for extreme range, this weapon is most effective when used in conjunction with larger fleet tactics. Ineffective against shields.

The Sledge Gun's creation was a miraculous feat of engineering, an effort that took nearly twenty cycles of concerted effort. In principle, it fires a molten projectile with volatile explosive properties at a high velocity with top-class accuracy, but the sheer tolerances involved in creating such a precise weapon were a showstopper. At last, after many failed attempts, it was discovered that just enough performance could be squeezed out of the domain autoforge system to make the Sledge Gun viable. Even after a successful production run, however, it quickly became apparent that mounting the weapon in any practical sense requires a significant investment of resources in stabilizers, targeting computers, and related equipment.

Despite these shortcomings, the Sledge Gun is still considered a top-class artillery weapon, valued for its ability to strike a target far beyond the range of anything else in its size class.",,,,
ii_sledgecannon,WEAPON,"The larger counterpart of the Sledge Gun, enjoying increased firepower and range. Most effective when used in conjunction with larger fleet tactics. Ineffective against shields.

The Sledge Cannon is an ambitious continuation of the Sledge Gun's design, taking the same design principles but scaling the weapon up to a new size class. The weapon's resulting effective range isn't just the best in its class, but possibly the best of any weapon in common use; in any engagement, a captain can rest assured that the Sledge Cannon will fire first.",,,,
ii_smallballista,WEAPON,"Fires an artillery missile with a two-stage propulsion system and a volatile warhead. Dangerous and hard to dodge when combined with conventional weapons. An integrated autoforge replenishes munitions over time.

Developed by the Interstellar Imperium as an alternative to the Pilum to fit a more aggressive, opportunistic style of combat, the Ballista LRM is designed to pelt the target with wide waves of fast rocket-like projectiles. Capable of occasionally slipping past shields and point defenses, especially if the target is under heavy pressure. The relatively fast and short-lived Ballista might have a long effective range, but it doesn't get a chance to try to hit the target again if it misses.",,,,
ii_ballista,WEAPON,"Fires bursts of four artillery missiles with a two-stage propulsion system and a volatile warhead. Dangerous and hard to dodge when combined with conventional weapons. An integrated autoforge replenishes munitions over time.

Developed by the Interstellar Imperium as an alternative to the Pilum to fit a more aggressive, opportunistic style of combat, the Ballista LRM is designed to pelt the target with wide waves of fast rocket-like projectiles. Capable of occasionally slipping past shields and point defenses, especially if the target is under heavy pressure. The relatively fast and short-lived Ballista might have a long effective range, but it doesn't get a chance to try to hit the target again if it misses.",,,,
ii_heavyballista,WEAPON,"Fires a near-continuous barrage of artillery missiles with a two-stage propulsion system and a volatile warhead. Dangerous and hard to dodge when combined with conventional weapons. An integrated autoforge replenishes munitions over time.

Developed by the Interstellar Imperium as an alternative to the Pilum to fit a more aggressive, opportunistic style of combat, the Ballista LRM is designed to pelt the target with wide waves of fast rocket-like projectiles. Capable of occasionally slipping past shields and point defenses, especially if the target is under heavy pressure. The relatively fast and short-lived Ballista might have a long effective range, but it doesn't get a chance to try to hit the target again if it misses.",,,,
ii_pulsar,WEAPON,"An unconventional assault weapon that fires bursts of volatile plasma. Flux-efficient and ruinous against exposed armor, but lacks range. Needs to recharge after a prolonged burst.

Crude but effective, pulsars are an ingenious design uniquely suited for Imperium warships. The pulsar's exceptional damage output would normally be offset by poor accuracy; the weapon is almost uncontrollable, even in the hands of a skilled gunner. Advanced Imperial fire control systems, however, are able to make the inhuman calculations necessary to establish firing solutions quickly enough to account for rapidly-changing variables. As a result, an otherwise niche weapon can be utilized to terrifying effect in the correct circumstances.

Pulsar weapons require additional space for thermal shielding and an armored magazine, making them relatively difficult to install on a warship given how simple the design is in practice. Despite this, they remain a popular choice of secondary - or even primary - weapon on specialist Imperium warships, and are always an useful deterrent against fighters and other foes that stray too close.",,,,
ii_pulsarrepeater,WEAPON,"An unconventional heavy assault weapon that fires a deadly stream of volatile plasma. Flux-efficient and ruinous against exposed armor, but lacks range. Nominally supports point defense duties.

The Pulsar Repeater represents only a slight variation upon the smaller Pulsar design, using a large internal magazine and multiple firing chambers in order to preserve peak output for much longer. It may not be a flashy weapon, but it is certainly an effective one, given the right circumstances.

Pulsar weapons require additional space for thermal shielding and an armored magazine, making them relatively difficult to install on a warship given how simple the design is in practice. Despite this, they remain a popular choice of secondary - or even primary - weapon on specialist Imperium warships, and are always an useful deterrent against fighters and other foes that stray too close.",,,,
ii_heavypulsar,WEAPON,"An unconventional tactical assault weapon that fires bursts of volatile plasma. Fairly flux-efficient and ruinous against exposed armor. Needs to recharge after a prolonged burst.

The Heavy Pulsar is a more advanced variation of the standard Pulsar, and the technology to miniaturize it to a small slot size does not yet exist. Compared to the standard variety, this weapon is more powerful and less unpredictable, making it useful at longer ranges. Still, it's not exactly an artillery weapon, and the Pulsar's notoriously unsustainable output is only partially mitigated by the increased magazine.

Pulsar weapons require additional space for thermal shielding and an armored magazine, making them relatively difficult to install on a warship given how simple the design is in practice. Despite this, they remain a popular choice of secondary - or even primary - weapon on specialist Imperium warships, and are always an useful deterrent against fighters and other foes that stray too close.",,,,
ii_sagittarius,WEAPON,"A jack-of-all-trades autogun, the Sagittarius is particularly effective against fighters and exposed hull, but also works reasonably well against shields and can even act as a crude PD system in emergencies. Accuracy starts excellent, but quickly drops off.

Developed to compensate for the lack of available slots on some Imperium ships, the Sagittarius Autogun covers as many roles as possible. While it lacks a true niche (beyond fragging a ship whose defenses are already stripped away), this weapon is a rather safe choice due to its wide applicability and reasonable mounting requirements.",,,,
ii_javelinsingle,WEAPON,"The Javelin ASM is a heavy medium range anti-ship missile that trades speed for extreme durability. Slow and inevitable. This mounting contains a single missile.

The Javelin ASM is an offshoot of the Harpoon MRM, developed by Vulcan over a long period of iterative development. In its current form, it doesn't even resemble the original missile, but it paradoxically fulfills a similar role. While the original's fine attitude controls and powerful thrusters made it great at chasing down frigates, much of that speed was wasted against harder targets. The Javelin, on the other hand, boasts a much bigger warhead and enough ablative plating to be considered paranoid, a feature the Harpoon decidedly lacks.",,,,
