bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
jyd_speedball_trucker_hvb,15,spaceCommander,Speedball,Trucker,aggressive,The Truckin Pirates,The Gambler,FEMALE,pirates,graphics/JYD/portraits/speedball_trucker.png,"As you approach the fleet, your com officer informs you of an incoming signal. ""When I was about 5 I think, I desperately wanted to be a pirate and have the hat and everything. I had it all and was moving up in the world! Now look at me being accosted by the likes of you, how far have I fallen?""",FALSE,JYD,100000,5,She's just a little fish. How bad could it be?,JYD_gambler_standard,"lasher_PD,kite_pirates_Raider,shepherd_Frontier",50,1.1,300,1,,,FALSE,FALSE,1,1,1
jyd_operator_hvb,20,spaceCommander,The,Operator,reckless,Operator's Raiders,The Puzzler,MALE,pirates,graphics/JYD/portraits/the_operator.png,"As you approach the fleet, your com officer informs you of an incoming signal. ""Damn you villains, who are you? And who sent you?""",FALSE,JYD,150000,10,Your commissioned contacts have made you aware of the location of the pirate known only as The Operator. He is a former officer of the Brown pirate clan and is now fleeing in the outer systems after their defeat in the Dogstar system. He is flying a customized cruiser and is accompanied by a small fleet of low to mid level pirate ships.,JYD_puzzle_standard,"wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier",100,1.2,350,1,,,FALSE,FALSE,1,1,1
jyd_nameless_hvb,20,spaceCommander,The,Nameless,aggressive,The Nameless Project,The Jealousy,MALE,pirates,graphics/JYD/portraits/the_nameless.png,"As you approach the fleet, your com officer informs you of an incoming signal. ""I am a man of fortune and must seek my fortune. Must I be condemned for making a living? Who are you to question and accuse me?""",FALSE,JYD,200000,10,Agents of the independent powers tracked pirate only known as The Nameless to his hideout. He is a known associate of the Pirate Lord Leroy Brown and a generous bounty has been posted by The Junk Yard Dogs for his elimination.,JYD_jealous_standard,"doom_Support, harbinger_Strike, harbinger_Strike, afflictor_Strike, afflictor_Strike, shade_Assault, shade_Assault",150,1.3,400,1,,,FALSE,FALSE,1,1,1
jyd_rapid_roy_hvb,20,spaceCommander,Rapid,Roy,reckless,Roy's Rapid Ralliers,The Downtown,MALE,pirates,graphics/JYD/portraits/rapid_roy.png,"As you approach the fleet, your com officer informs you of an incoming signal. ""Fate has brought us together. Well, actually, buried treasure and pirates brought us together.""",FALSE,JYD,250000,10,"An open contract is posted for Rapid Roy, formerly an officer of the Brown pirate clan. He is known to fly a custom made Cruiser and such a vessel would certainly be worth the risk to take the contract if could acquire it. The Junk Yard Dogs would be pleased to see his elimination and gladly pay a generous bounty.",JYD_downtown_standard,"eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider",200,1.4,450,1,,,FALSE,FALSE,1,1,1
jyd_jim_walker_hvb,25,spaceCommander,Jim,Walker,aggressive,Walker's Rangers,The Slim,MALE,pirates,graphics/JYD/portraits/jim_walker.png,"As you approach the fleet, your com officer informs you of an incoming signal.. ""If you all turn coat and mind your business, perhaps in time I may make you one of my Lieutenants. If not there is a handy asteroid to bury you on, never to be found. The choice is yours.""",FALSE,JYD,300000,10,"Once an honored Hegemony customs agent, Jim Walker fell in with the Pirate Lord Leroy Brown after being caught taking bribes to overlook his cargo when smuggling into Hegemony space.  He now leads a dangerous band of outlaws and is wanted for his acts of piracy and extortion.",JYD_slim_standard,"eagle_Balanced, eagle_Assault, gryphon_FS, falcon_p_Strike, falcon_p_Strike, falcon_CS, hammerhead_Balanced, hammerhead_Balanced, sunder_CS",250,1.5,500,1,,,FALSE,FALSE,1,1,1
jyd_lady_m_hvb,25,spaceAdmiral,Lady,Mississippi,aggressive,The Mississippi Family,The Just Beware,FEMALE,pirates,graphics/JYD/portraits/l _miss.png,"As you approach the fleet, your com officer informs you of an incoming signal.  ""For my part, I am the innocentest person of them all. Only I have been maligned by unknown persons jealous of my majesty. Come little peon and try to remember how to treat a Lady.""",FALSE,JYD,750000,15,"The Junk Yard Dogs have posted an especially lucrative bounty on the pirate known as Lady Mississippi, formerly a high ranking officer of the Brown Pirates. She is responsible for numerous attacks on independent pickets and cargo fleets. She is known to be flying a highly customized cruiser sized carrier and heading a rather substantial fleet. Kill her at all costs, capture is not an option.",JYD_justbeware_standard,"afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike",300,1.6,550,1,,,FALSE,FALSE,1,1,1
jyd_roller_derby_hvb,25,spaceAdmiral,Queen,Rollerderby,reckless,The Roller Derby Revenge,The Six Foot Four,FEMALE,pirates,graphics/JYD/portraits/queen_roller_derby.png,"As you approach the fleet, your com officer informs you of an incoming signal.  ""How dare you interrupt my day! You think you have the ability to take on ME! If there is a man among you, come and fight like the man you claim to be!""",FALSE,JYD,800000,20,"Reports indicate that the third in command of the Brown pirate clan, Queen Roller Derby has been spotted. The Junk Yard Dogs are eager to see this psychopath eliminated for her many crimes and have posted a generous bounty. She is known to fly a customized heavy cruiser and is accompanied by several former Brown pirates.",JYD_sixfootfour_standard,"afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike",350,1.7,600,1,,,FALSE,FALSE,1,1,1
jyd_treetop_lover_hvb,30,spaceAdmiral,Treetop,Lover,aggressive,Lover's lovlies,The Treetop,MALE,pirates,graphics/JYD/portraits/treetop.png,"As you approach the fleet, your com officer informs you of an incoming signal.  ""Damn my blood, I am sorry but I cannot let you have this glorious ship. Flee now for I scorn to do anyone a mischief when it is not for my advantage.""",FALSE,JYD,900000,25,Alert! The former second in command of the Brown Pirate has been spotted and a bounty has been posted for his immediate elimination. The self styled Treetop Lover flies a custom made battleship that was made from the illicit funds acquired while in the Browns. He is not to be underestimated as his ship is deadly and he is suspected to be forming a new fleet and starting his own clan.,JYD_treetop_standard,"eagle_d_Assault,mora_Support,afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike,cerberus_d_pirates_Shielded",400,1.8,650,1,,,FALSE,FALSE,1,1,1
jyd_leroy_brown_hvb,40,spaceMarshal,Leroy,Brown,aggressive,Treetop Lovers,The Continental,MALE,pirates,graphics/JYD/portraits/leroy_brown.png,"As you approach the fleet, your com officer informs you of an incoming signal.  ""Ah the little faction that could has finally come to play. Look, you have my former system and base of operations, what say we call it even? Revenge may sate your being, but do not misunderstand me, it is an end, not a beginning.""",FALSE,JYD,1000000,35,"The Junk Yard Dogs have posted an open-ended bounty on the Pirate Lord Leroy Brown, renowned for his raiding and hijacking of independent mining convoys. Agents of the Hegemony have finally managed to track him and his Raiders to their out-system lair. JYD currently lacks the strength to handle this fight on their own and offers this generous bounty to independent contractors. He is known to pilot a uniquely modified Battleship and command a small fleet of stolen ships turned into pirate craft.",JYD_continental_lincoln,"wolf_d_pirates_Attack, sunder_d_Assault, mule_d_pirates_Standard,  lasher_Assault, kite_pirates_Raider, hound_d_pirates_Standard, hammerhead_d_CS, enforcer_d_pirates_Strike, cerberus_d_pirates_Shielded, brawler_Assault, colossus3_Pirate, atlas2_Standard",450,1.9,700,1,,,FALSE,FALSE,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random faction ships will be added to fleet until its FP passes this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
