name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Vicious,JYD_vicious,Battleship,JYD Low Tech,burndrive,35,22000,1900,18050,,1000,305,1,25,19,19,9,9,3800,FRONT,,110,0.4,1.1,,,450,650,200,500,18,27,7,445000,3,12,800,0.25,50,50,,,,,,,SHIP_WITH_MODULES,jyd_bp,,0.4,2,4,,
Cute,JYD_cute,Destroyer,JYD Low Tech,maneuveringjets,9,3750,350,3000,,210,110,1,120,110,90,50,60,200,FRONT,,200,0.3,1.1,,,45,50,90,55,1,25,10,29000,8,9,240,0.25,6,6,,,,,,,,jyd_bp,,0.4,2,2,,
Short,JYD_short,Drone Tender,JYD Low Tech,maneuveringjets,4,1300,250,1500,,150,30,3,80,110,70,70,70,220,OMNI,,80,0.5,1.3,,,20,35,175,30,1,40,9,14000,8,10,240,0.25,4,4,,,,,,,CARRIER,jyd_bp,,0.5,2,2,,
Lean,JYD_lean,Light Carrier,JYD Midline,reservewing,10,4800,550,2200,,310,75,2,65,30,20,20,20,400,OMNI,,110,0.4,1.3,,,95,120,90,30,2,15,9,54000,5,10,360,0.25,10,10,,,,,,,CARRIER,jyd_bp,,0.5,2,3,,
Obedient,JYD_obedient,Combat Freighter,JYD Low Tech,burndrive,8,5250,600,2800,,175,70,2,50,35,25,25,15,450,OMNI,,110,0.66,1.3,,,50,80,350,80,3,37,8,38000,5,15,420,0.25,9,9,,,,,,,"CIVILIAN, FREIGHTER",jyd_bp,,0.5,2,3,,
Fluffy,JYD_fluffy,Carrier,JYD Midline,flarelauncher,15,9000,1150,3900,,250,130,4,50,30,10,10,10,2100,OMNI,,110,0.4,1.1,,,250,300,120,55,4,15,8,135000,4,12,420,0.25,20,20,,,,,,,CARRIER,jyd_bp,,0.4,2,3,,
Massive,JYD_massive,Battlecarrier,JYD Low Tech,recalldevice,28,19000,1750,17000,,600,355,6,25,10,10,4,4,3500,FRONT,,170,0.4,1.1,,,750,1500,300,400,15,27,7,490000,3,12,720,0.25,45,45,,,,,,,CARRIER,jyd_bp,,0.4,2,4,,
Exuberant,JYD_exuberant,Tanker,JYD Midline,flarelauncher,7,2250,400,1500,,200,60,1,90,50,30,30,25,500,OMNI,,110,0.5,1.3,,,15,20,15,900,2,300,8,27000,6,10,180,0.25,5,5,,,,,,,"CIVILIAN, TANKER, ALWAYS_PANIC",jyd_bp,,0.7,2,4,,
Muscular,JYD_muscular,Super Tanker,JYD Low Tech,flarelauncher,12,9000,1300,6000,,320,155,2,55,20,10,6,6,4200,OMNI,,170,0.5,1.3,,,60,150,150,3200,6,500,6,90000,2,15,720,0.25,12,12,,,,,,,"CIVILIAN, TANKER, ALWAYS_PANIC",jyd_bp,,0.75,3,5,,
Lively,JYD_lively,Tug,JYD Low Tech,flarelauncher,3,700,250,900,,45,25,1,90,150,120,45,50,200,OMNI,,90,0.4,1.1,,,20,45,10,15,4,5,8,19000,11,5,240,0.25,5,5,,,,,,,CIVILIAN,jyd_bp,,0.25,2,2,,
