id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
JYD_tick_wing,JYD_tick_variant,"fighter3, fighter, low, lowtech_bp, jydwi_bp",2,,11,16,BOX,4000,500,0,2,FIGHTER,Assault Fighter,15,10000,,,,,,,,,,,,,
JYD_mite_wing,JYD_mite_variant,"interceptor1, interceptor, low, lowtech_bp, jydwi_bp",1,,5,5,V,4000,300,0,2,INTERCEPTOR,Fast Interceptor,6,4000,,,,,,,,,,,,,
JYD_flea_wing,JYD_flea_variant,"bomber3, bomber, low, lowtech_bp, jydwi_bp",0,,8,10,V,4000,500,0,1,BOMBER,Heavy Bomber,10,2000,,,,,,,,,,,,,
JYD_botfly_wing,JYD_botfly_variant,"interceptor1, interceptor, low, lowtech_bp, jydwi_bp",3,0.2,4,10,BOX,3000,400,0,2,INTERCEPTOR,Drone,6,2000,,,,,,,,,,,,,
JYD_gnat_wing,JYD_gnat_variant,"auto_fighter, support2, jydwi_bp",0,,0,1,V,0,500,250,3,SUPPORT,Support Drone,4,1000,,,,,,,,,,,,,
JYD_heavydrone_wing,JYD_heavydrone_variant,"auto_fighter, lowtech_bp, jydwi_bp, fighter3",2,,0,20,V,4000,500,0,1,ASSAULT,Heavy Drone,20,19000,,,,,,,,,,,,,
JYD_Termite_wing,JYD_termite_variant,"auto_fighter, lowtech_bp, jydwi_bp, interceptor3",0,,4,0,BOX,3000,500,0,6,INTERCEPTOR,Drone,4,2000,,,,,,,,,,,,,
JYD_Mosquito_wing,JYD_mosquito_variant,"auto_fighter, lowtech_bp, jydwi_bp, fighter3",0,,5,1,BOX,2000,500,0,4,FIGHTER,Drone,6,2000,,,,,,,,,,,,,
JYD_adaw_wing,JYD_adaw_standard,"auto_fighter, lowtech_bp, jydwi_bp, bomber3",0,,15,18,BOX,4000,500,0,4,BOMBER,Drone,10,6000,,,,,,,,,,,,,
JYD_malinois_wing,JYD_malinois_standard,"auto_fighter, support2, jydwi_bp",1,,4,6,V,0,500,250,3,SUPPORT,Support Drone,8,8000,,,,,,,,,,,,,
JYD_midge_wing,JYD_midge_standard,"auto_fighter, jydwi_bp, fighter3",1,,5,5,V,4000,500,0,2,ASSAULT,Blast Drone,8,2000,,,,,,,,,,,,,
JYD_manticore_wing,JYD_manticore_standard,"auto_fighter, bomber, jydwi_bp, bomber5",0,,0,14,BOX,0,500,250,2,BOMBER,Missile Pod,5,2000,,,,,,,,,,,,,
JYD_tsetse_wing,JYD_tsetse_standard,"auto_fighter, jydwi_bp, fighter3",1,,2,2,V,2000,500,0,1,FIGHTER,Heavy Mining Drone,4,4000,,,,,,,,,,,,,
