id,type,text1,text2,text3,notes
JYD_vicious,SHIP,The Vicious was designed by JYD at the outset of their taking over Dogstar from the pirates. Initially the forefront of decisive fleet battles it became hard to justify the vast resources spent on building them. Even in spite of their huge firepower and protection there are few left as JYD went with a more carrier centric approach to their fleets.,Battleship,,
JYD_cute,SHIP,"JYD designed the Cute to act as an escort to their mining fleets. With multiple point defense cannons, three hard points, a small missile array and mounting a borer drone it is capable as a skirmisher as well as able to assist in their mining efforts. ",Heavy Destroyer,,
JYD_short,SHIP,The Short was designed by JYD as a lightly armed utility drone carrier. With a salvage suite and three drone bays all preinstalled it serve as a salvager as well as a miner.,Drone Tender,,
JYD_lean,SHIP,The Lean is a nimble carrier providing light fighter support. Its particular set of armament means the class is at its best when operating in groups. ,Light Carrier,,
JYD_obedient,SHIP," The Obedient is a combat freighter with increased firepower, tough armor and shielded cargo holds while also providing PD support with it's built in mining drone.",Combat Freighter,,
JYD_fluffy,SHIP,"The Fluffy is a cruiser sized carrier, designed by JYD to bring swarms of fighters into battle while delivering some respectable damage and good PD coverage.",Carrier,,
JYD_massive,SHIP,"The Massive is a departure from JYD’s designs as it has no mining or salvage features. A 6 bay Heavy Carrier with several gun emplacements, it is intended to accompany fleets into the most dangerous systems.",Battlecarrier,,
JYD_exuberant,SHIP,The Exuberant is destroyer sized tanker designed for the transport of fuel while providing light mining support. They are a must have for long range exploration and mining missions.,Tanker,,
JYD_muscular,SHIP,JYD designed the Muscular to rival the Prometheus by adding termite drones and increased cargo for a slight reduction in fuel capacity  to better support their deep space exploration and speculation fleets. ,Super Tanker,,
JYD_lively,SHIP,The Lively is an unarmed civilian ship that provides a fleet with extra burn at the cost of high maintenance. The borer drones make it ideal for long range mining expeditions. ,Tug,,
JYD_trusty,SHIP,"Equipped with reinforced hulls, JYD designed the Trusty to better handle the stresses of defending their mining fleets whether in battle or while planetary mining.",Cruiser,,
JYD_empathetic,SHIP,The Empathetic is used for exploration and ferrying goods across the sector. It is mainstay in JYD's fleets mining asteroids in an economical manner.,Heavy Freighter,,
JYD_happy,SHIP,"Fast, adaptable, powerful, and equipped for large fleet skirmishing, anyone should see the Happy as a viable threat to watch out for.",Destroyer,,
JYD_spirited,SHIP,"The Spirited exchanges firepower for a hanger able to carry three mining drones, a salvage suite and a survey package making a balance between an exploration vessel and a warship.",Drone Tender,,
JYD_intense,SHIP,JYD designed the Intense with an integrated mining drone to act as point defense as well as to assist their mining fleets while they toil away in the dangers of the storm.,Heavy Cruiser,,
JYD_courageous,SHIP,The Courageous is able bring large swarms of fighters and drones into battle while having the mounts to provide wide PD support and deliver some capital ship grade damage to enemies.,Heavy Carrier,,
JYD_loyal,SHIP,"The Loyal was designed by JYD as a proof of concept in minimal crew automated mining currently under review by the Hegemony. Equipped with one Heavy drone, three Botfly drones, 10 weapon mounts  as well as a salvage gantry and survey suite but only needing a small crew to operate. ",Drone Tender,,
JYD_irksome,SHIP,Made from the hollowed out shell of an asteroid the Irksome serves as a specialized mining cargo ship. Comes with a salvage suite and Borer drones but lacking shields. It relies on a reinforced hull and heavy armor to handle the dangers of deep-space mining.,Utility Freighter,,
JYD_intelligent,SHIP,Designed by JYD as a medium hauler mounted with a sensor array and mining drones. The Intelligent is a great choice for planetary surveys and mineral extraction.,Freighter,,
JYD_smart,SHIP,"JYD designed the Smart to act as an independent platform by adding well placed weapon mounts, borer drones, a survey system and a salvage suite. With good cargo and fuel capacity  to better exploit deep space exploration and speculation. ",Heavy Platform Hauler,,
JYD_troublesome,SHIP,"In order for their mining fleets to take advantage of pirate infested sectors, JYD commissioned the Troublesome to provide transport and deployment of marines. It is equipped with Termite drones to cut into bulkheads to help their troops clear out any stationary threats.",Troop Transport,,
JYD_relaxed,SHIP,JYD designed the Relaxed to withstand the rigors of asteroid mining. By exchanging the Dram’s missile mount for a drone bay and reinforcing the hull by moving to an external tank it is a more durable and utility replacement.,Tanker,,
JYD_splendid,SHIP,"By stripping out most of the Mudskipper’s base armor, JYD designed the Splendid to better fit their mining fleets with an added borer drone and an Omni shield.",Personal Transport,,
JYD_adorable,SHIP,The Adorable was designed by JYD with an internal drone bay to assist with mining when active as an escort for the fleets. They are mainly used as scouts due to their speed and their ability to perform short ballistic bursts make them good skirmishers.,Heavy Frigate,,
JYD_knowledgeable,SHIP, The Knowledgeable is able to haul massive freight and fuel to support JYD's mining fleets on extended tours in deep space by also adding in mining drone support to collect ore directly.,Superfreighter,,
