id,type,text1,text2,text3,notes
kayse_wight,SHIP,"Modified from the Harbinger design, this phase ship trades its predecessor's firepower and armor for an enlarged an shielded cargo hold. The result is a fragile ship that can stealthily dart through gaps in a blockade with critical goods. 

""We'd been 'sieging that mining outpost for two cycles, yet when I connected to the stationmaster to discuss surrender terms, he was eating, I swear to Ludd, fresh fruit. We'd been eating nutrient paste and thrice recycled water and that 'roid with barely enough water to support thirty managed to keep five hundred souls alive and grow fruit? I don't believe it!"" 
- Memoirs of a Pirate Captain",,,
kayse_pyre,SHIP,"Redesigned from the Phaeton, this phase tanker will sustain a small phase taskforce's need for fuel. It also contains state-of-the-art landing guidance software that can accurately predict where the ship (or any jetsam) would ballistically land, accurate to within 300 meters in 95% tests. Allegedly, this would enable the Pyre to support raids with tactical bombing but Tri-Tachyon insists that system is merely a fail-safe for high-gravity worlds which might have unauthorized uses by unscrupulous pilots.

""First there was darkness. Then a glow appeared in the sky, streaming toward the base, followed seconds later by the crackle of antimatter containment rupturing. Crinkle, crackle, pop, hiss. Once the sounds stopped, we went over to assist in the rescue, thankful that our farms hadn't also been targeted.""
- The Fall of Bunker 58",,,
kayse_poltergeist,SHIP,"Designed around a miniaturized phase coil, this fighter can screen phase ships or attack weak targets with its burst PD Lasers. This fighter lacks the thick shielding that normally protects crew from the phase coil wash on larger ships. It is highly recommended that pilots undergo psychiatric reevaluation after each sortie.",,,
kayse_haunt,SHIP,"An adaptation of a Drover, this phase carrier can field a single wing of specially designed phase fighters, Poltergeists, which can synchronize their phase coils to the carrier's for the safety of all parties involved. The Haunt loses half of the Drover's hangar space and half of the missile hardpoints of its base hull in order to bring some screening to phase operations. Initial tests of attempting to launch non-phase fighters from a phase capable carrier resulted in mishap, after a mistimed phase resulted in [REDACTED].",,,
kayse_grim,SHIP,"Nearly everything that wasn't bolted down was stripped from a Wolf in order to make a quick phase ship for interdicting soft targets behind the enemy line. The Grim can also excel at interception and harassing roles, but cannot survive sustained warship attention. In order to save weight, the Wolf's front hardpoint has been replaced with an ion pulsor suitable to its designed role but strategically inflexible.

""The crews of Shades and Grims often form a unique rivalry. A popular game of Case the Cask often occurs where both ships' crews will attempt to steal the most expensive beverage from the other ship. Alternatively, if one ship can kill an enemy off of the tail off of the other, by tradition, the rescued captain will willingly give the other crew the expensive beverage.""
- PHASEOPS, The Invisible Navy",,,
kayse_grime,SHIP,"Nearly everything that wasn't bolted down was stripped from a Wolf in order to make a quick phase ship for interdicting soft targets behind the enemy line. The Grim can also excel at interception and harassing roles, but cannot survive sustained warship attention. This Grim keeps the Wolf's front hardpoint and is joking called a Grime due to being out of regulations.

""The crews of Shades and Grims often form a unique rivalry. A popular game of Case the Cask often occurs where both ships' crews will attempt to steal the most expensive booze from the other ship. Alternatively, if one ship can kill an enemy off of the tail off of the other, by tradition, the rescued captain will willingly give the other crew the booze.""
- PHASEOPS, The Invisible Navy",,,
kayse_ghoul,SHIP,"The result of captured or salvaged Gremlins upgraded with a Mark III Phase Cloak actuator and more modern modules, the Ghoulie serves as an OPFOR phase ship in garrison exercises. While deployed, Ghoulies provide supporting fire in combat, and are tasked with salvaging after combat, aided by a collapsible gantry crane filling some of the space that the Gremlin's larger phase cloak used to take up.",,,
kayse_dullahan,SHIP,"Modified from the Shrike design, this ship is designed as a flagship for PHASEOP flotillas of Destroyers and Frigates. It has the speed (and armament) of a frigate but the larger destroyer hull allows for powerful sensors and the processing power to effectively direct the flotilla on the battlefield.

In garrison, the Dullahan's computational power and extra space allows it to function as a phase-capable laboratory, testing how biological and material samples behave in p-space. Experiments now require approval of BOTH the ship captain and Science Director after past 'incidents'.

""It's not enough to be unseen and unexpected. Victory depends on also observing and expecting the enemy.""
- PHASEOPS, The Invisible Navy",,,
kayse_banshee,SHIP,"PHASEOPS doctrine authors respect Dooms, fear them even, but however hard the Doom can impact the battle, it is still one ship. Seeing the need for a light cruiser with enough presence to contest space and bully smaller or equal sized warships, techs came up with the idea of extreme retrofits to the humble Falcons. Fitted with tandem phase cloak actuators, enhanced energy circuits, and advanced targeting, the Bansidhe can fill the light cruiser role in PHASEOPS flotillas. Captains of Bansidhes should remember that while they can briefly hit as hard as a heavy cruiser, each second of return fire must be paid for; firstly in ablative armor, then finally in blood.

""I knew our ship could handle any two cruisers in a battle of our choosing. Ahead, there were five cruisers and they were setting the engagement terms. We went dark. We retreated. We survived.""
- PHASEOPS, The Invisible Navy",,,
kayse_harbinger_NSO_old,SHIP,"This ship has been modified for PHASEOPS, modifying the Quantum Disruptor to focus all of its energy into the target's phase coils, disrupting them for a critical few seconds. This puts the modified ship squarely in the Anti-Phase-Ship, Hunter-Killer role.

A deadly phase destroyer feared and scorned by those crews who have suffered the misfortune of facing it in battle. The Harbinger possesses a device which allows it to briefly disable enemy ships, creating openings that it - or its allies - can exploit.

""The Tri-Tachyon Corporation denies allegations of ongoing involvement in phasing experiments, much less the - and I quote - 'clandestine development and operation of phase warships' which would of course be in direct violation of the Treaty of Thule. It is Company policy to pursue full persecution of individuals, mercantile bodies, spiritual clades, and any registered polities committing gross and flagrant defamation to the full extent of local jurisdictional power as per the Sector Commercial Accords of Cycle 32 AC. Our legal team will be in touch.""",,,
