name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Beetle,keruvim_beetle,,Anvil Industries,,,350,175,350,,90,0,,180,180,150,100,200,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,110
M21 Blaster Drone,keruvim_m21drone,,Keruvim Exports,,,200,70,500,,150,,,200,250,250,180,360,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider,keruvim_spider,,Keruvim Shipyards,,,300,70,600,,70,0,,310,300,250,200,180,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,103
Silkworm,keruvim_silkworm,,Keruvim Shipyards,,,380,55,500,,100,0,,220,225,200,60,120,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,113
Flea,keruvim_flea,,Keruvim Shipyards,,,250,40,200,,100,,,150,200,200,180,360,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,1.5
Cicada,keruvim_cicada,,Keruvim Exports,,,750,150,200,,25,0,,140,150,150,30,90,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,117
Antlion,keruvim_antlion,,Keruvim Shipyards,,,500,100,200,,100,0,,140,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,108
Cricket,keruvim_cricket,,Keruvim Shipyards,,,500,60,200,,50,0,,340,400,300,200,300,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotel,keruvim_shotel,Frigate,Keruvim Shipyards,flarelauncher,5,2000,450,2800,1750,240,45,,135,110,90,45,60,200,OMNI,,70,0.5,0.7,,,30,55,45,25,1,25,10,11000,8,10,240,0.25,5,5,,keruvim_bp,,0.3,2,2,204
Flamberge,keruvim_flamberge,Assault Frigate,Keruvim Shipyards,maneuveringjets,4,1200,150,1600,1000,110,45,,120,70,60,50,40,120,FRONT,,120,0.5,0.9,,,15,30,10,10,0.5,15,10,20000,5,15,250,0.25,4,4,,keruvim_bp,,0.8,2,2,109
Axe,keruvim_axe_a,Ultra-Light Carrier,Keruvim Shipyards,flarelauncher,5,1300,360,1500,2500,150,25,1,90,150,100,75,100,250,FRONT,,150,0.5,0.8,,,15,35,10,15,1,15,10,15000,8,10,300,0.25,5,5,CARRIER,keruvim_bp,,0.4,2,2,207
Axe Mk.II,keruvim_axe_b,Light Gunship,Keruvim Shipyards,flarelauncher,4,1300,360,2500,2500,200,40,,120,180,120,80,120,250,FRONT,,150,0.5,0.8,,,20,35,25,20,1,20,10,10000,8,10,300,0.25,4,4,,keruvim_bp,,0.4,2,2,207
