id,type,text1,text2,text3,notes,Column 07,Column 08,Column 09,Column 10,,,,
keruvim_cicada,SHIP,"The Cicada bomber wing is a dated design that has been fully replaced by the Silkworm, and is now manufactured for direct marketing to the Independents as part of Keruvim's ""Civilian Export Trade Contract"". Equipped with 2 Hammer torpedoes and a Light Dual Machine Gun, it may look like junk, but if one isn't careful it'll devastate a ship of any size.",,,,,,,,,,,
keruvim_cricket,SHIP,"The Cricket, also known as the MK1 Combat Shuttle, was originally used for transferring crew and cargo between ships, stations and planets. After one was struck by a large asteroid and remained in one piece, Keruvim engineers appreciated it's durability enough to modify the cargo space to fit 2 Gust Cannons and upgraded the engines for combat scenarios.",,,,,,,,,,,
keruvim_antlion,SHIP,"Needing a heavy support craft to escort their slower ships, Keruvim engineers put together the Antlion assault fighter. Armed with 2 Needle Beams and an Ion Cannon, Antlions are very effective at dealing with other fighters and harassing larger targets, but they lack the raw firepower to do any significant damage.",,,,,,,,,,,
keruvim_flea,SHIP,"Based on the Borer, Fleas are as light and cheap as they come, and as a consequence are locked to their host ship. Nonetheless, Fleas are good point defense drones and missile deterrents, and are widely used by Keruvim.",,,,,,,,,,,
keruvim_beetle,SHIP,The Beetle defense drone was made specifically for manufacture in the reused Mothership forge bays left behind in the Lucerne's construction.,,,,,,,,,,,
keruvim_silkworm,SHIP,"A fairly modern addition to Keruvim's forces that was developed after one too many Cicadas got quickly intercepted by frigates, the Silkworm is a much faster light bomber wing, designed for support during hit-and-run missions. It is equipped with 2 Starburst MRMs.",,,,,,,,,,,
keruvim_spider,SHIP,"Bringing 4 weapons to bear, the aptly named Spider is Keruvim's most advanced fighter craft. Built specially for fighter superiority, it can quickly deal with anything but the most overwhelming odds, and is particularly popular among captains for how effectively it can overwhelm Pirate vessels.",,,,,,,,,,,
keruvim_talon,SHIP,"Fast and cheap, the Talon sports surprising firepower and is capable of dispatching enemy fighters. It can also deal appreciable damage to larger ships when used en masse, though such use usually results in heavy pilot losses.",,,,,,,,,,,
keruvim_piranha,SHIP,"The Piranha deploys unpowered conventional bombs en masse, relying on momentum to deliver the payloads. The maximum damage potential is extreme, but most targets can either avoid or shoot down many of the bombs.",,,,,,,,,,,
broadsword,SHIP,"Tough and agile, the Broadsword carries a decoy flare launcher that draws defensive fire away from high-value targets like bombers and their payloads. However, it can falter if faced with the need to deal the killing blow itself.",,,,,,,,,,,
,,,,,,,,,,,,,
keruvim_bouncer,SHIP,"Made up of Dominator parts with some creative freedom mixed into the formula, the Bouncer is an ugly ship. As unsightly as it is, it can be quite effective, due to a strong superstructure and impressive weapon package.",,,,,,,,,,,
keruvim_flamberge,SHIP,"Built for speed and lacking in just about every other field, the Flamberge's fixed weapons facing in only one direction, along with its lack of armor restricts it to primarily frontal engagements, and it is easily taken down by most fighters.",,,,,,,,,,,
keruvim_cerberus,SHIP,A heavy modification to the base Cerberus which adds heavier armor while removing much of its cargo space for a small flight deck to supplement its firepower. One of few Pirate Inc. modifications that made sense.,,,,,,,,,,,
keruvim_lasher,SHIP,"The expert engineers at Pirate Inc. had to reason to ""fix"" the already powerful Lasher, With no direct changes to its weapon loadout and only minor armor and engine tweaks one has to wonder if it was even worth the effort and credits to modify so many Lashers.",,,,,,,,,,,
keruvim_cutlass,SHIP,"The Cutlass at a glance is simply two Omens welded together, Though while that is true what lays beneath is a purpose built assault frigate able to quickly and brutally take down its targets and move on to the next without breaking a sweat. While its shield is far less effective then the original Omen, the Cutlass makes up for it with its improved hull, armor and an additional turret. The most advanced ship modified by Pirate Inc. and beloved by any Pirate who gets to captain such a vessel (What few don't explode at launch)",,,,,,,,,,,
keruvim_axe_a,SHIP,"The original variant of the Axe is configured for ultra light carrier duty, allowing smaller fleets to support fighters without proper carriers slowing them down, though it is highly vulnerable to other fighters and light frigates, so it is recommended to keep them close to other combat ships for safety.

The Axe is the 2nd ship class to enter Keruvim's new generation of modular ship designs, being light and nimble allows these vessels to be perfect for scouting and harassment duties regardless of configuration. But, the Axe is somewhat lacking when brought into heavy fighting without proper support",,,,,,,,,,,
keruvim_axe_lgbt,SHIP,"The original variant of the Axe is configured for ultra light carrier duty, allowing smaller fleets to support fighters without proper carriers slowing them down, though it is highly vulnerable to other fighters and light frigates, so it is recommended to keep them close to other combat ships for safety.

The Axe is the 2nd ship class to enter Keruvim's new generation of modular ship designs, being light and nimble allows these vessels to be perfect for scouting and harassment duties regardless of configuration. But, the Axe is somewhat lacking when brought into heavy fighting without proper support",,,,,,,,,,,
keruvim_axe_b,SHIP,"The MK.II variant of the Axe is configured for light combat/escort duty, its fragile nature means it is ill-suited for direct combat with heavy military frigates without supporting craft, so it is recommended to keep them close to other combat ships for safety.

The Axe is the 2nd ship class to enter Keruvim's new generation of modular ship designs, being light and nimble allows these vessels to be perfect for scouting and harassment duties regardless of configuration. But, the Axe is somewhat lacking when brought into heavy fighting without proper support",,,,,,,,,,,
