name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Tsar Cannon,keruvim_tsar,2,,6500,1200,,950,,300,9,30,,,,HIGH_EXPLOSIVE,1300,,0,3.5,1,,0,5,5,10,,950,,,600,"STRIKE,USE_VS_FRIGATES","he18, rare_bp",,Keruvim Shipyards,,Anti Armor,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blast Gun,keruvim_blast_gun,0,,1200,800,,65,,10,10,12,,,,HIGH_EXPLOSIVE,45,,0,0.20,1,0.2,0,18,3,10,,800,,,30,,"he14, keruvim_bp",,Keruvim Shipyards,,Anti Armor,,,,,,,,,,5
Starburst Pod,keruvim_star_pod,1,,1200,2000,,550,1000,15,10,10,12,,,ENERGY,0,,0,8.25,4,0.25,0,0,0,,,375,100,8,150,CONSERVE_2,"missile8, strike3, keruvim_bp",,Keruvim Shipyards,,Support,Medium,Medium,,,,,,,TRUE,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starburst MRM,keruvim_star,1,,200,2000,,550,1000,15,30,4,3,,,ENERGY,0,,0,1,1,,0,0,0,,,375,100,8,150,CONSERVE_2,"missile8, strike3, keruvim_bp",,Keruvim Shipyards,,Support,Medium,Medium,,,,,,,TRUE,11.5
Needle PD laser,keruvim_needle,1,,550,450,500,,,0,75,5,2,0.25,,FRAGMENTATION,,400,0.1,0.5,0.3,0.1,,,,,10000,,,,,"PD,ANTI_FTR","pd7, beam5, keruvim_bp",,Keruvim Shipyards,,Point Defense,,,,,,,,,,19.5
Gust Micro Cannon,keruvim_gust,0,,450,600,,75,,5,45,6,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,5,2,10,,700,,,30,ANTI_FTR,"he6, keruvim_bp",,Keruvim Shipyards,,Anti Armor,,,,,,,,,,3
Starburst MRM (Single),keruvim_star_single,0,,75,2000,,550,1000,15,30,1,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,375,100,8,150,CONSERVE_2,"missile8, strike3, keruvim_bp",,Keruvim Shipyards,,Support,Medium,Medium,,,,,,,TRUE,9.9
Starburst MRM (Single),keruvim_star_silk,0,,75,1000,,550,1000,15,30,0,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,375,100,8,150,SYSTEM,"missile8, strike3",,Keruvim Shipyards,,Support,Medium,Medium,,,,,,,TRUE,9.9
M21 Light Blaster,keruvim_m21,1,,500,500,,250,,0,30,6,,,,ENERGY,300,,0.25,3,,,0,0,0,0,,1000,,,100,,"energy8, keruvim_export_bp",,Keruvim Exports,,Strike,,,,,,,,,,19.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terror Cannon,keruvim_terror,2,,690420,1400,,2000,,300,9,26,,,,ENERGY,1300,,0,5,1,,0,5,5,10,,950,,,600,"STRIKE,USE_VS_FRIGATES,SYSTEM,SHOW_IN_CODEX",,,Explorarium,,Anti Ship,,,,,,,,,,8
M74 Asteroid Cracker,keruvim_cracker,0,,5500,700,1500,,,0,8,0,,,,FRAGMENTATION,,750,0.5,1,3,5,,,,,5000,,,,,"STRIKE,USE_VS_FRIGATES,FIRE_WHEN_INEFFICIENT,SYSTEM","energy20,beam20, LR,",,Keruvim Exports,,Mining,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
