id,type,text1,text2,text3,text4,notes

nskr_prosperity,SHIP,"Revealing the true scale of the Kesteven military industrial complex. The Prosperity project took a multi billion credit budget and centuries long development cycle, but now that it's here it creates a true fleet in being for the corporation. Best in class forward firepower and speed allow this battleship to annihilate the heavier vessels of an opposing force in mere moments. 

The Prosperity project started long before the collapse as plans to create a replacement battleship for the Onslaught-class, but over the many years of development the project spiraled into delays and budgeting issues eventually being put on hold indefinitely. Post-collapse the corporation was desperate to get their hands on capital class blueprints, so a questionable amount of funds from the DRA were diverted to finish the Prosperity project. Despite nearly crashing the economy, another decade in the making and only partially completing the original plans. The unveiling of the first functional Prosperity-class advanced battleship, was in the end considered a huge propaganda victory for the corporation.",,,,

nskr_nighthawk,SHIP,"Workhorse of Kesteven fleets, the Kesteven Konstruktion defense products line ""Nighthawk"" is a very recent design, making use of the latest advancements in spaceship production. While it failed to gain any significant market share pre-collapse, the rather complex design and expensive maintenance severely limited its popularity. Its blueprints are now put to good use by the Kesteven corporation. It serves a relatively simple role in fleets, acting as line ship with excellent firepower and respectable durability.",,,,

nskr_devilcatcher,SHIP,"Fast paced aggression at a premium, the defense products line ""Devilcatcher"" is a top end fast cruiser with uncompromising design. The unorthodox engine system allows for unmatched speed and agility, at the cost of a rigorous and precise maintenance procedure. Since even a small error could lead to a catastrophic P-space cascade during system activation.",,,,

nskr_mercenary,SHIP,"The ""Mercenary"" class, a slick top of the line vessel for the wealthy independent captains of the sector. Kesteven defense products assures that the ample armor, wide turret arcs and the projectile deterrence field provide best in class performance for escort duties.",,,,

nskr_blackbird,SHIP,"Kesteven Konstruktion defense products line ""Blackbird"", was a barely finished design in its late prototype stage pre-collapse. It was quickly rushed to production and put to good use during the events of the collapse. Now in Kesteven fleets it serves as a highly aggressive attack platform built for swift assassination of critical enemy vessels, a role in which the Blackbird-class excels in.",,,,

nskr_dragontail,SHIP,"The fastest serial production frigate ever built and with incredible agility to match, well at least according to Kesteven marketing material. The Dragontail-class moves with implausible speed and defies time with its pullback system, allowing for daring daring maneuvers against slower enemy vessels.",,,,

