name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negl,mi_negl,,Metelson,,,350,50,500,,65,0,,250,150,100,90,240,20,NONE,,0,0,0,,,1,1,,,,,10,,5,5,,,1,1,,,,,,,,,,,,,104
Grudiver,mi_grudiver,,Metelson,,,250,30,150,,50,0,,275,125,100,90,180,10,FRONT,,120,0,1,,,1,1,,,,,10,,4,2,,,0.5,0.5,,,,,,,,,,,,,100
Obex,mi_obex,,Metelson,flarelauncher_fighter,,500,50,500,,50,0,,140,150,150,30,90,50,FRONT,,90,0,1,,,3,3,,,,,10,,5,10,,,2,2,,,,,,,,,,,,,102
Golgata,mi_golgata,,Metelson,flarelauncher_fighter,,500,100,750,,200,0,,225,125,100,120,100,30,NONE,,0,0,0,,,2,2,,,,,10,,6,8,,,2,2,,,,,,,,,,,,,103
#Drone Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articu,mi_acutordrone,,Metelson,,,45,10,80,,40,,,375,150,100,180,90,40,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Elix,mi_collierdrone,,Metelson,,,250,50,2500,,150,,,250,175,150,45,20,15,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pala,mi_pala,Combat Freighter,Metelson,flarelauncher,3,2000,380,1000,,100,35,,185,100,75,90,120,200,OMNI,,90,0.4,0.7,,,5,20,90,30,1,30,10,7200,5,10,240,0.25,3,3,,,,,,,,metelson_bp,,0.4,2,2,201
Mudder,mi_mudskipper,Civilian Transit,Metelson,maneuveringjets,3,1000,200,750,,100,35,,100,50,30,30,45,240,NONE,,0,0,0,,,6,100,75,50,1,45,9,3000,5,20,180,0.25,2,2,,,,,,,CIVILIAN,metelson_bp,,10,2,3,218
Mite,mi_mite,Corvette,Metelson,maneuveringjets,1,875,200,1500,,175,25,,145,150,75,45,85,125,OMNI,,150,0.5,0.75,,,2,25,35,30,1,30,9,4250,5,20,180,0.25,2,2,,,,,,,CIVILIAN,metelson_bp,,20,2,3,217
R.O.M.A,mi_roma,Shuttle,Metelson,damper,6,1000,350,2550,,375,34,,165,120,100,60,120,200,PHASE,phasecloak,90,,,0.03,0.05,5,20,30,80,1,100,10,18000,10,20,200,0.25,10,8,,,,,,,,metelson_bp,,2.5,2,5,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigil,mi_vigilance,Frigate,Metelson,flarelauncher_active,5,1500,175,2100,1625,160,45,,130,120,100,45,90,100,OMNI,,90,0.4,0.75,,,10,25,40,25,1,25,10,11000,8,10,240,0.25,5,5,,,,,,,,metelson_bp,,0.5,2,2,208
Stinulv,mi_wolf,Frigate,Metelson,maneuveringjets,5,1750,180,2250,1875,150,55,,180,130,100,60,120,200,FRONT,,145,0.4,0.8,,,15,30,50,20,1,20,10,12500,10,20,180,0.25,5,5,,,,,,,,metelson_bp,,0.5,2,2,200
Cavos,mi_cavos,Heavy Gunship,Metelson,rostor,5,1800,300,2500,,135,60,,160,145,100,75,120,300,FRONT,,150,0.4,0.7,,,15,20,40,40,1,42,9,14000,6,8,240,0.25,5,5,,,,,,,,metelson_bp,,15,2,5,207
Farin,mi_farin,Combat Freighter,Metelson,rostor,4,2900,360,1450,,170,45,,125,100,75,80,120,320,FRONT,,200,0.35,0.7,,,15,25,100,30,1,60,9,10000,4,10,180,0.25,2,2,,,,,,,,metelson_bp,,5,2,3,213
Glima,mi_glima,Heavy Frigate,Metelson,maneuveringjets,7,2000,450,3000,3125,250,50,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,40,1,40,9,12500,8,10,240,0.25,5,5,,,,,,,,metelson_bp,,5,2,6,207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerhead,mi_hammerhead,Destroyer,Metelson,ammofeed,10,5000,500,4200,4167,250,95,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,,,,,,,metelson_bp,,0.5,2,3,300
