id,type,text1,text2,text3,notes
mi_acutordrone,SHIP,"The Articu-class Drone, a staple among the arsenal deployed by the Metelson Acutor-class vessels, epitomizes efficiency and ease of deployment in the field. Outfitted with a padent system that enhances its operational capabilities, the Articu-class is engineered for rapid deployment and immediate response to a variety of tactical situations. Despite its advanced technology and utility, the drone’s primary limitation lies in its durability. Crafted with lightweight materials to maximize maneuverability and speed, it is unfortunately prone to rapid destruction under focused enemy fire. This inherent vulnerability necessitates strategic use by its operators, ensuring that its deployment capitalizes on its strengths while mitigating its weaknesses. As a critical component of the Acutor-class's tactical toolkit, the Articu-class Drone offers a blend of technological sophistication and practical application, albeit with a keen awareness of its short operational lifespan in direct confrontations.",,,
mi_collierdrone,SHIP,"The Elix-Class Mining Drone, a versatile unit in the arsenal of the Metelson Rastrum-class vessels, is specifically designed to fulfill dual roles in both mining operations and combat scenarios. Equipped with a PD laser and a Light Maser, this drone excels in its capacity to disrupt, harass, and inflict damage on poorly defended targets.

In the realm of mining, the Light Maser allows the Elix-Class to efficiently cut through asteroid materials, facilitating resource extraction in environments where traditional mining equipment might falter. The addition of the PD laser enhances its utility, enabling the drone to defend itself and its parent vessel from incoming projectiles and smaller threats, ensuring uninterrupted mining operations.

During combat, the agility and armament of the Elix-Class Drone make it a formidable opponent against ill-prepared vessels. Its ability to engage at range with the Light Maser, coupled with the defensive coverage provided by the PD laser, allows it to weaken enemy defenses while evading counterattacks. The strategic deployment of these drones can create significant challenges for adversaries, forcing them to deal with persistent harassment that can erode their combat effectiveness over time.

As a standard component of the Rastrum-class's operational capabilities, the Elix-Class Drone represents a critical fusion of mining efficiency and combat readiness. Its design reflects Metelson Industries' commitment to innovation, offering a multifunctional tool that can adapt to the diverse demands of space exploration, resource extraction, and sector-wide defense.",,,
#DRONES,,,,,
mi_negl,SHIP,"The Negl-class fighter stands as a miner's closest ally, employing a Miller Autocannon, the Negl penetrates into exceptionally dense nickel-iron asteroids that typical mining lasers might struggle against. For defensive purposes, it is also equipped with Swarmer SRMs.

This vessel represents one of the latest mining innovations conceived by the research and development team at Metelson Industries and has exhibited commendable performance since its debut, with minimal alterations to its original blueprint.",,,
mi_grudiver,SHIP,"The Grudiver-class is often humorously labeled as The Miner, the Coal Dog, and the Flying Coffin. This interceptor represents a significant enhancement over the widely used Mining Pod, now accommodating a single pilot.

The genesis of the Grudiver was a strategic initiative to refine and advance the Mining Pod blueprint, transforming it into a vessel more attuned to the needs of sophisticated spacefarers. The focal point of this transformation was to boost its resilience in the face of asteroid impacts and adversarial fire. A novel, exclusive alloy, combined with ultralight nano-ceramics, has been employed to augment its armor, allowing for a reduction in thickness while simultaneously increasing protective capabilities! This advanced armor system is mounted on a Mining Pod chassis that has been meticulously dismantled to its core structure. The outdated armor setup's removal not only led to a sleeker frame but also made room for a compact shield generator, further enhancing the craft's defensive posture.",,,
mi_golgata,SHIP,"The Golgata-class fighter serves as the cavalry, boasting heavy armaments and comparable velocity. Although swift, its agility is lacking; nonetheless, it poses a significant danger to numerous fighters and smaller naval vessels. Equipped with several Combat MGs and a Light Maser, which finds additional utility in mining operations, the Golgata stands as one of the most coveted all-around fighter models within the Sector.",,,
mi_obex,SHIP,The Obex-class bomber arguably is one of the most valuable utility grade strike craft that is commonly available in the Sector. Armed with a Light Maser and Hammer Torpedoes. Those that underestimate it quickly learn that this dual purpose craft is equally adept at both mining applications and strike duties against warships and is especially terrifying when deployed en masse.,,,
#FRIGATES,#FRIGATES,#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES#FRIGATES,,,
mi_vigilance,SHIP,"The Vigil-class frigate is an upgrade upon the Vigilance that packs on additional armor and another turret. Shoring up the deficiencies of the original design thus allowing it more flexibility in combat roles.

While the Vigilance-class is often deployed in fleets to provide long range fire support, it suffers when caught exposed without backup. Metelson Industries seeing the potential of the hull design modified a few Vigilance hulls and produced a variation of the ship to be deployed in small numbers within fleets on a trial basis to determine if it was worthy of additional production runs. The results from live deployments of the first prototypes was a resounding success and so it was cleared for mass production. Keeping most of the original design intact and adding only a little, the Vigil is easy to manufacture and a welcome upgrade over the Vigilance.",,,
mi_mudskipper,SHIP,"The HGA-220 was first produced as the ""Pegasus""-class, AKA ""Mudskipper"". With its common blueprints however often it is modified with disastrous results. However in Metelson's case, using their expertise in starship construction the end result while still not combat-worthy the Metelson ""Mudder"", is worth the price for what it brings to the table. Spacious cargo hold, good fuel capacity, and generous quarters for crew and passengers alike.

Most commonly used as a mining vessel among Metelson Industries fleets, like the Mudskipper it is based on the Mudder is indeed interstellar-capable. Despite having no built-in shield generator and so must rely on its durable - for civilian craft - armor to protect passengers and cargo from the elements of space travel; its maneuvering thrusters to avoid fast-moving obstacles or otherwise. While combat capable, the value of it in high intensity engagements is dubious at best, but is more than able to deal with the standard Salamander Missile or poorly equipped pirate.",,,
mi_farin,SHIP,"The Farin-class frigate is Metelson's answer to the Cerberus and is often considered superior in many respects, depending on who you ask. The Farin boasts engines with better acceleration and a shield generator. Overall this ship is a durable and viable competitor to the Cerberus.

However for all the merits of the design, its cargo capacity and overall mobility remains broadly similar to its competitor, and its power generation is capacity easily overwhelmed during intense battles. In the end if a starfarer is looking for an updated combat freighter that offers more versatility. They would be be hard pressed to find another ship quite as capable or similar to the Cerberus than the Farin.",,,
mi_cavos,SHIP,"While the Pala lacks in combat capabilities the Cavos-class is made for combat, eschewing substantial cargo bays, fuel capacity and crew comforts. Often deployed as the standard gunship in Metelson fleets as an escort, mainline combat frigate, or even to provide fire support during grand fleet engagements.",,,
mi_pala,SHIP,"The Pala-class is the pride of Metelson Industries and is marketed as a viable mining operations combat freighter, or M.o.C Freighter. With its durable armor belt and defensive turrets the Pala is able to handle its own in combat least long enough to power up its travel drive!

Its development began as a series of deep modifications to the Hound blueprint, which after successful trial runs and additional improvements to the design Metelson set out to create a new class of combat freighter for mass production and in the end succeeded. The Pala is a valuable addition to any fleet, offering combat support to larger vessels or used for freight runs and mining duties.",,,
mi_glima,SHIP,"The Glima-class frigate is an unusual design with its asymmetrical layout of turrets and hard points. But, with its unusual design comes a flexible armament loadout and the generator capacity to back it up, this ship is a potent combat frigate that is unwise to ignore.",,,
mi_roma,SHIP,"R.O.M.A Shuttle: Rescue, Operations and Mining Auxiliary is a curiously well defended transport that sacrifices much of its personnel and cargo capacity for the remarkably potent combo of both Damper and Phase fields. Infamous for escaping from situations most non-combat ships could only dream of.",,,
mi_mite,SHIP,"The Mite-class frigate is effectively a refit of the standard Kite shuttle. Commonly acquired by starfarers for its ease of maintenance, and the upgraded modular weapons package that includes conversion of the missile hard points to synergy turrets allowing for use in mining applications with the common Mining Laser.",,,
mi_wolf,SHIP,"The Stinulv-class frigate is the end result of a Metelson Industries project to modify the Wolf blueprint to their own specifications. The Stinulv gives its owners added ballistic fire power the original Wolf is incapable of wielding and a reinforced armor package at the cost of speed.

Replacing many of its core components with lower-tech but more robust and easier to manufacture parts, the Stinulv is not an upgrade upon the Wolf design and is actually inferior in several aspects. Regardless it remains a valuable ship to those that are able to acquire it and is respected for its overall combat profile.",,,
,,,,,
