name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,number,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip
Crackler,crackler,2,,500,550,,50,,20,100,6,,,,HIGH_EXPLOSIVE,8,,0,1,4,0.1,0,15,0.75,0.5,,2000,,,10,"PD,ANTI_FTR",metelson_bp,1,,Metelson,,Anti Fighter,,,,,,,,,
Combat MG,combatmg,0,,575,700,,15,,10,50,6,,,,KINETIC,15,,0.01,1,4,0.1,0,6,0.25,0.1,,900,,,15,,"kinetic7,metelson_bp",2.5,,Metelson,,General,,,,,,,,,
Padent System,light_maser_beam,1,,750,800,180,,30,55,50,6,,,,KINETIC,,75,0,0,0.2,0.1,,,,,1000000,,,,,"PD,ANTI_FTR","pd7, beam7, LR,metelson_bp",2.5,,Metelson,,Point Defense,,,,,,,,,
Miller Autocannon,minerAC,0,,125,600,,50,,5,10,4,,,,KINETIC,50,,0,0.4,1,,0,10,2.75,8,,800,,,20,,"kinetic6,metelson_bp",2,,Metelson,,General,,,,,,,,,
Light Maser,maser,1,,300,700,,55,25,0,55,6,,,,ENERGY,30,,0,1,3,0.15,0,4,1,20,,1400,,,,,"energy5,metelson_bp",2.5,,Metelson,,General,,,,,,,,,
Kasta SRM,kasta,0,0.2,150,2000,,100,60,15,10,4,120,,,KINETIC,0,,0,5,5,0.2,0,0,0,0,,400,100,6,50,"DO_NOT_AIM, HEATSEEKER","utility13, missile0,metelson_bp",11,,Metelson,,Anti Shield,,,,,,,,,
#MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylva Autocannon,sylva,1,,900,700,,75,20,10,30,8,,,,HIGH_EXPLOSIVE,75,,0,0.2,1,,0,15,5,10,,820,,,30,,"he11,metelson_bp",4.125,,Metelson,,Anti Armor,,,,,,,,,
Molaris Blaster,molarisblaster,2,,1350,700,,400,60,30,25,12,,,,ENERGY,500,,0,6,3,0.2,0.2,0.25,0.05,0.25,,1800,,,,,"energy14,metelson_bp",5,,Metelson,,General,,,,,,,,,
Heavy Combat MG,heavy_chaingun,1,,1500,900,,90,,40,30,10,,,,FRAGMENTATION,22,,0,0.05,1,,0,5,0.8,0.2,,1200,,,30,,"he10,metelson_bp",5,,Metelson,,General,,,,,,,,,
Heavy Maser,heavy_maser,1,,1200,700,,200,75,5,20,11,,,,ENERGY,240,,0,2.2,4,0.15,0,3,0.75,0.5,,1400,,,,,"energy14,metelson_bp",2,,Metelson,,General,,,,,,,,,
#LARGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actel Cannon,actel,2,0.5,12000,1200,,750,60,150,20,20,,,,KINETIC,1750,,0,5,1,0,2,8,2.33333,0.6333,,800,,,100,,"kinetic20, LR, metelson_bp",8,,Metelson,,Anti Shield,,,,,,,,,
#DECORATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glima Cover,glima_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,43,,,,,,,,,,,,,
Thrudgelmir Cover,thrudgelmir_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BUILTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilmjnor,guilmjnor,,,,1200,1500,,1000,75,7,,,,,HIGH_EXPLOSIVE,,2000,0.5,1,1,4,,,,,10000,,,,,"SYSTEM,SHOW_IN_CODEX,FIRE_WHEN_INEFFICIENT","beam7, LR",,,Metelson,,General,,,,,,,,,
Actel Battery,actelXL,2,0.5,,1200,,750,60,150,20,,,,,KINETIC,1750,,0,6,3,0.15,2,8,1,0.6333,,800,,,100,"SYSTEM,SHOW_IN_CODEX","kinetic20, LR",8,,Metelson,,Anti Shield,,,,,,,,,
Actel H35 Canopy,actelh35cockpit,,,,1500,,1500,80,200,40,,,,,KINETIC,1500,,0,6,1,0,0.2,12,2.33333,0.9333,,800,,,100,"SYSTEM,SHOW_IN_CODEX","kinetic20, LR",16,,Metelson,,Anti Shield,,,,,,,,,
