name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Staple,missp_staple,Battleship,Midline,maneuveringjets,26,18000,1600,25000,25000,1200,345,,40,20,15,6,4,3000,OMNI,,180,0.5,1.4,,,600,1200,400,400,15,27,8,350000,3,13,720,0.25,40,40,,rare_bp,,0.5,2,4,515
Pelican,missp_albatross,Carrier,Midline,targetingfeed,30,12000,1200,20000,30000,1200,229,6,40,25,15,6,4,3000,OMNI,,180,0.4,1.4,,,800,1400,400,300,15,20,8,350000,3,13,720,0.25,50,50,CARRIER,rare_bp,,0.5,2,4,516
Claymore,missp_midline_patrol_craft,,Midline,flarelauncher_fighter,,1200,250,1200,,100,0,,225,400,350,75,180,100,OMNI,,120,0,1,,,8,8,,,,,,,,,,,,,,,,0,,,558
Chrysaor,missp_chrysaor,Fleet Carrier,Midline,maneuveringjets,28,9000,950,19000,30000,1000,220,5,45,27,17,8,5,2500,OMNI,,180,0.4,1.2,,,800,1400,350,300,14,20,8,350000,3,13,720,0.25,40,40,CARRIER,rare_bp,,0.5,2,4,
Nyx,missp_nyx,Destroyer,Low Tech,flarelauncher,10,5000,700,3000,2500,200,85,,40,40,20,20,15,500,OMNI,,120,0.4,1,,,50,80,50,60,2,30,8,35000,5,12,360,0.25,8,8,CIVILIAN,"base_bp, merc, ind",,0.5,2,3,1320
Buffalo Mk.III,missp_buffalomkiii,Wing Carrier,Low Tech,flarelauncher,7,2500,200,2000,2200,100,44,2,40,35,30,20,15,300,OMNI,,120,0.5,1,,,90,100,40,40,2,20,9,25000,4,20,480,0.25,10,10,"CIVILIAN, CARRIER","base_bp, merc, ind",,0.5,2,3,1321
Hedgehog,missp_nebula_lander,Troop Transport,Midline,flarelauncher,8,4000,450,2500,2500,150,45,,55,35,20,20,12,500,FRONT,,150,0.5,1,,,75,300,90,60,2,30,8,35000,4,20,360,0.25,8,8,"CIVILIAN, TRANSPORT","base_bp, merc, ind",,0.6,2,3,1322
Warliner,missp_starliner_battlecarrier,Light Battlecarrier,Midline,burndrive,14,12000,500,5000,5000,200,100,3,45,20,10,10,10,1800,FRONT,,150,0.5,1,,,250,750,200,120,4,30,7,100000,3,12,480,0.25,20,20,"CIVILIAN, CARRIER","base_bp, merc, ind",,0.6,2,3,1323
Hogtarsus,missp_tarsus_combat,Light Destroyer,Low Tech,burndrive,8,4000,500,2500,2000,150,70,,40,40,20,20,15,400,OMNI,,120,0.4,1,,,45,70,100,60,2,30,8,25000,5,12,360,0.25,7,7,CIVILIAN,"base_bp, merc, ind",,0.5,2,3,1324
Gamblett,missp_venture_gamble,Fast Cruiser,Low Tech,burndrive,14,12500,1000,10000,10000,500,170,,65,50,10,12,15,1800,OMNI,,120,0.4,1,,,200,300,400,200,5,40,7,90000,4,12,540,0.25,22,22,,"base_bp, merc, ind",,0.5,2,3,1325
Slasher,missp_slasher,Frigate,Low Tech,flarelauncher,5,1750,300,2100,1750,140,55,,120,120,90,60,90,200,FRONT,,210,0.4,1,,,25,50,25,25,1,25,10,10000,8,10,240,0.25,4,4,,"lowtech_bp, merc, ind",,0.4,2,2,1326
Colossus (A),missp_colossus_heg,Freighter,Low Tech,flarelauncher,8,6000,200,2750,2000,100,60,,40,20,10,10,10,1500,FRONT,,150,0.5,1,,,40,200,900,120,3,40,7,45000,3,20,480,0.25,6,6,ALWAYS_PANIC,heg_aux_bp,,0.6,2,3,510
Condor (A),missp_condor_heg,Light Carrier,Low Tech,targetingfeed,10,5000,300,2200,1833,110,52,2,40,30,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,40,30,2,15,9,40000,5,10,360,0.25,10,10,CARRIER,heg_aux_bp,,0.5,2,3,511
Mudskipper (A),missp_mudskipper_heg,Wing Carrier,Low Tech,maneuveringjets,4,1000,100,750,938,75,20,1,90,80,50,45,60,200,NONE,,0,0,0,,,30,50,70,20,1,20,9,5000,5,20,180,0.25,2,2,"CARRIER, LINER",heg_aux_bp,,0.5,2,2,512
Mule (A),missp_mule_heg,Combat Freighter,Low Tech,maneuveringjets,10,5500,500,3000,2500,150,85,,60,40,20,20,15,500,OMNI,,120,0.4,1,,,40,100,250,80,2,40,9,40000,5,10,420,0.25,7,7,,heg_aux_bp,,0.5,2,3,513
