id,type,text1,text2,text3,notes
missp_albatross,SHIP,"Designed as a Heavy Carrier, the Pelican-class offers superior performance across the board to many of the warships currently operating in the Persean Sector. Mounting an impressive array of weapons while maintaining a massive fighter capability provides this ship with substantial force projection capabilities in the theater of operations.

The Pelican is the ‘Cruiser School’ response to the criticisms levied against the aging Legion-class Battlecarriers. The sacrifice of heavy weapon mounts does hinder the ability of the carrier to effectively remain on the line of battle, but this is more than made up for the Carrier’s superior battlespeed and cavernous hangar bay. When paired with faster warships to pin hostile vessels in place, the flood of strike craft launched by the Pelican can easily overwhelm even the thickest of point defense screens.

Building upon the lessons learned by the Drover-class light carriers, Orion Shipyards submitted this design as an alternative to the more specialized Astral-class of Tri-Tachyon corporation in the competition to fulfill the ‘New Fleet Prerogatives' posed by the Domain Armada. Ultimately, this design was preferred by the ‘Big Gun’ school of admirals, who were unwilling to accept the loss of direct combat potential represented by the Astral’s design. The introduction of the Pelicans to the Domain’s fleets was in its opening stages when the Collapse shattered the Gate Network, stranding a number of these vessels in Persean Sector. Their service continues in the hands of the Domain’s numerous successor states, where they have met substantial success as both line combatants and as fleet command ships.",,,
missp_staple,SHIP,"Favored for the sheer tactical flexibility offered by its superior weapon arcs, protection, and speed, the Staple was designed to excel in any role it is assigned to. The centerline-mounted heavy weapons arrangement, gives the ship immense flexibility. It is not an uncommon sight to see Staples charging headlong into enemy warfleets alongside the Onslaughts they were meant to replace then float next to Pegasi or Paragons striking and crushing enemys on other occasions.

As strategic doctrines in the Domain Armada shifted from large capital ships toward more versatile cruisers in the years preceding the Collapse, Naval Strategists were confronted with the serious issue of obsolescence in their heavier warships. While the venerable Onslaught-class could still serve as a line-breaker and nigh-invincible juggernaut, the design limitations of its hull had become evident in the face of faster and technologically superior ships. However even the staunchest radicals among the ‘Cruiser School’ Admirals, recognized the need for dedicated capital ships in some of their fleet compositions and thus put out the call for designs to fulfill their demands, codified in the ‘New Fleet Prerogatives’. 

The Staple-class was the outcome of pushback, the ‘Big Gun’ Admirals had against the Conquest-class. Based on a earlier heavier iteration, a revised design was fitted with more PD mounts, with the popularization of modern strike craft was now fully underway. The resultant design, now accepted, was named the Staple-class. The Staple became Orion Shipyards entry for the category of dedicated warship, where it straddled the line between, Alpha Strike capablility, protection and sustained firepower; all while behing swifter. Well-rounded, adaptable, yet still cost-effective, the Staple won the favor of both the ‘Big Gun’ and ‘Cruiser School’ Admirals; behing choosen over Tri Tech and Altair Exotechs entrys. Introduction of the Staple was well underway by the time of the Collapse, and the design remains a somewhat common sight in the Persean Sector’s larger navies where it continues to serve with distinction.",,,
missp_midline_patrol_craft,SHIP,"The final word in fighter design, the Claymore is one of the largest and most powerful Patrol Craft currently in use. Equipped with significant armor and a substantial armament, this fighter is more akin to a carrier-based frigate than to a conventional strike craft. It is capable of directly engaging and overwhelming ships of significantly larger size, or eliminating swarms of fighter craft in a single pass, and has the maneuverability to dodge thick clouds of point-defense fire with ease. Claymores are often deployed alongside large fighter or bomber wings to ensure that a single wave can maximize both space-superiority and anti-ship capability without the need for to deploy larger carriers.",,,
missp_chrysaor,SHIP,"A fleet carrier drawn up from the propulsion systems of a missile battlecruiser that never came to be. The Chrysaor class is designed to give vanguard units, the polish to their edge needed to obliterate any counterpart forces their adversaries can send out. Completely rejected by virtually any ‘big gun’ admirals the ship still found usage in newer battlegroups. 

Distinguished by superior endurance and agility the Chrysaor class is able to offer support to the most swift and aggressively designed and captained Task Forces. Thanks to advanced weapon mounts, even a suprising amount of direct striking capability can be achived by the fleet carrier; at the cost sacrificing some pointdefense capability.

The missile aspect also realised in a similar aspirational design initiative, Altair Exotech calculated good odds to make a return on their investment after the initial failure.",,,
missp_nagato,SHIP,"The near mythical Nagato super-dreadnought, a project conceived in the same era of the Deployment of the Domain's Exploratum Drones, was designed to be a naval anchor for military operations in a sector, and to be a mobile HQ for domain operations in foreign space.

The ships absolutely staggering armament, material and crew requirements made this ship not only expensive, but unfeasible leading into the implementation of lower-level AI subroutines in ship systems (courtesy of heavy Tri-Tachyon lobbying and investment), the Nagato still stands as a relic of the forgotten glory days of the Domain, and should one be resoureful, or just downright crazy enough to get one of these on their hands, they could very well decide the fate of the sector with its bristling armament, near-impenetrable armor plating, its surprisingly numerous fighter bays, and staggering mobility for a ship of its size.",,,
missp_pelagornis,SHIP,"Equipped with Nanoforges of the size and power to rival planet-based manufacturing, the Pelagornis-class Super-Carrier is essentially a fleet unto itself; the sheer number of strike craft it can deploy can easily overwhelm any target in a matter of moments. In addition, the ship is able to mount significant arrays of weapons that place its direct firepower in excess of even the Onslaught-class. A true worldbreaker given form, this ship is the crowning jewel of the Domain’s ambitions.

Among the tales told by the aging members of the spacefaring community, none were as fantastical as those surrounding the legendary Pelagornis. Regarded as little more than myth or the result of armchair-admiral debate, this design was never acknowledged as genuine or feasible by the Domain Armada.

The existence of this ship tells a very different story. While the Nagato was to be the future standard of the Domain’s frontline ships, the Pelagornis was secretly developed as the be-all and end-all of fleet command technology, capable of coordinating the entirety of the Armada from a single platform. The reason for such secrecy was due to the greatest weapon in its arsenal: within the massive CIC was the WarMind, an abominable fusion of two Alpha-level AIs and a still-living human brain. All ship systems were directly slaved to this central intelligence, which was necessary for the ship to even function. However, the WarMind’s human component was left in a state of utter agony as result of its integration, and in early trials, the intelligence proved to be ambitious, unreliable, antagonistic, and above all, imaginative. Ultimately, the Domain Admiral’s sense of morality and paranoia won out over any practical arguments, as the original Pelagornis and the WarMind were destroyed and never further developed.

Perhaps it is best that this technology remains lost. The Domain abandoned this design for a reason.",,,
missp_path_ragnarok,SHIP,"‘And so, God, upon seeing his children on the brink of obliteration, spoke one final Word with which to undo their hubris. The word became steel and made its dwelling among the stars. The faithful, illuminated by Ludd’s pyre, have seen this steel and rejoiced, for salvation shall fall from the heavens as a mighty Hammer, full of truth and love for all.’ – Canticles of Ludd, Chapter 73, Verse 112.

Alternatively known as the Cathedral of Galactic Redemption, the Holy Instrument of His Will and Word, and, most fittingly, the Hammer of Ludd, The Ragnarok is the final doom of technologist heretics.

A floating scrapheap held together by nanogoo and faith, this mobile battlestation brings unrivaled firepower to bear against all those who would forsake Ludd’s word. Hegemonic Analysis of the Ragnarok reveals that, despite its ramshackle appearance, this vessel is perfectly capable of going toe-to-toe with an entire battlegroup and emerging relatively unscathed. In addition, it has been proposed that the ship possesses advanced command and control technology used to direct the various Pather cells found throughout the sector.

While most every faction has placed significant bounties on the destruction or capture of this ship, the Persean League is most fervent in seeking the Ragnarok’s destruction for one simple reason: it is believed by League Admiralty that the Pather cells that destroyed Mairaath were based off of Ragnarok, which was sighted in-system only a few days prior to the doom of Mayasura.",,,
missp_anchor,SHIP,"Anchor is rumored to be designed outside of the sector post collapse, entering the sector several decades after the gates went silent. Such rumors are credible, given the ships ability to remain in space indefinitely without resupply due to its integrated nanoforges producing both supplies and fuel as well as its hydroponic bases spread all over the ship. However its main boon comes from its cargo and fuel capacity, being able to carry enough cargo to supply entire planets with provisions for months. Not only that, its personal capacity is station sized, able to establish number of outposts in a single run. All the while maintaining capital sized weaponry and ability to fend of pirate fleets or even an odd military capital ships. Drawback comes from its combat deployment, with its size and lack of maneuverability, not many other ships dare to be deployed along it and its own combat profile is also extremely high. However, its undisputed that having one of these ships solves any and all cargo issues a fleet or even a whole faction can have.",,,
missp_dominion,SHIP,"Ship of the same age as the mighty Invictus, this piece of history was one of the first carrier designs to ever set sail in the Domain space. As this ship was made during era in which modern shields were but a myth, it has no forward facing hangars, so as to shield its crew and its ordinance from spaceborn threats. Likewise to the Invictus, this design also possesses extreme amount of armor, effectively making it into some kind of a battle carrier design, even if during its inception such doctrine was unheard of. Much like its gun line cousin, this ships main armaments are large forward facing guns, able to wrestle with whole fleets at a time, while its massive hangars spew forward dozens and hundreds of fighters to overwhelm even the most well protected advesaries. Due to its sheer size, it houses entire decks filled to the brim with ready made fighters that can be quickly put to action, should the engagement require it.",,,
missp_buffalomkiii,SHIP,"With the increasing hostilities in the sector, independent traders and mercenaries could no longer hang onto production capabilities of major factions. Several Independent corporations and warlords decided to put together their own warfleets, with their domestically produced designs. However weird and haphazardly made these ships are, they are Independents own ships, capable of standing up for themselves and protecting the independent spirit of the sector. 
A major conversion of the standard Buffalo-class freighter hull, the Mk III sacrifices almost all of its cargo capacity in exchange for mounting twin Fighter Bays, equipped with military-grade Nanoforges and the support facilities necessary to maintain constant fighter patrol. This revision is a desperate attempt by civilian authorities to provide trade convoys with some level of protection against increasing pirate activity. While the effectiveness of such a haphazard escort carrier has yet to be substantially proven in direct combat, no freighter captain would pass up the opportunity to fly under fighter escort.",,,
