name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
Susanowo,mm_susanowo,Battleship,Musashi Manufactorum,mm_relicfeed,40,22000,2200,26000,25000,1250,340,,35,22,16,6,6,5000,OMNI,,120,0.4,1,,,900,1800,1600,1600,20,30,7,1200000,4,20,720,0.25,90,70,,mm_susanowo_bp,0.2,0.5,2,6,515,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishamonten,mm_bishamonten,Battleship,Musashi Manufactorum,mm_relicfeed,32,16000,1750,20000,22000,980,305,,45,25,20,8,10,3000,OMNI,,120,0.4,1,,,350,550,300,300,12,36,8,500000,4,20,720,0.25,60,45,,"mm_bishamonten_bp,ind,merc,pirates",,0.5,2,4,515,,,,,,,
Mikaboshi,mm_mikaboshi,Battleship,Musashi Manufactorum,mm_superfeed,30,14500,1500,16500,18000,860,325,5,40,25,20,8,10,3500,OMNI,,120,0.4,1,,,600,900,520,480,14,34,8,420000,4,18,720,0.25,54,52,,"musashi_bp,ind,merc,pirates",,0.5,2,4,510,,,,,,,
Amaterasu,mm_amaterasu,Battleship,Musashi Manufactorum,mm_superfeed,28,14000,1500,16000,18000,860,285,2,45,25,20,8,10,3000,OMNI,,120,0.4,1,,,450,600,380,380,12,32,8,380000,4,16,720,0.25,52,50,,"musashi_bp,ind,merc,pirates",,0.5,2,4,510,,,,,,,
Fallen Amaterasu,mm_fell_amaterasu,Battleship,Musashi Manufactorum,mm_superfeed,26,13000,1300,15000,17000,820,255,1,40,22,18,10,12,2800,OMNI,,120,0.4,1,,,400,600,340,340,14,32,7,260000,4,18,720,0.25,50,48,,"musashi_bp,lowtech_bp,merc,pirates",,0.5,2,4,510,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuzuryu,mm_kuzuryu,Battlecruiser,Musashi Manufactorum,mm_superfeed,24,9500,1600,14000,16000,760,215,,60,30,30,9,11,2400,OMNI,,120,0.4,1,,,250,350,360,360,8,30,9,320000,5,16,600,0.25,42,30,,"mm_rare_bp,ind,merc,pirates",,0.5,2,3,510,,,,,,,
Watatsumi,mm_watatsumi,Battlecruiser,Musashi Manufactorum,mm_superfeed,22,11000,1250,12000,15000,720,225,1,60,35,30,9,11,2200,OMNI,,120,0.4,1,,,300,420,280,280,8,28,9,300000,5,16,600,0.25,42,35,,"musashi_bp,hightech_bp,ind,merc,pirates",,0.5,2,3,505,,,,,,,
Hachiman,mm_hachiman,Battlecruiser,Musashi Manufactorum,mm_superfeed,20,12000,1400,12000,15000,760,215,,50,40,40,10,12,2600,OMNI,,120,0.4,1,,,300,500,400,400,6,28,9,240000,5,14,600,0.25,38,32,,"musashi_bp,midline_bp,ind,merc,pirates",,0.5,2,3,505,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kajin,mm_kajin,Battlecruiser,Musashi Manufactorum,mm_superfeed,18,11000,1300,11500,13000,720,185,,75,65,45,12,14,2600,OMNI,,120,0.4,1,,,220,380,260,260,4,26,9,170000,6,14,540,0.25,36,28,,"mm_rare_bp,ind,merc,pirates",,0.5,2,3,505,,,,,,,
Moreya,mm_moreya,Battlecruiser,Musashi Manufactorum,mm_superfeed,17,10000,1100,10000,12000,620,160,6,100,80,40,14,16,2000,OMNI,,120,0.4,1,,,180,500,280,280,5,26,9,150000,6,14,540,0.25,32,28,,"musashi_bp,hightech_bp,iind,merc,pirates",,0.5,2,3,405,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gongen,mm_gongen,Cruiser,Musashi Manufactorum,mm_standardfeed,15,9000,950,10000,12000,650,160,1,75,60,50,12,14,1800,OMNI,,120,0.4,1,,,200,280,240,240,4,24,9,95000,6,13,420,0.25,26,24,,"base_bp,ind,merc,pirates",,0.5,1,3,405,,,,,,,
kurao,mm_kurao,Cruiser,Musashi Manufactorum,mm_relicfeed,14,8000,1000,9500,11500,620,135,,90,75,65,16,18,1450,OMNI,,120,0.4,1,,,120,180,160,180,4,24,9,100000,6,13,420,0.25,22,20,,"rare_bp,ind,merc,pirates",,0.5,2,3,505,,,,,,,
Isetsu,mm_isetsu,Cruiser,Musashi Manufactorum,mm_rubioplasmicjumper,13,7000,600,9000,10500,620,110,,70,60,45,14,16,1450,PHASE,phasecloak,120,0.4,1,0.06,0.06,100,150,120,150,2,24,9,100000,6,13,420,0.25,18,20,,"rare_bp,ind,merc,pirates",,0.5,2,3,505,,,,,,,
Kisshoten,mm_kisshoten,Cruiser,Musashi Manufactorum,mm_standardfeed,12,7000,750,8000,9000,580,125,,90,70,60,15,17,1500,OMNI,,120,0.4,1,,,150,230,200,200,3,22,9,70000,6,13,420,0.25,15,14,,"musashi_bp,ind,merc,pirates",,0.5,1,3,405,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nesaku,mm_nesaku,Destroyer,Musashi Manufactorum,mm_standardfeed,10,4500,450,6500,8000,450,100,,100,80,70,18,20,800,OMNI,,120,0.4,1,,,60,90,80,80,2,22,10,45000,7,10,360,0.25,12,11,,"base_bp,ind,merc,pirates",,0.5,1,3,403,,,,,,,
Kojin,mm_kojin,Destroyer,Musashi Manufactorum,mm_superfeed,10,3000,380,5500,6000,350,75,,160,90,80,26,30,400,OMNI,,120,0.4,1,,,30,50,60,60,2,20,10,35000,7,10,360,0.25,10,9,,"musashi_bp,ind,merc,pirates",,0.5,1,3,301,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoderi,mm_hoderi,Light Carrier,Musashi Manufactorum,mm_superfeed,8,2500,300,3600,3750,250,65,1,100,100,100,100,100,250,OMNI,,120,0.4,0.8,,,30,60,50,50,2,18,10,22000,8,10,240,0.25,8,7,,"musashi_bp,midline_bp,ind,merc,pirates",,0.5,1,2,205,,,,,,,
Idaten,mm_idaten,Frigate,Musashi Manufactorum,mm_standardfeed,7,1500,220,2300,2500,200,50,,150,200,175,80,150,100,OMNI,,120,0.4,1,,,15,25,30,20,1,16,10,16000,10,10,240,0.25,5,5,,"musashi_bp,hightech_bp,ind,merc,pirates",,0.5,1,2,205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushi Raid Suit,mm_bushi_raidsuit,Destroyer,Musashi Manufactorum,emp,18,600,600,600,800,800,60,1,360,600,360,90,300,800,OMNI,,360,0.1,0.4,,,30,0,0,0,1,1,10,10000,2,18,420,0.25,16,12,,mm_rare_bp,,0.5,1,1,205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jizo,mm_fighter_jizo,,Musashi Manufactorum,flarelauncher_fighter,,350,110,350,,75,0,,200,500,90,60,120,40,OMNI,,90,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jizo,mm_bomber_jizo,,Musashi Manufactorum,flarelauncher_fighter,,325,90,325,,75,0,,180,500,90,60,120,40,OMNI,,90,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kppa,mm_support_kappa,,Musashi Manufactorum,,,100,100,700,,75,0,,100,100,100,200,400,60,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushi,mm_bushi_interceptor,,Musashi Manufactorum,mm_standardfeed,,40,40,40,,40,0,,260,600,420,420,600,10,OMNI,,60,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushi Hunter,mm_bushi_hunter,,Musashi Manufactorum,mm_standardfeed,,60,60,60,,50,45,,260,600,360,420,600,10,OMNI,,60,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebisu L,mm_ebisu,Carrier,Musashi Manufactorum,targetingfeed,24,12000,1400,12000,13000,700,295,6,35,25,25,6,8,4000,OMNI,,180,0.4,1,,,300,1200,1200,1400,12,30,8,180000,3,22,540,0.25,32,40,CARRIER,"musashi_bp,hightech_bp,ind,merc,pirates",,0.5,1,3,505,,,,,,,
Ebisu M,mm_ebisu_m,Carrier,Musashi Manufactorum,targetingfeed,14,5000,900,8000,9000,500,165,4,48,36,36,12,24,2500,OMNI,,180,0.4,1,,,200,800,800,1000,8,26,9,120000,5,18,420,0.25,16,20,CARRIER,"musashi_bp,midline_bp,ind,merc,pirates",,0.5,1,3,505,,,,,,,
Ebisu S,mm_ebisu_s,Light Carrier,Musashi Manufactorum,targetingfeed,6,3000,600,5000,6000,300,110,2,60,50,50,20,24,1800,OMNI,,180,0.4,1,,,100,400,400,500,4,22,10,90000,8,10,360,0.25,8,10,CARRIER,"base_bp,ind,merc,pirates",,0.5,1,3,505,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
