name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Dreadnoughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAV-CO Gilamesh,sv_gilgamesh,Artillery Dreadnought,SCAV-CO,ammofeed,100,45000,1550,45000,,1450,500,2,15,5,3,3,3,11000,FRONT,,160,0.3,1.1,,,1450,2500,1200,1200,74,,6,899999,3,16,1240,0.25,75,75,,,,,,,,"midline_bp, ind ,scavco_bp",,0.1,1,2,,
SCAV-CO Enkidu,sv_enkidu,Assault Dreadnought,SCAV-CO,burndrive,100,55000,1800,35000,,1250,525,1,20,10,5,4,4,15000,OMNI,,140,0.3,1,,,1650,3000,6000,1250,68,,7,799999,3,16,1240,0.25,75,75,,,,,,,,"midline_bp, ind ,scavco_bp",,0.1,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAV-CO Scrap Slaught,sv_scrapslaught,Battleship,SCAV-CO,plasmajets,45,14000,1450,14000,,1250,300,,50,15,15,10,5,2250,OMNI,,120,0.3,0.9,,,650,1150,550,600,14,,8,349999,4,12,720,0.25,40,40,,,,,,,,"midline_bp, ind ,scavco_bp",,0.8,6,8,,
SCAV-CO Jack Hammer,sv_jackhammer,Assault Battleship,SCAV-CO,microburn,35,11000,750,8500,,650,185,,100,25,25,20,10,1250,OMNI,,120,0.2,0.9,,,450,750,1000,500,18,,10,249999,5,8,620,0.25,35,35,,,,,,,,"midline_bp, ind ,scavco_bp",,0.8,6,8,,
SCAV-CO The Motherload,sv_motherload,Superfreighter,SCAV-CO,maneuveringjets,40,22500,1200,27500,,700,300,2,30,8,8,8,6,4500,OMNI,,140,0.4,1.1,,,750,3000,4000,850,22,,8,499999,3,16,820,0.25,45,45,,,,,,,,"midline_bp, ind ,scavco_bp",,0.2,1,2,,
SCAV-CO The Gas Giant,sv_gasgiant,Super Tanker,SCAV-CO,burndrive,30,23500,950,32500,,600,255,,25,6,6,6,4,5000,OMNI,,140,0.4,1.1,,,850,1750,850,4000,24,,7,549999,3,16,820,0.25,35,35,,,,,,,,"midline_bp, ind ,scavco_bp",,0.2,1,2,,
SCAV_CO Sisyphus,sv_sisyphus,Salavge Freighter,SCAV-CO,burndrive,10,12000,500,6000,,400,65,,30,5,5,5,2.5,6000,OMNI,,120,0.25,1,,,100,200,2000,400,8,,6,99999,4,10,820,0.25,15,20,,,,,,,"CIVILIAN, FREIGHTER","midline_bp, ind ,scavco_bp",,0.5,2,4,,
