id,type,text1,text2,text3,text4,notes
sv_barrel,SHIP,"The flying brick, as some call it but better known as just the barrel, is what most would call the opposite of the SCAV-CO doctrine. Instead of the bare minimum, this ship was designed and produced to make it the toughest son of a gun for its size. The idea for the vessel was brought about by a few drunken SCAV-CO engineers that just happened to see a Prometheus super tanker flying by their observation deck. One of the engineers jokingly remarked, ""Hey wouldn't it be fu-funny if we took a bloody Prometheus and just like…. You know… replaced the fuel storage with armor?!"" and that's how the barrel was born.",,,,
sv_beltmover,SHIP,"The Belt Mover is designed to be a large hauler, much like the atlas. Still, someone had the innovative idea to throw an advanced targeting core on the damn thing so it could safely partake in combat and give the local combat salvagers a place to dump cargo off while in battle. However, spacers beware, whoever calls this hauler home, while you might have fun shooting targets at a distance if the said target were to close the distance, you’d quickly be reminded you reside in a god forsaken civilian freighter. ",,,,
sv_mole,SHIP,"The mole is the mole, a mining carrier with arms!... ALL HAIL THE MOLE, ALL HAIL THE #%^%@$(#&....&### ///DATA CORRUPTED///… We <>ArE 'ReAl, We/ ArE< CoMeInG>....",,,,
sv_fatherhold,SHIP,"The Father Hold, A bastion of the belt and a proper keep for a spacer, its slow but heavily armored and protected by a swarm of boring drones. Combined with an onboard fighter auto factory, this means the horde of drones can never be quelled. Ships without reliable PD will quickly find themselves overwhelmed by the onslaught of the horde. In fleet engagements, the Father Hold can provide constant suppression to smaller enemy ships and missiles.",,,,
sv_fuelrunner,SHIP,"The Fuel Runner follows suit with the idea of artillery logistic ships but with great speed and beam weaponry specialization. With its excellent weapon mounts, this ship can always keep up to 4 medium weapons on target. The ship also comes with high-energy focus as the main selling point to pack even more of a punch.",,,,
sv_fuelskipper,SHIP,"Often just called the Skipper for its ability to skip pirate attacks via having the ability to not exist in any one point in space at a rapid pace. It also has the neat trick of vaporizing attackers at such ranges that one would think a bloody ghost is attacking them. Not my words, just the ones.... I heard... Through the coms...",,,,
sv_gasgiant,SHIP,"SCAV-CO wanted to one-up the sindrian fuel company and his excellence after the rival dicta….""Fuel company"" Flooded the market with tankers and came out with the ""Gas Giant Class supertanker"" not only can it carry a load of fuel and defend itself but it can also act as a flagship for most wound be captains. To give a reason to buy the damn thing over a sindrian fuel tanker SCAV-CO did what it always does… It gave the thing salvaging capabilities!

",,,,
sv_hopeandbolts,SHIP,"Held together with hope and bolts, ergo the name, this ship is built to go so fast that you'll forget you're even flying a ship because soon you won't be! What it lacks in its ability to take the most minor hits to its structure, it makes up for with passable shields and dangerous weapon mounting options. To boot, the ship leaves such a small logistic footprint that you'll forget you even own one. Until you see it exploding spectacularly across the bow of your flagship as you sip your morning coffee. Why did it explode? You forgot you turned off the safeties and gave it to a reckless officer.",,,,
sv_hopeandluck,SHIP,"Held together with hope and luck, most spacers will call this ship ""Hope"" in short. Essentially considered an upgrade over its smaller sister, ""Hope And Bolts,"" with even better armor and hull… Suppose you call now having the ability to take a few autocannon rounds an ""upgrade"" with that said. In that case, it can, however, mount even more guns than the last version. ",,,,
sv_hopeandtape,SHIP,"Held together with hope and tape, this little weaponized salvage rig is more than capable of giving you a terrible day when given proper weaponry. However, threat not little spacer. Just a few lasers will keep this thing away!..... Until it doesn't...",,,,
sv_jackhammer,SHIP,"Why wait for ships to be blown apart by others to salvage when you can do the blowing up yourself! The Jack Hammer can break vessels apart with its unique mounting options and fantastic speed. Left unchecked, this ship can single-handedly turn the tide of a battle in a few seconds.",,,,
sv_madcat,SHIP,"The flagship of SCAV-CO, Often plastered onto billboards and posters, this ship's mear silhouette is enough to bring fear or annoyance in most captions' minds. The only thing this ship has going for it is its small logistic footprint and a phase skimmer. Aside from that, this ship has nothing else of note. ",,,,
