name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAV-CO Zweihander,sv_zweihander_large,2,,19999,1250,,1050,,1000,15,20,,,,ENERGY,1000,,0,6,,,0,2,1,2,,3000,,,1000,,,,"lowtech_bp, midline_bp, ind, LR, energy15, he10, kinetic15",,SCAV-CO,,General,,,,,,,,,,
SCAV-CO Greataxe,sv_grateaxe,2,,19999,800,,750,,500,5,20,,,,HIGH_EXPLOSIVE,550,,0,6,,,6,24,3,6,,600,,,1000,,,"PD,PD_ALSO","lowtech_bp, midline_bp, ind, LR, he15, kinetic5",,SCAV-CO,,Anti Armor,,,,,Shells have a massive AOE.,,,,,
SCAV-CO Fly Swatter,sv_flyswatter,1,,1999,800,,25,5,1,175,5,500,10,100,FRAGMENTATION,2,,0,0.016,,,0,2,0.05,1,,750,,,5,,,"PD, NO_TURN_RATE_BOOST_WHEN_IDLE","lowtech_bp, midline_bp, ind, pd10",,SCAV-CO,,Point Defense/General,,,,,Shots deal no hard flux damage to sheilds,,,,,
SCAV-CO Power Core Launcher,sv_powercorelauncher,2,,19999,2000,,3000,3000,4000,10,25,1,0.025,1,ENERGY,250,,0,5,1,1,0,0,0,0,,600,600,5,3000,,,"STRIKE, DO_NOT_CONSERVE","lowtech_bp, midline_bp, ind, energy8, he8, kinetic8",,SCAV-CO,,General,,,,,,,,,,
SCAV-CO Atlas Cannon,sv_atlascannon,2,,19999,1250,,1250,,35000,5,25,,,,KINETIC,1250,,0,8,,,0,5,2.5,2.5,,1000,,,15000,,,,"lowtech_bp, midline_bp, ind, he8, kinetic20",,SCAV-CO,,Anti Shield,,,,,,,,,,
SCAV-CO Dane Axe,sv_daneaxe,1,,12999,700,,525,,300,5,15,,,,HIGH_EXPLOSIVE,1000,,0,4.5,,,0,10,2.5,5,,750,,,750,,,,"lowtech_bp, midline_bp, ind, LR, he18, kinetic10",,SCAV-CO,,Anti Armor,,,,,,,,,,
SCAV-CO Door Knocker,sv_doorknocker,1,,7999,800,,75,,75,12,12,,,,KINETIC,50,,0,0.33,,,0,2,0.33,6,,750,,,75,,,,"lowtech_bp, midline_bp, ind, LR, kinetic10",,SCAV-CO,,Anti Shield,,,,,,,,,,
SCAV-CO Barrel Launcher,sv_rustybarrellauncher,1,,1999,550,,450,,35,25,5,12,0.066,1,FRAGMENTATION,100,,0,6,1,1,0,10,2,5,,600,,,200,,,PD,"lowtech_bp, midline_bp, ind, pd8, he5, kinetic5",,SCAV-CO,,Point Defense/General,,,,,Berrals have a massive AOE.,,,,,
