id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
#BALISTICS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCY_burstS,projectile,,,,,,,,,,100,0.3,0.2,"[225,225,50]",,0.2,TRUE
SCY_interceptS,projectile,15,2,1,"[255,200,40]",,25,2,1.2,"[255,155,155]",20,4,0.1,"[255,155,75]",,1,TRUE
SCY_hammerS,projectile,,,,,,,,,,50,0.15,0.15,"[255,240,165]",,0.75,TRUE
SCY_ketoMainS,projectile,100,2,1,"[200,100,25]",,350,1.5,1.5,"[200,100,25]",120,4,0.125,"[200,100,25]",,1,TRUE
SCY_orionS,projectile,30,2,1,"[156,0,0]",,80,2,1.2,"[255,50,50]",45,4,0.1,"[255,50,50]",,1,TRUE
SCY_orionfakeS,projectile,,,,,,,,,,,,,,,,
SCY_hemor1S,projectile,15,2,1,"[255,165,30]",,25,2,1.2,"[255,165,30]",20,4,0.1,"[255,70,50]",,1,TRUE
SCY_hemor2S,projectile,25,2,1,"[255,165,30]",,50,2,1.2,"[255,165,30]",30,4,0.1,"[255,70,50]",,1,TRUE
SCY_hemor3S,projectile,30,2,1,"[255,165,30]",,80,2,1.2,"[255,165,30]",45,4,0.1,"[255,70,50]",,1,TRUE
SCY_ricochetS,projectile,30,2,1,"[255,165,30]",,80,2,1.2,"[255,165,30]",45,4,0.1,"[255,70,50]",,1,TRUE
SCY_scorcherS,projectile,30,2,0.1,"[255,50,40]",,80,2,1.2,"[255,155,155]",45,4,0.05,"[255,155,75]",,1,TRUE
SCY_kacc1S,projectile,15,2,1,"[255,160,50]",,25,2,1,"[255,160,50]",20,4,0.1,"[255,240,128]",,1,TRUE
SCY_kacc2S,projectile,25,2,1,"[255,160,50]",,50,2,1,"[255,160,50]",30,4,0.1,"[255,240,128]",,1,TRUE
SCY_kacc3S,projectile,30,2,1,"[255,160,50]",,100,2,1,"[255,160,50]",45,4,0.1,"[255,240,128]",,1,TRUE
SCY_spearS,projectile,40,2,1,"[255,160,50]",,100,2,1,"[255,160,50]",50,4,0.125,"[255,240,128]",,1,TRUE
SCY_spearSS,projectile,40,0.15,0.5,"[255,220,30]",,100,2,1,"[255,220,30]",50,2,0.25,"[255,240,128]",,1,TRUE
SCY_splinterS,projectile,,,,,,,,,,,,,,,,
