id,type,frame,magnitude,map,path
#deco fix,,,,,
SCY_Zflame1,hardpoint,,0,normal,
SCY_Zflame1,turret,,0,normal,
,,,,,
SCY_ZstymphalianHeat,hardpoint,,0,normal,
SCY_ZstymphalianHeat,turret,,0,normal,
SCY_ZZstymphalianWeapon,hardpoint,,0,normal,
SCY_ZZstymphalianWeapon,turret,,0,normal,
,,,,,
SCY_stymphalianMain,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_stymphalianCodex_normal.png
SCY_stymphalianMain,turret,,1,normal,graphics/SCY/maps/weapons_normals/SCY_stymphalianCodex_normal.png
SCY_stymphalianMain,hardpoint,,,material,graphics/SCY/maps/weapons_glib/SCY_stymphalianCodex_material.png
SCY_stymphalianMain,turret,,,material,graphics/SCY/maps/weapons_glib/SCY_stymphalianCodex_material.png
SCY_stymphalianMain,hardpoint,,,surface,graphics/SCY/maps/weapons_glib/SCY_stymphalianCodex_surface.png
SCY_stymphalianMain,turret,,,surface,graphics/SCY/maps/weapons_glib/SCY_stymphalianCodex_surface.png
,,,,,
SCY_anti2,hardpointunder,,1,normal,graphics/SCY/maps/weapons_normals/SCY_antiHU_normal.png
SCY_anti2,turretunder,,1,normal,graphics/SCY/maps/weapons_normals/SCY_antiTU_normal.png
,,,,,
SCY_arc,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_arcH_normal.png
SCY_arc,turret,,1,normal,graphics/SCY/maps/weapons_normals/SCY_arcT_normal.png
,,,,,
SCY_cluster2,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_cluster2H_normal.png
SCY_cluster2,turret,,1,normal,graphics/SCY/maps/weapons_normals/SCY_cluster2T_normal.png
,,,,,
SCY_coasting2,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_coasting2H_normal.png
SCY_coasting2,turret,,1,normal,graphics/SCY/maps/weapons_normals/SCY_coasting2T_normal.png
,,,,,
SCY_hemor2,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor2H_normal.png
SCY_hemor2,hardpointbarrel,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor2HB_normal.png
SCY_hemor2,turret,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor2T_normal.png
SCY_hemor2,turretbarrel,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor2TB_normal.png
,,,,,
SCY_hemor3,hardpoint,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor3H_normal.png
SCY_hemor3,hardpointbarrel,,1,normal,graphics/SCY/maps/weapons_normals/SCY_hemor3HB_normal.png
