name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Ablation,TTSC_ablation,Cruiser,TTSC,flarelauncher_active,14,9000,750,12000,,700,145,,54,40,30,40,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,,TTSC_bp,,0.6,2,3,,
Arbitrary,TTSC_arbitrary,Battlecarrier,TTSC,microburn,25,10000,1200,15000,,1000,280,4,63,50,40,8,12,2500,OMNI,,180,0.25,0.8,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",TTSC_bp,,0.6,2,4,,
Azad,TTSC_azad,Heavy Salvage Freighter,TTSC,flarelauncher,10,6000,300,2750,,100,115,2,40,20,10,10,10,1500,OMNI,,150,0.5,1,,,50,250,850,110,4,30,7,40000,3,20,480,0.25,10,10,,,,,,,FREIGHTER,TTSC_bp,,0.6,2,3,,
Bora,TTSC_bora,Light Carrier,TTSC,recalldevice,12,5000,350,4000,,200,100,2,54,60,25,20,15,500,OMNI,,270,0.4,0.6,,,40,80,40,60,2,30,10,50000,5,15,420,0.25,12,12,,,,,,,CARRIER,TTSC_bp,,0.5,2,3,,
Caconyml,TTSC_caconyml,Phase Capital,TTSC,displacer,40,14000,1500,16000,,1200,270,,36,50,50,20,30,2400,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,1000000,3,50,600,0.25,75,75,,,,,,,,TTSC_bp,,0.4,2,3,,
Cantankerous,TTSC_cantankerous,Cruiser,TTSC,plasmajets,17,8000,800,11000,,800,165,,72,50,25,25,25,1800,OMNI,,180,0.5,0.8,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,,,,,,,TTSC_bp,,0.6,2,3,,
Determinist,TTSC_determinist,Battlecruiser,TTSC,microburn,25,11000,1200,15000,,1000,280,,63,50,40,8,12,2500,OMNI,,180,0.25,1,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,TTSC_bp,,0.6,2,4,,
Empiricist,TTSC_empiricist,Frigate,TTSC,emp,6,750,125,2500,,200,45,,140,220,175,120,360,100,OMNI,,360,0.3,0.6,,,10,20,30,20,1,20,10,20000,10,20,180,0.25,6,6,,,,,,,,TTSC_bp,,0.5,2,2,,
Escarpment,TTSC_escarpment,Light Cruiser Carrier,TTSC,microburn,14,5000,600,9000,,600,130,2,83,100,80,30,60,650,OMNI,,180,0.3,0.7,,,60,120,60,80,3,27,9,115000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",TTSC_bp,,0.7,2,3,,
Eschatologist,TTSC_eschatologist,Battlecarrier,TTSC,microburn,25,10000,1000,15000,,1000,290,3,63,50,40,8,12,2500,OMNI,,180,0.25,0.8,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,TTSC_bp,,0.6,2,4,,
