id,type,text1,text2,text3,notes
TTSC_ablation,SHIP,"Slow but agile and able to absorb hits from the front while defending other ships with it's wide rear turrets, the Ablation makes for a solid middle of the fleet ship.",Cruiser,,
TTSC_arbitrary,SHIP,"Special Circumstances looked at the Apogee and thought: ""Apogee but high tech"" and the Arbitrary is the result. Enhanced with better shields and capacity, it is the Apogee's big fancy brother.",Battlecarrier,,
TTSC_azad,SHIP,Special Circumstances designed the Azad to provide a deployable PD platform that supplies provisioning for their main ships in salvage and mining patrol fleets.,Heavy Salvage Freighter,,
TTSC_bora,SHIP,"The Bora is a well defended light carrier, surrounded by small turrets it can be configured to assist a fleet as a point defense platform or as a long range beam support ship.",Light Carrier,,
TTSC_caconyml,SHIP,"The Caconyml is the pinnacle of phase technology, with numerous weapon mounts it can dip in and out of reality delivering devastating amounts of damage before fading back into the n-dimension. With a wide coverage of small turret mounts it is well defended from missiles and fighters while it deals the pain.",Phase Capital,,
TTSC_cantankerous,SHIP,"Able to deal higher damage than the other cruisers in SC's fleet, the cantankerous is the primary ship to fly along side the capitals when approaching enemy lines.",Cruiser,,
TTSC_determinist,SHIP,With it's multiple weapon mounts the Determinist is easily configured to be a heavy hitter than can engage several smaller ships on it's own to tie them up while the rest of the fleet goes after the larger prey.,Battlecruiser,,
TTSC_empiricist,SHIP,The Empiricist is used by wolf pack admirals as their primary ship for capturing nodes and chasing down runners and with it's dual medium mounts it can punch above it's class as needed.,Frigate,,
TTSC_escarpment,SHIP,"The Escarpment is SCs Jack of all trades ship. Not being particularly strong as either a carrier or a cruiser, it can none the less fill in as either role as needed and that flexibility is it's primary strength.",Light Cruiser Carrier,,
TTSC_eschatologist,SHIP,"Tri-Tachyon uses the Odyssey as it's primary front line ship in their fleets. Special Circumstances, having need of a beefier ship, took the design and modified it and the Eschatologist is the end result. ",Battlecruiser,,
TTSC_excession,SHIP,The Excession is a fast-attack high-tech light cruiser designed to chase down runaways by trading armor for speed. The inbuilt plasma 'microburn' system allows it to make small dashes at high speed making it an excellent skirmisher.,Light Cruiser,,
TTSC_ghalssel,SHIP,"Special Circumstances needed a less fragile tanker for their wolf pack fleets so they retired the Dram in favor of the Ghalssel. By overhauling the frame, adding armor plating and larger capacitors it is far more capable and can be deployed in a support role when needed.",Combat Tanker,,
TTSC_gillan,SHIP,Special Circumstances uses the Gillan to mine resources in more dangerous areas and doubles as a destroyer sized salvage vessel.,Mining Freighter,,
TTSC_hronish,SHIP,A technologically advanced  carrier that is well protected with wide weapon mount coverage and able to project vast amounts of firepower through its numerous fighter craft squadrons.,Carrier,,
TTSC_hylozoist,SHIP,"Abe to defend itself with it's wide arcing turrets and project it's strength with it's hanger bay, the Hylozoist makes for a good node defense ship able to engage the smaller ships that enemies tend to use for node capture.",Frigate,,
TTSC_idiran,SHIP,The Idiran is a mainstay light escort in Special Circumstances' mining and salvage fleets. ,Mining Freighter,,
TTSC_ingenui,SHIP,"Special Circumstances uses the Ingenui for it's courier missions and when a subtle option is called for. With it's muffled engine signature and secret cargo compartments, it can stealthy complete SC's ""dirty tricks"" missions.",Combat Freighter,,
TTSC_jandraligeli,SHIP,A standard tanker for SC's exploration fleets with it's enhanced sensors and sturdier frame than other tankers of it's size the Jandraligeli is the go -to ship for extended fleet deployments.,Combat Tanker,,
TTSC_jernau,SHIP,Designed to look like an Atlas from a distance and giving the same emissions the Jernau is quite a surprise to any commerce raider who attempts to engage it. ,Combat Superfreighter,,
TTSC_kakistocrat,SHIP,The Kakistocrat is all about projecting the most firepower forward in the smallest package possible. ,Heavy Frigate,,
TTSC_kraiklyn,SHIP,Bristling with turrets the Kraiklyn is more cruiser than tanker. Sacrificing some of the fuel capacity of the Prometheus in order to make room for better capacitors and overall upgraded technology it can easily hold it's own if deployed in combat. ,Combat Tanker,,
TTSC_latebricole,SHIP,The Latebricole excels at approaching an enemy from multiple sides while weaving in and out of dimensions. Able to mount either missiles or lasers in it's front hard points it can be configured for multiple damage roles.,Phase Frigate,,
TTSC_troubadour,SHIP,Able to weave in and out of the battle as needed while giving commands to the rest of the fleet the Troubadour is used by SC's wolf pack admirals as their primary command and control ship.,Phase Destroyer,,
TTSC_qualifier,SHIP,"Used in anti shipping strikes and as wingman for larger ships, the Qualifier is quite flexible and well appointed for it's class.",Destroyer,,
TTSC_revisionist,SHIP,"Camouflaged as the venerable Buffalo freighter, the Revisionist is anything but. With a robust flux capacitor and two medium turrets it can take down any wolf pack pirates that try to ambush it. Equipped with a shielded cargo hold and insulated engines it is the perfect ship to monitor patrols while you slide into stations that may or may not be friendly with your cargo.",Q Ship / Combat Freighter,,
TTSC_succour,SHIP, Special Circumstances heavily reinforced the Succour's hull to be is big bruiser front line ship. It can absorb damage while dealing it almost as good as a Capital ship but with a lower deployment cost. ,Heavy Cruiser,,
