id,trigger,conditions,script,text,options,notes
greetingCabalTOffNormal,OpenCommLink,"$faction.id == cabal
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0
CabalNormalTalk","MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Why don't you try talking with your transponder on, idiot?""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link",
greetingCabalTOffWeaker,OpenCommLink,"$faction.id == cabal
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0
CabalNormalTalk","MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Are you going to turn that transponder on, or what?""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link",
greetingCabalTurnOnTExtortion,DialogOptionSelected,"$faction.id == cabal score:100
RepIsAtBest $faction.id HOSTILE
!$entity.Cabal_extortionPaid
!$Cabal_extortionAskedFor
$relativeStrength >= 0
$option == turnOnTransponder","MakeHostileWhileTOff false
UpdateMemory
ActivateAbility $player.fleetId transponder
UpdateMemory
MakeOtherFleetPreventDisengage cabalExtortion true
MakeOtherFleetAggressive cabalExtortion true
CabalPickExtortionMethod
FireBest OpenCommLink",You issue an order to activate the transponder and re-open the comm link.,,
greetingCabalTurnOnTContribution,DialogOptionSelected,"$faction.id == cabal score:100
RepIsAtWorst $faction.id INHOSPITABLE
!$entity.Cabal_extortionPaid
!$Cabal_extortionAskedFor
$option == turnOnTransponder","MakeHostileWhileTOff false
UpdateMemory
ActivateAbility $player.fleetId transponder
UpdateMemory
CabalPickContributionMethod
FireBest OpenCommLink",You issue an order to activate the transponder and re-open the comm link.,,
greetingCabalFriendlyA,OpenCommLink,"$faction.id == cabal
$faction.friendlyToPlayer
CabalNormalTalk","$menuState = fleetConvMain 0
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false
AddText ""Welcome, follower! We estimate the value of your fleet at $Cabal_netWorthString.""
FireAll PopulateOptions",,,
greetingCabalFriendlyB,OpenCommLink,"$faction.id == cabal
$faction.friendlyToPlayer
CabalNormalTalk","$menuState = fleetConvMain 0
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false
AddText ""Have you bought anything from the exchanges at $Cabal_markets, recently?""
FireAll PopulateOptions",,,
greetingCabalHostilePalace,OpenCommLink,"$entity.isHostile
$entity.uwIsPalace score:100
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
$menuState = fleetConvMain 0
AddText ""We are beyond your comprehension. The value of your fleet is a paltry $Cabal_netWorthString. The stars belong only to the opulent.""
FireAll PopulateOptions",,,
greetingCabalHostileWeaker,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength < 0
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""So that's how it's going to be, damned leech.""
OR
""You filthy freeloader. You only wish your fleet was righfully earned!""",cutCommLink:Cut the comm link,
greetingCabalHostileWeakerDefiant,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""You are a leech, hoarding your wealth for personal power. I will not falter!""
OR
""Hah! You think that just because you stole some ships, you'll be able to defeat me?""",cutCommLink:Cut the comm link,
greetingCabalHostileStronger,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength >= 0
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Don't say I didn't warn you.""
OR
""Filthy peasant! You are unworthy of the stars!""",cutCommLink:Cut the comm link,
