id,trigger,conditions,script,text,options,notes,New Column,Column 09
,,,,,,,,
#殖民地互动,,,,,,,,
mimokko_home_0,PopulateOptions,"$market.isPlayerOwned
mmOfficerNumtest 1
$menuState == main",,,10:mimikko_Inhome0:Head to the assistant's dorm,,,
mimokko_home_0_1,DialogOptionSelected,$option == mimikko_Inhome0,,"You strolled towards the dorm you've prepared for the assistants, thinking about all the fun you will have talking to the assistants, you cannot but smile like a creep.

Kuh...manner, maintain your manner.",5:mimikko_Inhome1:Who to look for?,,,
mimokko_home_0_2,DialogOptionSelected,$option == mimikko_Inhome1,"FireAll mimikkoImhome1
ShowDefaultVisual",,,,,
,,,,,,,,
#梦梦奈,,,,,,,,
mimokko_home_momona,mimikkoImhome1,mmOfficertest 2 Mimikko_momona 0,,,5:mimikko_Inhome_momona:Go find Momona!,,,
mimokko_home_momona_1,DialogOptionSelected,$option == mimikko_Inhome_momona,"FireAll mimikko_home_momona
mmShowpeoplev Mimikko_momona",,,,,
#梦梦奈_摸摸头,,,,,,,,
mimokko_home_momona_1_1,mimikko_home_momona,,,"""What is it? Capitain? Momona seems very happy to see you, what to do? ",5:mimikko_Inhome_momona_1_1:Pat her,,,
mimokko_home_momona_1_2,DialogOptionSelected,$option == mimikko_Inhome_momona_1_1,FireBest mimikkoImhome_momona_interation,,,,,
mimokko_home_momona_1_3,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"You place your hand between the two long ears, feeling the fuzzy feeling as you gently patted Momona.
""Captain?"" Momona seems startled, but she quickly closed her eyes the next instant.
She seems to be enjoying this. 

""Captain, can you pat for while longer?"" Sensing you have retracted your hand, she seems a little disappointed, but quickly returned to her energetic self.",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_4,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Pat Momona's head more!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_5,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Only pat, no poking me with your finger!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_6,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Ah... pat and stuff, is that praising me? Ehehe~""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_7,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Eh, headpat?""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_8,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Is there any special meaning to touching cheeks?""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_9,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""It is forbidden to harass your assistant, Momona!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_10,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Captain is a weirdo.""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_11,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Is Captain treating me like a kid?""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_12,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Momona think, Captain has a soft hand and is very gentle!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_13,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Ahh, my hair is all messy.""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_14,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Ugh...If you want to hold hand, fine, seriously...""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_15,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Captain patted me again, I'm so happy!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_16,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""Captain......begin to pat Momona again!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_17,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 0,,"""I also want to pat the Captain...but Momona isn't tall enough.""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_18,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 1,,"""Captain's hand is so warm, it makes Momona's heart beat faster.""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_19,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 1,,"""Captain...don't just pat all the time.""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_20,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 1,,"""It feels a bit different to be patted by the Captain now!""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_21,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 1,,"""Eh...? Could it be, the Captain is...into legs? Ugh...""",5:mimikko_Inhome1:Do something else,,,
mimokko_home_momona_1_22,mimikkoImhome_momona_interation,mmOfficertest 2 Mimikko_momona 1,,"""If you keep patting...(quiets down)...I wont grow tall.""",5:mimikko_Inhome1:Do something else,,,
,,,,,,,,
,,,,,,,,
#梦梦奈_亥博龙m,,,,,,,,
mimokko_home_momona_2_0,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.momonaship
mmOfficertest 2 Mimikko_momona 1","mmAddtext ""Monona seems to have a gift for you?"" 229 118 246",,,,,
mimokko_home_momona_2_1,mimikko_home_momona,"mmOfficertest 2 Mimikko_momona 1
!$global.momonaship","SetStoryOption mimikko_Inhome_momona_2_1 6 avoidCargoScan ui_char_spent_story_point ""Great,what is it?""",,5:mimikko_Inhome_momona_2_1:It seems Momona has a gift for you? ,,,
mimokko_home_momona_2_2,DialogOptionSelected,$option == mimikko_Inhome_momona_2_1,,"""Captain!"" Momona seems very excited. 
""To thank the captain for always watching out for me, Momona has a gift for you!"" Her ear is standing upright, her visible excitement washes over you. ","5:mimikko_Inhome_momona_2_2:Great, what is it?",,,
mimokko_home_momona_2_3,DialogOptionSelected,$option == mimikko_Inhome_momona_2_2,,"From under her table, Momona carefully brings out a plastic mosaic box, something seems to be inside?
",5:mimikko_Inhome_momona_2_3:Can I open it now?,,,
mimokko_home_momona_2_4,DialogOptionSelected,$option == mimikko_Inhome_momona_2_3,,"""Ofcourse!"" She smiled very, very sweetly.",5:mimikko_Inhome_momona_2_4:Gently open the box,,,
mimokko_home_momona_2_5,DialogOptionSelected,$option == mimikko_Inhome_momona_2_4,mmShowship hyperion_momona_hull,"You finally got a good look of the gift. It is an extremely detailed model ship. The model being Tri-Tachyon's famous hunter-killer frigate - Hyperion. 
You carefully played around with its hatches, engines and hardpoints, almost everything that can move on the actual thing can move on the model as well. The entire model is further painted over with Momona's favourite color - Pink. ",5:mimikko_Inhome_momona_2_5:Thank Momona!,,,
mimokko_home_momona_2_6,DialogOptionSelected,$option == mimikko_Inhome_momona_2_5,,"""Ehehe, no need to thank me, captain. There is actually one more layer of gift below!"" You look below the model base, within a compartment lies a data chip, with a transparent Hyperion schematic sticker on top. ",5:mimikko_Inhome_momona_2_6:This is?,,,
mimokko_home_momona_2_7,DialogOptionSelected,$option == mimikko_Inhome_momona_2_6,,"You immediatelly connected it to your Tripad, which displays a rarely used dock in the starport, and a brand new ship.

The ship is a Hyperion (M)

How did Momona get a ship like this?",5:mimikko_Inhome_momona_2_7:Pat Momona's head!,,,
mimokko_home_momona_2_8,DialogOptionSelected,$option == mimikko_Inhome_momona_2_7,"mmAddShip hyperion_momona_hull
$global.momonaship = true","""Ehehehe"" She begin to enjoy herself again, while you have the chance, might as well enjoy yourself as well. ",100:defaultLeave:Check out the new ship!,,,
,,,,,,,,
#梦梦奈_头像,,,,,,,,
mimokko_home_momona_clo_0_1,mimikko_home_momona,,,,"5:mimikko_Inhome_momona_clo_0:Momona, I want to change your outfit.",,,
mimokko_home_momona_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_0,FireAll mimikko_home_momona_clo,,,,,
#梦梦奈_公式服,,,,,,,,
mimokko_home_momona_clo_1_1,mimikko_home_momona_clo,,,,5:mimikko_Inhome_momona_clo_1:Official Outfit,,,
mimokko_home_momona_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_1,mmChangeclo Mimikko_momona momona_1,"Momona, finished changing!""",5:mimikko_Inhome1:Yay,,,
#梦梦奈_海军毕业生,,,,,,,,
mimokko_home_momona_clo_2_1,mimikko_home_momona_clo,,,,5:mimikko_Inhome_momona_clo_2:Naval Cadet,,,
mimokko_home_momona_clo_2_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_2,mmChangeclo Mimikko_momona momona_2,"Momona is a honor student of Galatia academy!""",5:mimikko_Inhome1:Yay,,,
#梦梦奈_圣诞交响曲,,,,,,,,
mimokko_home_momona_clo_3_1,mimikko_home_momona_clo,,,,5:mimikko_Inhome_momona_clo_3:Christmas Symphony,,,
mimokko_home_momona_clo_3_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_3,mmChangeclo Mimikko_momona momona_3,"""Captain, this is a holiday from ancient earth! Merry Christmas!""",5:mimikko_Inhome1:Yay,,,
#梦梦奈_流金浮梦,,,,,,,,
mimokko_home_momona_clo_4_1,mimikko_home_momona_clo,,,,5:mimikko_Inhome_momona_clo_4:Dream of Flowing Gold,,,
mimokko_home_momona_clo_4_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_4,mmChangeclo Mimikko_momona momona_4,"Momona, finished changing!""",5:mimikko_Inhome1:Yay,,,
#梦梦奈_纯净信件,,,,,,,,
mimokko_home_momona_clo_5_1,mimikko_home_momona_clo,,,,5:mimikko_Inhome_momona_clo_5:Pure Letter,,,
mimokko_home_momona_clo_5_2,DialogOptionSelected,$option == mimikko_Inhome_momona_clo_5,mmChangeclo Mimikko_momona momona_5,"""Captain captain! Can you pat Momona again?""",5:mimikko_Inhome1:Yay,,,
,,,,,,,,
#爱莉安娜,,,,,,,,
mimokko_home_ariana,mimikkoImhome1,mmOfficertest 2 Mimikko_ariana 0,,,5:mimikko_Inhome_ariana:Go find Ariana!,,,
mimokko_home_ariana_1,DialogOptionSelected,$option == mimikko_Inhome_ariana,"FireAll mimikko_home_ariana
mmShowpeoplev Mimikko_ariana",,,,,
#爱莉安娜_摸头,,,,,,,,
mimokko_home_ariana1_1,mimikko_home_ariana,,,,5:mimikko_Inhome_ariana1_1:Pat her,,,
mimokko_home_ariana1_2,DialogOptionSelected,$option == mimikko_Inhome_ariana1_1,,"I am a domestic and combat model, I am sorry to say that customer experience over my emotional response does not quite match that of an entertainment model. Though this is not a comment regarding my service of combat abilities, I thank you very much nonetheless.",5:mimikko_Inhome1:Do something else,,,
#爱莉安娜_薄荷,,,,,,,,
mimokko_home_ariana2_1,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.arianacore
mmOfficertest 2 Mimikko_ariana 1","mmAddtext ""Ariana is applying to schedule a meeting with you."" 2 225 255",,,,,
mimokko_home_ariana2_2,mimikko_home_ariana,"$market.isPlayerOwned
!$global.arianacore
mmOfficertest 2 Mimikko_ariana 1","SetStoryOption mimikko_Inhome_ariana2_1 4 avoidCargoScan ui_char_spent_story_point ""What do you need, Ariana?""",,"5:mimikko_Inhome_ariana2_1:Need anything, Ariana?",,,
mimokko_home_ariana2_3,DialogOptionSelected,$option == mimikko_Inhome_ariana2_1,,"""Morning captain. I am very grateful for the care you've shown to Zero and myself. Based on my recent observation of the Captain, my support unit Mint has made an application to me. As a support robot, Mint is equipped with the most advanced learning algorithm, but connecting with an Alpha Core kinda burnt it out. Ariana seems to be apologizing, but you only feel happiness. ","5:mimikko_Inhome_ariana2_2:What do you mean, burned out an Alpha Core?",,,
mimokko_home_ariana2_4,DialogOptionSelected,$option == mimikko_Inhome_ariana2_2,,"Thinking about it, an Alpha core is worth about 120,000.00 on the market, if Mint is damaged through connection with an alpha core, it should still fetch around 250,000.00. Ofcourse, their actual value cannot be estimated by credit alone. ",5:mimikko_Inhome_ariana2_3:So what is the purpose of the application?,,,
mimokko_home_ariana2_5,DialogOptionSelected,$option == mimikko_Inhome_ariana2_3,,"""The purpose of Mint's application is that Mint wishes to fight with the Captain. Mint has absorbed knowledge comparable to an alpha core and should perform as well as a beta core in combat. Moreover, Mint can also provide targeting support in combat. I think this is a very practical and beneficial application. Ariana seems to be speaking for Minit, and Mint also begin to vibrate, seemingly to be asking for your approval.

""Captain, don't worry, I have already addressed all hardware and plugin compatibility issues, it is ready for combat right away. Both Mint and I requires additional combat data, all for your safety, captain.""
",5:mimikko_Inhome_ariana2_4:Approved!,,,
mimokko_home_ariana2_6,DialogOptionSelected,$option == mimikko_Inhome_ariana2_4,"$global.arianacore = true
AddRemoveCommodity mimikko_mint_core 1 true
","""Thank you, captain, Domestic Robot Ariana and Support Robot Mint, at your service.""",5:mimikko_Inhome1:Return to your post,,,
#爱莉安娜_头像,,,,,,,,
mimokko_home_ariana_clo_0_1,mimikko_home_ariana,,,,5:mimikko_Inhome_ariana_clo_0:Ariana adjust surface render path.,,,
mimokko_home_ariana_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_ariana_clo_0,FireAll mimikko_home_ariana_clo,,,,,
#爱莉安娜_公式服,,,,,,,,
mimokko_home_ariana_clo_1_1,mimikko_home_ariana_clo,,,,5:mimikko_Inhome_ariana_clo_1:Official Outfit,,,
mimokko_home_ariana_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_ariana_clo_1,mmChangeclo Mimikko_ariana ariana_1,"""Yes captain, changed rendering path.""",5:mimikko_Inhome1:Yay,,,
#爱莉安娜_1314迭代,,,,,,,,
mimokko_home_ariana_clo_2_1,mimikko_home_ariana_clo,,,,5:mimikko_Inhome_ariana_clo_2:1314 Generation,,,
mimokko_home_ariana_clo_2_2,DialogOptionSelected,$option == mimikko_Inhome_ariana_clo_2,mmChangeclo Mimikko_ariana ariana_2,"""After my calculation, even after 1314 generation, it will still be this result, captain....""",5:mimikko_Inhome1:Yay,,,
,,,,,,,,
#零,,,,,,,,
mimokko_home_zero,mimikkoImhome1,mmOfficertest 2 Mimikko_zero 0,,,5:mimikko_Inhome_zero1:Go find zero!,,,
mimokko_home_zero_1,DialogOptionSelected,$option == mimikko_Inhome_zero1,"FireAll mimikko_home_zero
mmShowpeoplev Mimikko_zero",,,,,
,,,,,,,,
#零_创造与被造,,,,,,,,
mimokko_home_zero1_1,mimikko_home_zero,"!$global.arianameet_mission
!$global.arianameet_mission_down",,,5:mimikko_Inhome_zero1_1:Creating and Created,,,
mimokko_home_zero1_2,DialogOptionSelected,"$option == mimikko_Inhome_zero1_1
",,"After being with Zero for awhile, you found that she likes to snuggle with you.
Coming to Zero's room as usual, you can't wait to talk to her.",5:mimikko_Inhome_zero1_2:Knock,,,
mimokko_home_zero1_3,DialogOptionSelected,"$option == mimikko_Inhome_zero1_2
",,No reaction? Knock again?,5:mimikko_Inhome_zero1_3:Knock,,,
mimokko_home_zero1_4,DialogOptionSelected,"$option == mimikko_Inhome_zero1_3
",,"""Ah, captain, Zero was doing something. Please don't leave, Zero will be good."" ","5:mimikko_Inhome_zero1_4:It is okay, I am just worried, what's wrong?",,,
mimokko_home_zero1_5,DialogOptionSelected,"$option == mimikko_Inhome_zero1_4
",,"She slants her head and thought for a while, and then send you a message on Tripad. 
""Actually, Zero thought about it, Zero likes Captain, want to be with captain. But Zero found creator's location...Zero wants to see"" 

You check Zero's coordinate with the official Tri-Tachyon star chart, but you can't see anything worth noting at the location.",5:mimikko_Inhome_zero1_5:This place?,,,
mimokko_home_zero1_6,DialogOptionSelected,"$siteExplored
$option == mimikko_Inhome_zero1_5",,"Clearly, Tri-Tachyon does no want to disclose what happened there, that is why they are still hiding the matter. As the troublemaker, you clearly know what is there.",5:mimikko_Inhome_zero1_6:Fine,,,
mimokko_home_zero1_7,DialogOptionSelected,"!$siteExplored
$option == mimikko_Inhome_zero1_5",,"The target is located in a chaotic area in the hyperspace, normally no one would conduct careful research of such a chaotic area of the hyperspace. For Zero's sake...",5:mimikko_Inhome_zero1_7:Ofcourse,,,
mimokko_home_zero1_8,DialogOptionSelected,"$option == mimikko_Inhome_zero1_6
",,"Hearing your answer, Zero smiles. You mind feels at ease as though you've seen an angel. 
""Zero have some other report to make, I will send it to Captain's device soon. Zero, likes the Captain!""",5:mimikko_Inhome_zero1_8:Me too!,,,
mimokko_home_zero1_9,DialogOptionSelected,$option == mimikko_Inhome_zero1_7,,"Hearing your answer, Zero smiles. You mind feels at ease as though you've seen an angel. 
""Zero have some other report to make, I will send it to Captain's device soon. Zero, likes the Captain!""",5:mimikko_Inhome_zero1_8:Me too!,,,
