id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,,Column 15,Column 16
# COMBAT,,,,,,,,,,,,,,,
#helmsmanship,Helmsmanship,10,1,0,,"It sings when you push the mix just right, like, [humming]. Everything is right in the world, from the stars down to your bones. Coming off a shift, it’s like I just woke up. [laughing] Words can't tell it.","Nachiketa Portside Interview Project, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,,,
#combat_endurance,Combat Endurance,20,1,0,,"Through calamity, the Fourteenth endured. 
Through hegemony, the Domain endures. 
Through duty, humanity shall endure.","Admiral Kali Molina, the Declaration of Hegemony, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,,,
#eeDimentionInfect,维度感染,3400,1,0,,他们看到了紫色,在我的眼里。下潜,下潜……,回来的人,TRUE,,,"npc_only, deprecated",graphics/icon/characters/skills/ee_DimentionInfect.png,
#Mimikko_test,技能测试,3398,1,,,测试,,TRUE,,,,graphics/icon/characters/skills/Mimikko_momonalove.png,,,
#军官增加,,,,,,,,,,,,,,,
Mimikko_addofficer1,Daily Life,3397,1,,,"A memory from old earth.
You live a lazy and relaxed life, your only fun comes from that magical app coming from who knows where. Within lives a series of lively girls, whose beauty seems otherworldly and with wildly different personality. 
Perhaps you are the fun?
But compared to boring life, whats wrong with this?",,,TRUE,,deprecated,graphics/icon/characters/skills/Mimikko_momonalove.png,,,
#Mimikko_addofficer2,灵能之毒,3396,1,,,"一段来自另一个科技星球的印象。
人们来自灵魂的力量与科技的结合使得世界处于一种发展的巅峰。
灵能者既是劳工,又是管理者,又是统治者。而没有灵能的人,如同被圈养一般活在世界上。
你的志向和工作是想要解放那些被圈养的人,让世界变得更加和平。
而你确实做得到,以你的技术,一手遮天。然而也总有恶人企图借此统治所有人,遗憾的是,他做到了。
而你,为了你最爱的却又不得不抛弃的她,踏上不归的道路。",,,TRUE,,deprecated,graphics/icon/characters/skills/Mimikko_momonalove.png,,,
#Mimikko_addofficer3,天命勇者,3395,1,,,"一段来自古旧、不开明世界的印象。
从小被教导魔王会统治世界,毁灭世界的你,从不相信魔族会有善良的人。
直到王国真的被颠覆,在魔王的治理之下走向更繁荣的盛世,你放下了你勇者的职责。
你实实在在的输给了魔王,输在了你并不知道怎么样的力量才是世界真正所需要的。
而你也体会到了,如果不是魔王的她一直鼓励着她,她也不可能战胜你。
你又踏上了锻炼自己的道路。",,,TRUE,,deprecated,graphics/icon/characters/skills/Mimikko_momonalove.png,,,
#Mimikko_addofficer4,反叛之剑,3394,1,,,"一段来自无上荣光世界的印象。
当所有人都沉浸在他们给出的虚伪之中时,她们小小的举动,紧紧的依偎,改变了被覆灭的结局。
然而,她们显然陷入了更大的麻烦,作为刺破虚伪面纱的代价,她们有责任理解一切,说给世人。
向谁寻求？向你寻求。",,,TRUE,,deprecated,graphics/icon/characters/skills/Mimikko_momonalove.png,,,
