name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bright Moon,mimikko_nonona_paragon_hullmod,3,,Mimikko Tech,,,,,TRUE,,0,0,0,0,data.scripts.campaign.combat.hullmods.Mimikko_nonona_paragon_hullmod,"Mind of the Witch of the Silver Moon, craft of the Sage of Alchemy.

All ship system has been replaced with scientific marvel created by combining alchemy and magic. 

Complex magical circuit and alchemical pathways cannot protect against violent damage, fortunately, Nonona has already prepared an reactive potion coating for the ship.

When using beam weapon, the best conduit of magic, it can allow more energy to be passed on to the enemy that is the focus of the ship's attack. Overflowing magical energy can also cause spatial distortion near the target. 
",,graphics/icon/hullmod/mimikko_nonona_paragon_hullmod.png
Resolution,mimikko_yurika_onslaught_hullmod,3,,Mimikko Tech,,,,,TRUE,,0,0,0,0,data.scripts.campaign.combat.hullmods.Mimikko_yurika_onslaguht_hullmod,"Understand all, conquer all!

The Demon Lord will be in their element where the fighting is non-stop, they'll be even more eye-catching and swift as they flip the world upside down! 

Any significant damage that cannot defeat the demon lord will only make them even stronger.

There is always a place for her in the demon lord's heart.",,graphics/icon/hullmod/mimikko_yurika_onslaught_hullmod.png
,,,,,,,,,,,,,,,,,,
#零式超载-自动工厂,mimikko_zero_overload_1,3,,Mimikko Tech,"no_build_in, no_sell, no_drop, no_drop_salvage",Mimikko Tech,,TRUE,,,10,15,20,25,data.scripts.campaign.combat.hullmods.Mimikko_nonona_paragon_hullmod,"零入侵舰船的自动复制工厂，以参杂灵魂和情感的巨量算力超载自动复制工厂，使得LPC的制造速度大幅增加，战机更换时间}%s}。

但是超载带来的负荷会使得舰船}%s}峰值时间。",,graphics/icon/hullmod/mimikko_nonona_paragon_hullmod.png
#零式超载-控制网络,mimikko_zero_overload_2,3,,Mimikko Tech,"no_build_in, no_sell, no_drop, no_drop_salvage",Mimikko Tech,,TRUE,,,5,7,10,15,data.scripts.campaign.combat.hullmods.Mimikko_nonona_paragon_hullmod,"零拓展舰船的操控系统，舰船的所有模块均可以使用船员的精神连接操控，}%s}因船体受损造成的人员损耗。
舰船的自动复制工厂也会被拓展，每个被生产的战机会被集成额外的控制模块。搭配零的计算系统，}%s}因战机受损造成的人员损耗。

额外的操作接入会使得舰船的系统变得不稳定，使得舰船}%s}峰值时间。",,graphics/icon/hullmod/mimikko_nonona_paragon_hullmod.png
#零式超载-覆面立场,mimikko_zero_overload_3,3,,Mimikko Tech,"no_build_in, no_sell, no_drop, no_drop_salvage",Mimikko Tech,,TRUE,,,10,15,20,25,data.scripts.campaign.combat.hullmods.Mimikko_nonona_paragon_hullmod,"零覆写舰船自动复制工厂的运作流程，所有被制造的战机都会额外加装一个覆面立场投射器，使得战机受到的伤害}%s}。

额外的制造需要从舰船反应堆提取额外能量，使得舰船}%s}峰值时间。",,graphics/icon/hullmod/mimikko_nonona_paragon_hullmod.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
