name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#利爪,talon,,主宰纪元,,,200,25,400,,100,0,,325,400,300,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,100
#匕首,dagger,,扩展纪元,,,300,10,200,,50,0,,175,350,250,90,180,10,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
#黄蜂,wasp,,扩展纪元,,,100,10,500,,100,0,,325,500,450,180,360,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,102
#希腊剑,xyphos,,扩展纪元,,,450,50,600,,50,0,,160,300,250,90,180,30,OMNI,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
#阔剑,broadsword,,主宰纪元,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formatted Longing,mimikko_zero_fighter,,Mimikko Tech,,,100,25,1500,,300,0,,300,1000,1000,720,720,10,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,119.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song of Stars,mimikko_nonona_paragon,Alchemy Ship,Mimikko Tech,fortressshield,30,18000,1500,25000,31250,1250,380,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,800000,4,20,720,0.25,68,30,,,,,,,,restricted,,0.6,2,4,,119.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution of Stars,mimikko_yurika_onslaught,Magical Assembly,Mimikko Tech,mimikko_burndrive,30,25000,1800,17000,15000,550,360,,25,10,10,4,4,3500,FRONT,,180,0.35,1,,,750,1500,300,400,15,27,7,500000,3,12,720,0.25,50,50,,,,,,,,restricted,,0.4,2,4,,119.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail of Stars,mimikko_kasutariri_radiant_1,Spatial Expansion Residue,Mimikko Tech,displacer,40,20000,1500,20000,37500,1500,200,,40,30,20,7,10,3500,OMNI,,270,0.4,0.6,,,1200,1800,250,400,10,40,8,1000000,3,30,720,0.25,75,60,,,,,,,SHIP_WITH_MODULES,restricted,,0.4,2,4,,119.004
Trail of Stars (Firepower Modules),mimikko_kasutariri_radiant_2,Module,Mimikko Tech,,1,3000,1000,8000,1,800,70,,0,0,0,0,0,400,NONE,,270,0.4,0.6,,,0,0,0,0,1,0,0,100000,0,1,,0,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,1,2,4,,119.005
Trail of Stars (Synergy Modules),mimikko_kasutariri_radiant_3,Module,Mimikko Tech,,1,3000,1000,5000,1,500,50,,0,0,0,0,0,400,NONE,,270,0.4,0.6,,,0,0,0,0,1,0,0,100000,0,1,,0,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,1,2,4,,119.006
Trail of Stars (Synergy Modules),mimikko_kasutariri_radiant_4,Module,Mimikko Tech,,1,3000,1000,5000,1,500,50,,0,0,0,0,0,400,NONE,,270,0.4,0.6,,,0,0,0,0,1,0,0,100000,0,1,,0,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,1,2,4,,119.007
Trail of Stars (Engine Modules),mimikko_kasutariri_radiant_5,Module,Mimikko Tech,,1,3000,1000,5000,1,500,50,,0,0,0,0,0,400,NONE,,270,0.4,0.6,,,0,0,0,0,1,0,0,100000,0,1,,0,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,1,2,4,,119.008
Trail of Stars (Engine Modules),mimikko_kasutariri_radiant_6,Module,Mimikko Tech,,1,3000,1000,5000,1,500,50,,0,0,0,0,0,400,NONE,,270,0.4,0.6,,,0,0,0,0,1,0,0,100000,0,1,,0,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,1,2,4,,119.009
Wolf - Glory,wolf_atraya,Gentle Touch Residue,Mimikko Tech,displacer,8,1500,150,5000,1875,300,55,,150,130,100,60,120,200,FRONT,,60,0.4,0.7,,,2,30,50,20,1,20,10,12000,2,20,180,0.25,8,8,,,,,,,,restricted,,0.5,2,2,,119.010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aspect,形面,未知,,,600,300,1000,,200,0,,350,350,350,120,360,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
