name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Kasutaria Magic I,mimikko_kasutaria_weapon_1,0,,5000,1000,,100,0,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,400,200,20,1,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.003
Kasutaria Magic II,mimikko_kasutaria_weapon_2,0,,5000,1000,,1,75,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,300,200,20,100,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.0031
Kasutariri Magic I,mimikko_kasitariri_weapon_1,0,,5000,1000,,500,0,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,1500,,,,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.004
Kasutariri Magic I,mimikko_kasitariri_weapon_2,0,,5000,1000,,700,100,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,1500,,,,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.0041
Kasutaria Magic III,mimikko_kasutaria_weapon_3,0,,5000,2000,,100,0,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,800,,,,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.0042
Kasutaria Magic IV,mimikko_kasutaria_weapon_4,0,,5000,2000,,1,75,0,0,0,,,,ENERGY,0,,0,0,,,0,0,0,0,,800,,,,,,SYSTEM,restricted,,Mimikko Tech,,,,,,,,,,,,1020.0043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise's Shard,mimikko_kasutaria_torpedo,1,,50000,1500,,200,50,,50,5,3,0.166,1,ENERGY,0,,0,1,1,,0,30,10,5,,10,100,20,200,,,"DO_NOT_AIM, DO_NOT_CONSERVE, USE_VS_FRIGATES",restricted,,Mimikko Tech,,Ambush,,,,,"Fire light dust that would not move on their own, the light dust will be guided by {%s}, and launch projectile with {%s}{%s} to strike enemies.","""Blessed Guidance""| 500 | HE",,,,1021.003
