name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9 Cimex Drone,pn_drone_cimex,Autonomous Figther,P9,,,400,80,450,,180,,,280,300,400,300,240,5,FRONT,,240,0.2,1,,,,,,,,,,,,,,,,,,,,,,,
P9 EMP Drone,pn_empdrone,,P9,emp,,200,10,500,,500,,,450,500,550,450,500,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9 Sensor Drone,pn_drone_sensor,,P9,,,30,10,400,,100,,,100,150,150,120,240,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9 Energy Focus,pn_drone_harb,,P9,acausaldisruptor,,1,1,200000,,100,,,500,150,150,120,240,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLMV,pn_mlmv,Miner,P9,flarelauncher_active,,350,100,1250,,250,0,,120,100,80,30,20,250,FRONT,,340,0.2,0.8,,,3,3,25,15,0.9,,8,6000,5,20,360,0.25,4,3,CIVILIAN,,,,,,
Saksh-t Turret,pn_saksh-t_turret,Defence Platform,P9,highenergyfocus,,450,150,500,,300,12,,130,170,170,600,600,100,PHASE,phasecloak,,,,0.2,0.15,1,1,,,,,9,,,,,,,,,,,,,,
Stress,pn_stress,Support Fighter,P9,pn_microemp,,350,50,500,,250,12,,220,600,650,350,300,75,FRONT,,300,0.5,1,,,2,2,,,,,10,,,,,,,,,,,,,,
Spore,pn_spore,Interceptor,P9,flarelauncher_active,4,550,100,900,,300,13,,250,400,350,300,400,75,FRONT,,360,0.5,1,,,1,1,2,2,0.5,,11,20000,3,5,180,0.75,,,,,,,,,
Spore MkII,pn_spore-mk2,Fighterbomber,P9,pn_burstburn,9,600,130,1800,,550,18,,230,300,300,150,400,95,FRONT,,360,0.5,1,,,1,1,2,2,1,,10,45000,4,15,240,0.5,,,,,,,,,
Spore MkIII,pn_spore-mk3,Heavy Fighter,P9,,,600,150,1500,,550,18,,160,200,300,150,400,100,NONE,,,,,,,1,1,,,,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
