id,type,frame,magnitude,map,path
pn_trundler_gel,turret,,2,normal,graphics/pn/maps/weapons_normals/pn_trundler_gel_Normal.png
,,,,,
pn_mlmv,ship,,2,normal,graphics/pn/maps/ships_normals/pn_mlmv_normal.png
pn_saksh-t_turret,ship,,2,normal,graphics/pn/maps/ships_normals/pn_saksh-t_turret_normal.png
pn_stress,ship,,2,normal,graphics/pn/maps/ships_normals/pn_stress_normal.png
pn_spore,ship,,2,normal,graphics/pn/maps/ships_normals/pn_spore_normal.png
pn_spore-mk2,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sporemk2_normal.png
pn_spore-mk3,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sporemk3_normal.png
pn_mlmv_tug,ship,,2,normal,graphics/pn/maps/ships_normals/pn_mlmv-tug_normal.png
pn_mite,ship,,2,normal,graphics/pn/maps/ships_normals/pn_mite_normal.png
pn_mite-s,ship,,2,normal,graphics/pn/maps/ships_normals/pn_mite-s_normal.png
pn_crig,ship,,2,normal,graphics/pn/maps/ships_normals/pn_crig_normal.png
pn_louse,ship,,2,normal,graphics/pn/maps/ships_normals/pn_louse_normal.png
pn_valkyrie,ship,,2,normal,graphics/pn/maps/ships_normals/pn_valkyrie_normal.png
pn_tick,ship,,2,normal,graphics/pn/maps/ships_normals/pn_tick_normal.png
pn_rs,ship,,2,normal,graphics/pn/maps/ships_normals/pn_rs_normal.png
pn_sike,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sike_normal.png
pn_sike-m,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sike-m_normal.png
pn_snz-gp,ship,,2,normal,graphics/pn/maps/ships_normals/pn_snz-gp_normal.png
pn_thelep,ship,,2,normal,graphics/pn/maps/ships_normals/pn_thelep_normal.png
pn_trundler,ship,,2,normal,graphics/pn/maps/ships_normals/pn_trundler_normal.png
pn_aggr,ship,,2,normal,graphics/pn/maps/ships_normals/pn_aggr_normal.png
pn_korlo-skt_elite,ship,,2,normal,graphics/pn/maps/ships_normals/pn_cyz-chp_normal.png
pn_sl-t1p,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sl-t1p_normal.png
pn_sl-t2,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sl-t2_normal.png
pn_sl-t3,ship,,2,normal,graphics/pn/maps/ships_normals/pn_sl-t3_normal.png
pn_cimex,ship,,2,normal,graphics/pn/maps/ships_normals/pn_cimex_normal.png
pn_kaala,ship,,2,normal,graphics/pn/maps/ships_normals/pn_kaala_normal.png
pn_korlo-skt,ship,,2,normal,graphics/pn/maps/ships_normals/pn_korlo-skt_normal.png
pn_silverfish-mpk,ship,,2,normal,graphics/pn/maps/ships_normals/pn_silverfish-mpk_normal.png
pn_eyfel,ship,,2,normal,graphics/pn/maps/ships_normals/pn_eyfel_normal.png
pn_samaa-ebm,ship,,2,normal,graphics/pn/maps/ships_normals/pn_saama-ebm_normal.png
pn_samaa-dsi,ship,,2,normal,graphics/pn/maps/ships_normals/pn_samaa-dsi_normal.png
,,,,,
