name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Drive,pnphasecloak,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png,,
Saksh Phase Teleporter,pn_phaseteleporter1,,,,,,0.2,,,,1,0,0.5,,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png,,
P9 Kaala Overcharge,pn_laser,400,,,,,,,2,0.033,,2.5,,10,,,TRUE,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
Micro EMP Emitter,pn_microemp,1,,,,,0.2,,,,0.5,4,0.5,4,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
EMP-Spark,pn_singleemp,250,,,,,0.2,,,,0.5,1,0.1,5,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
Tick Sensor Drones,pn_drone_sensor,,,,,,,,8,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png,,
Countermeasure Launcher,pn_flarelauncher,,,,,,,,2,75,,,,3,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png,,
Chaff Stream,pn_chaffspray,20,,,,,0.2,,,,,3,,10,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,graphics/icons/hullsys/emp_emitter.png,,
EMP Drone,pn_empdrone,,,,,,,,2,0.05,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png,,
Drone EMP,pn_droneemp,250,,,,,0.2,,,,0.5,1,0.1,5,TRUE,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
Spore Burst Burn,pn_burstburn,200,,,,,,,,,,2,,10,,TRUE,TRUE,,,TRUE,,TRUE,,,,,graphics/icons/hullsys/emp_emitter.png,,
Silverfish Drive,pnsilverfishphasecloak,,,,2000,,,,,,2,0.1,0.5,5,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,graphics/icons/hullsys/maneuvering_jets.png,,
P9 Energy Feeder,pn_energyfeed,200,,,,,,,,,,6,,6,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
Cimex Drone,pn_drone_cimex,,,,,,,,2,0.1,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png,,
P9 Fast Charge Skimmer,pn_displacer,,,,,,0.01,,2,0.25,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png,,
Ramming Leap,pn_leap,,,,200,,,,,,0.25,1.5,0.25,3,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/displacer.png,,
Phase Boost,pnphasecloak2,,,,,,,,,,0.5,4.5,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png,,
Harden gel,pn_bounce,,,,,,,,,,0.5,1.5,2,0,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,graphics/icons/hullsys/phase_cloak.png,,
Overloaded Displacer,pn_shortteleporter,,,,,,0.05,,4,0.25,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png,,
Lucifer Cloak,colourcloak,,,,,,,,,,0.1,,0.1,0,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,graphics/icons/hullsys/phase_cloak.png,,
Spike Drive,pn_maneuver,,,,,,,,,,1,7,1,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png,,
Eyfel Strike,pn_mine_strike,,,,,,0.1,,,5,0.2,0.25,,0.25,0,,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Remote Disruptor Foci,pn_drone_harb,,,,,,,,2,0.1,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png,,
EM pulse,pn_shortteleporter2,,,,,,0.05,,1,0.2,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png,,
